entrez_gene_ida	entrez_gene_idb
2319	9738
2821	9738
3895	8924
3895	84461
4067	9738
4067	79598
5108	84461
5430	84461
5597	84461
6117	8924
6117	84461
6118	84461
6119	8924
6119	84461
8773	9738
8773	79598
8924	9738
8924	9859
8924	10010
8924	10455
8924	10534
8924	11196
8924	23380
8924	29110
8924	84461
9091	84461
9738	10096
9738	10109
9738	10534
9738	55832
9738	79598
9738	79959
9738	80184
9738	84461
9859	84461
10096	79598
10109	79598
10455	84461
10534	84461
10910	79598
55697	84461
55700	84461
55832	79598
59345	79598
79598	84461
80184	84461
