index	count
real	102
0	89
1	86
2	87
3	91
4	79
5	75
6	79
7	101
8	90
9	89
10	82
11	86
12	92
13	93
14	97
15	83
16	80
17	87
18	91
19	96
20	79
21	78
22	92
23	84
24	78
25	79
26	81
27	88
28	72
29	92
30	96
31	88
32	78
33	89
34	82
35	78
36	93
37	83
38	70
39	92
40	86
41	94
42	85
43	80
44	80
45	81
46	74
47	83
48	101
49	76
50	68
51	90
52	92
53	71
54	90
55	79
56	93
57	84
58	89
59	98
60	81
61	93
62	85
63	89
64	88
65	69
66	97
67	96
68	90
69	91
70	86
71	86
72	69
73	92
74	85
75	71
76	79
77	83
78	96
79	70
80	82
81	96
82	105
83	81
84	79
85	94
86	88
87	86
88	90
89	80
90	76
91	86
92	81
93	81
94	96
95	99
96	86
97	87
98	87
99	83
100	73
101	75
102	77
103	94
104	86
105	86
106	79
107	91
108	81
109	101
110	88
111	79
112	85
113	92
114	92
115	77
116	80
117	78
118	101
119	95
120	90
121	84
122	91
123	82
124	69
125	94
126	79
127	88
128	94
129	90
130	101
131	86
132	96
133	80
134	80
135	82
136	101
137	89
138	86
139	96
140	87
141	89
142	84
143	86
144	87
145	89
146	81
147	84
148	87
149	76
150	85
151	93
152	85
153	99
154	82
155	88
156	79
157	82
158	92
159	90
160	89
161	81
162	81
163	87
164	69
165	82
166	106
167	88
168	87
169	83
170	89
171	87
172	89
173	97
174	97
175	82
176	96
177	75
178	90
179	73
180	85
181	77
182	91
183	81
184	79
185	97
186	77
187	82
188	79
189	81
190	85
191	91
192	85
193	93
194	77
195	83
196	83
197	77
198	74
199	85
200	80
201	86
202	79
203	96
204	85
205	78
206	93
207	75
208	89
209	83
210	97
211	85
212	87
213	86
214	88
215	86
216	99
217	92
218	84
219	80
220	80
221	100
222	89
223	88
224	83
225	98
226	82
227	95
228	83
229	90
230	88
231	86
232	79
233	87
234	76
235	86
236	94
237	94
238	83
239	81
240	93
241	83
242	85
243	88
244	86
245	90
246	90
247	95
248	105
249	88
250	90
