index	count
real	39
0	39
1	40
2	42
3	42
4	36
5	38
6	34
7	43
8	42
9	42
10	39
11	37
12	40
13	42
14	41
15	42
16	45
17	38
18	42
19	39
20	41
21	38
22	42
23	42
24	39
25	40
26	40
27	39
28	35
29	39
30	41
31	45
32	36
33	38
34	41
35	39
36	43
37	39
38	37
39	42
40	39
41	44
42	43
43	40
44	36
45	39
46	34
47	41
48	40
49	38
50	39
51	39
52	43
53	37
54	44
55	41
56	39
57	36
58	42
59	42
60	40
61	41
62	42
63	43
64	39
65	36
66	47
67	44
68	40
69	41
70	38
71	41
72	37
73	39
74	44
75	35
76	45
77	40
78	47
79	37
80	40
81	49
82	45
83	37
84	39
85	40
86	36
87	41
88	44
89	37
90	42
91	40
92	41
93	42
94	46
95	44
96	39
97	43
98	39
99	41
100	41
101	37
102	35
103	45
104	43
105	35
106	41
107	36
108	39
109	40
110	37
111	41
112	37
113	44
114	43
115	40
116	38
117	44
118	45
119	44
120	38
121	40
122	39
123	38
124	38
125	46
126	34
127	38
128	47
129	42
130	43
131	37
132	40
133	36
134	37
135	36
136	42
137	36
138	44
139	40
140	38
141	40
142	44
143	40
144	34
145	39
146	37
147	40
148	41
149	33
150	44
151	36
152	38
153	44
154	38
155	41
156	40
157	38
158	40
159	43
160	44
161	40
162	37
163	39
164	36
165	39
166	39
167	38
168	42
169	40
170	39
171	45
172	40
173	37
174	40
175	38
176	41
177	38
178	39
179	39
180	42
181	36
182	46
183	39
184	37
185	45
186	34
187	38
188	38
189	36
190	42
191	37
192	43
193	41
194	38
195	41
196	38
197	41
198	36
199	41
200	39
201	43
202	39
203	42
204	42
205	40
206	39
207	36
208	45
209	43
210	43
211	39
212	40
213	38
214	45
215	45
216	38
217	39
218	40
219	35
220	34
221	44
222	42
223	43
224	38
225	42
226	40
227	39
228	43
229	39
230	34
231	44
232	39
233	41
234	40
235	36
236	42
237	37
238	39
239	40
240	41
241	39
242	45
243	38
244	44
245	40
246	39
247	41
248	41
249	39
250	44
251	36
252	40
253	39
254	34
255	36
256	37
257	39
258	43
259	41
260	40
261	41
262	43
263	44
264	34
265	42
266	48
267	44
268	43
269	40
270	42
271	43
272	40
273	42
274	40
275	39
276	43
277	38
278	40
279	40
280	42
281	36
282	41
283	44
284	37
285	36
286	41
287	39
288	43
289	42
290	41
291	40
292	39
293	41
294	43
295	34
296	42
297	42
298	39
299	40
300	40
301	39
302	36
303	38
304	42
305	37
306	39
307	37
308	40
309	37
310	45
311	44
312	40
313	45
314	39
315	40
316	42
317	40
318	44
319	39
320	42
321	35
322	42
323	40
324	38
325	41
326	39
327	37
328	41
329	42
330	40
331	42
332	41
333	39
334	39
335	44
336	41
337	43
338	40
339	36
340	37
341	40
342	44
343	35
344	40
345	42
346	35
347	41
348	38
349	42
350	41
351	45
352	40
353	41
354	40
355	40
356	39
357	38
358	42
359	38
360	44
361	44
362	43
363	42
364	41
365	39
366	42
367	40
368	41
369	41
370	38
371	40
372	37
373	42
374	40
375	39
376	36
377	40
378	41
379	41
380	43
381	45
382	42
383	40
384	43
385	40
386	34
387	37
388	43
389	45
390	40
391	40
392	40
393	42
394	37
395	39
396	39
397	37
398	34
399	39
400	42
401	39
402	39
403	40
404	42
405	41
406	39
407	36
408	39
409	39
410	40
411	37
412	38
413	37
414	41
415	41
416	42
417	44
418	39
419	44
420	44
421	36
422	41
423	36
424	38
425	42
426	38
427	38
428	40
429	34
430	36
431	42
432	40
433	40
434	38
435	43
436	42
437	35
438	39
439	36
440	42
441	41
442	37
443	37
444	39
445	35
446	43
447	40
448	41
449	39
450	40
451	46
452	40
453	42
454	41
455	40
456	39
457	41
458	34
459	35
460	39
461	41
462	38
463	41
464	39
465	38
466	42
467	41
468	41
469	45
470	38
471	45
472	41
473	41
474	35
475	45
476	41
477	40
478	42
479	45
480	41
481	43
482	41
483	45
484	45
485	39
486	38
487	43
488	45
489	46
490	44
491	42
492	40
493	33
494	41
495	39
496	40
497	40
498	40
499	39
500	43
501	45
502	41
503	42
504	39
505	43
506	38
507	43
508	39
509	40
510	40
511	42
512	44
513	39
514	43
515	41
516	39
517	40
518	42
519	40
520	41
521	44
522	41
523	41
524	40
525	40
526	44
527	39
528	39
529	41
530	35
531	36
532	38
533	43
534	42
535	40
536	43
537	43
538	31
539	42
540	44
541	38
542	41
543	43
544	40
545	40
546	43
547	45
548	42
549	44
550	40
551	42
552	44
553	39
554	39
555	39
556	39
557	38
558	45
559	35
560	41
561	39
562	41
563	41
564	41
565	39
566	39
567	41
568	41
569	39
570	36
571	38
572	42
573	41
574	39
575	40
576	37
577	42
578	42
579	39
580	40
581	38
582	38
583	41
584	46
585	34
586	37
587	40
588	42
589	45
590	36
591	41
592	42
593	37
594	42
595	41
596	42
597	40
598	42
599	38
600	42
601	44
602	45
603	34
604	43
605	36
606	44
607	41
608	38
609	41
610	41
611	44
612	41
613	39
614	43
615	43
616	42
617	41
618	38
619	34
620	40
621	43
622	40
623	42
624	42
625	42
626	40
