index	count
real	5
0	1
1	0
2	0
3	0
4	1
5	0
6	1
7	2
8	1
9	3
10	1
11	0
12	0
13	2
14	0
15	1
16	1
17	2
18	1
19	1
20	0
21	0
22	0
23	2
24	0
25	0
26	1
27	2
28	1
29	0
30	1
31	1
32	0
33	1
34	0
35	0
36	1
37	0
38	1
39	1
40	2
41	0
42	1
43	2
44	0
45	1
46	1
47	1
48	1
49	0
50	0
51	3
52	0
53	1
54	1
55	0
56	1
57	0
58	0
59	0
60	1
61	2
62	1
63	2
64	0
65	0
66	4
67	0
68	0
69	1
70	0
71	3
72	1
73	1
74	2
75	0
76	1
77	1
78	2
79	0
80	1
81	0
82	0
83	1
84	0
85	2
86	1
87	0
88	3
89	0
90	0
91	3
92	1
93	0
94	3
95	1
96	2
97	1
98	1
99	0
100	1
101	2
102	0
103	1
104	1
105	0
106	0
107	0
108	0
109	0
110	0
111	2
112	2
113	0
114	0
115	1
116	1
117	2
118	2
119	1
120	0
121	1
122	1
123	0
124	1
125	0
126	0
127	1
128	1
129	0
130	0
131	3
132	0
133	2
134	1
135	1
136	1
137	0
138	1
139	2
140	2
141	1
142	2
143	0
144	1
145	1
146	2
147	2
148	0
149	0
150	2
151	2
152	2
153	0
154	1
155	3
156	0
157	1
158	1
159	0
160	0
161	2
162	2
163	1
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	4
172	1
173	2
174	0
175	1
176	0
177	1
178	0
179	3
180	1
181	0
182	2
183	0
184	0
185	0
186	2
187	1
188	3
189	4
190	1
191	1
192	1
193	0
194	0
195	2
196	2
197	2
198	0
199	1
200	1
201	2
202	0
203	3
204	1
205	2
206	0
207	1
208	3
209	0
210	0
211	0
212	0
213	1
214	1
215	0
216	0
217	1
218	0
219	0
220	2
221	1
222	1
223	0
224	1
225	2
226	2
227	1
228	1
229	0
230	0
231	1
232	2
233	2
234	2
235	1
236	3
237	0
238	1
239	1
240	1
241	0
242	1
243	1
244	0
245	1
246	1
247	0
248	1
249	3
250	0
251	1
252	2
253	0
254	0
255	0
256	1
257	0
258	0
259	0
260	2
261	0
262	1
263	1
264	1
265	2
266	1
267	1
268	0
269	1
270	2
271	1
272	1
273	1
274	4
275	2
276	0
277	0
278	0
279	1
280	0
281	1
282	0
283	1
284	1
285	0
286	1
287	0
288	1
289	0
290	0
291	1
292	2
293	2
294	2
295	0
296	0
297	0
298	1
299	1
300	1
301	1
302	1
303	2
304	1
305	1
306	0
307	2
308	0
309	1
310	2
311	0
312	2
313	0
314	1
315	0
316	1
317	2
318	0
319	1
320	1
321	0
322	1
323	0
324	2
325	2
326	0
327	0
328	0
329	1
330	0
331	0
332	2
333	2
334	2
335	1
336	3
337	0
338	0
339	0
340	0
341	3
342	0
343	1
344	2
345	0
346	3
347	0
348	5
349	0
350	0
351	0
352	0
353	1
354	0
355	2
356	1
357	2
358	1
359	1
360	0
361	1
362	2
363	0
364	1
365	1
366	1
367	3
368	0
369	1
370	0
371	2
372	1
373	1
374	1
375	0
376	0
377	0
378	0
379	4
380	0
381	0
382	2
383	0
384	0
385	1
386	2
387	2
388	2
389	0
390	0
391	2
392	1
393	2
394	1
395	0
396	0
397	1
398	0
399	2
400	0
401	3
402	1
403	2
404	1
405	1
406	1
407	0
408	0
409	2
410	2
411	0
412	1
413	0
414	2
415	3
416	2
417	2
418	0
419	2
420	1
421	0
422	3
423	2
424	1
425	2
426	1
427	2
428	0
429	2
430	2
431	0
432	2
433	1
434	0
435	0
436	1
437	0
438	0
439	0
440	0
441	2
442	0
443	1
444	1
445	1
446	1
447	0
448	2
449	0
450	1
451	0
452	1
453	2
454	1
455	0
456	0
457	1
458	0
459	0
460	0
461	1
462	1
463	1
464	0
465	1
466	0
467	1
468	0
469	0
470	1
471	1
472	1
473	0
474	1
475	1
476	0
477	0
478	1
479	0
480	1
481	2
482	0
483	2
484	3
485	1
486	1
487	0
488	2
489	1
490	1
491	1
492	0
493	1
494	0
495	0
496	1
497	0
498	0
499	3
500	0
501	2
502	0
503	2
504	0
505	2
506	2
507	0
508	2
509	0
510	1
511	0
512	0
513	1
514	1
515	0
516	1
517	2
518	4
519	0
520	0
521	0
522	1
523	1
524	1
525	0
526	0
527	0
528	0
529	1
530	3
531	2
532	2
533	2
534	0
535	0
536	1
537	1
538	0
539	1
540	1
541	0
542	2
543	1
544	1
545	0
546	1
547	0
548	1
549	1
550	0
551	2
552	3
553	0
554	0
555	0
556	2
557	3
558	1
559	1
560	1
561	2
562	1
563	1
564	0
565	1
566	1
567	0
568	1
569	2
570	2
571	0
572	0
573	0
574	0
575	0
576	0
577	1
578	3
579	0
580	1
581	0
582	0
583	2
584	0
585	0
586	3
587	1
588	1
589	1
590	2
591	0
592	1
593	3
594	0
595	0
596	1
597	1
598	0
599	0
600	1
601	1
602	0
603	1
604	1
605	0
606	0
607	1
608	2
609	1
610	1
611	1
612	0
613	0
614	0
615	1
616	1
617	2
618	2
619	1
620	1
621	3
622	0
623	1
624	2
625	0
626	1
627	0
628	1
629	1
630	1
631	0
632	0
633	1
634	0
635	0
636	0
637	0
638	1
639	0
640	0
641	1
642	2
643	0
644	2
645	1
646	1
647	1
648	0
649	1
650	0
651	0
652	0
653	2
