index	count
real	109
0	93
1	95
2	95
3	99
4	87
5	78
6	85
7	108
8	101
9	97
10	87
11	93
12	103
13	101
14	105
15	91
16	87
17	93
18	101
19	105
20	84
21	88
22	104
23	92
24	86
25	90
26	89
27	93
28	77
29	99
30	101
31	95
32	85
33	101
34	89
35	88
36	101
37	95
38	80
39	103
40	94
41	102
42	95
43	87
44	91
45	88
46	82
47	91
48	111
49	84
50	76
51	96
52	103
53	77
54	96
55	89
56	103
57	92
58	96
59	104
60	87
61	98
62	95
63	96
64	94
65	75
66	104
67	101
68	97
69	101
70	96
71	92
72	75
73	100
74	92
75	78
76	86
77	90
78	101
79	81
80	86
81	101
82	113
83	89
84	86
85	103
86	97
87	92
88	99
89	86
90	85
91	95
92	86
93	87
94	102
95	103
96	91
97	97
98	96
99	92
100	79
101	84
102	84
103	98
104	92
105	94
106	85
107	97
108	87
109	110
110	93
111	86
112	92
113	99
114	104
115	84
116	87
117	86
118	114
119	100
120	100
121	93
122	99
123	91
124	79
125	105
126	86
127	96
128	105
129	99
130	109
131	94
132	103
133	91
134	89
135	86
136	110
137	94
138	92
139	101
140	95
141	101
142	92
143	97
144	95
145	99
146	86
147	90
148	98
149	85
150	95
151	96
152	92
153	109
154	90
155	93
156	88
157	88
158	99
159	98
160	97
161	92
162	82
163	92
164	77
165	88
166	116
167	97
168	96
169	88
170	98
171	98
172	99
173	108
174	103
175	89
176	102
177	80
178	95
179	84
180	98
181	87
182	99
183	88
184	84
185	106
186	81
187	87
188	86
189	88
190	95
191	97
192	93
193	104
194	88
195	88
196	94
197	84
198	82
199	93
200	86
201	95
202	91
203	104
204	91
205	84
206	103
207	80
208	94
209	95
210	110
211	91
212	97
213	96
214	96
215	92
216	105
217	98
218	89
219	84
220	88
221	108
222	99
223	93
224	89
225	110
226	91
227	106
228	92
229	99
230	95
231	92
232	82
233	96
234	85
235	94
236	102
237	99
238	89
239	86
240	100
241	88
242	93
243	96
244	94
245	98
246	101
247	105
248	115
249	93
250	97
251	92
252	88
253	96
254	99
255	85
256	87
257	91
258	89
259	118
260	95
261	83
262	97
263	83
264	85
265	91
266	104
267	100
268	88
269	91
270	99
271	95
272	86
273	89
274	86
275	88
276	99
277	94
278	96
279	105
280	104
281	93
282	101
283	101
284	95
285	96
286	90
287	107
288	88
