index	count
real	5
0	2
1	0
2	0
3	0
4	1
5	0
6	2
7	2
8	2
9	3
10	1
11	1
12	2
13	2
14	0
15	1
16	1
17	2
18	2
19	2
20	1
21	0
22	0
23	2
24	0
25	0
26	1
27	2
28	2
29	0
30	2
31	3
32	0
33	1
34	0
35	0
36	1
37	1
38	1
39	1
40	2
41	0
42	1
43	2
44	0
45	1
46	1
47	1
48	1
49	0
50	1
51	3
52	0
53	2
54	2
55	1
56	1
57	1
58	1
59	0
60	2
61	2
62	1
63	2
64	0
65	0
66	4
67	0
68	1
69	1
70	0
71	3
72	1
73	1
74	3
75	0
76	1
77	2
78	3
79	2
80	1
81	0
82	1
83	1
84	0
85	3
86	1
87	0
88	3
89	0
90	0
91	3
92	1
93	0
94	3
95	2
96	3
97	1
98	2
99	0
100	1
101	2
102	0
103	1
104	1
105	0
106	2
107	0
108	0
109	0
110	1
111	2
112	3
113	0
114	0
115	3
116	1
117	3
118	2
119	1
120	0
121	1
122	1
123	0
124	1
125	0
126	0
127	1
128	1
129	1
130	1
131	3
132	0
133	3
134	1
135	2
136	2
137	0
138	1
139	2
140	3
141	1
142	2
143	1
144	3
145	1
146	2
147	2
148	0
149	0
150	3
151	2
152	4
153	0
154	1
155	3
156	0
157	1
158	1
159	0
160	0
161	2
162	2
163	1
164	0
165	0
166	0
167	1
168	0
169	0
170	0
171	5
172	1
173	2
174	1
175	1
176	0
177	1
178	0
179	4
180	1
181	1
182	2
183	0
184	0
185	1
186	3
187	1
188	3
189	4
190	1
191	1
192	1
193	0
194	0
195	2
196	4
197	2
198	0
199	1
200	2
201	2
202	0
203	3
204	1
205	2
206	0
207	1
208	3
209	0
210	0
211	1
212	1
213	1
214	1
215	0
216	0
217	1
218	0
219	1
220	2
221	2
222	1
223	0
224	2
225	2
226	3
227	3
228	1
229	0
230	0
231	1
232	2
233	2
234	3
235	2
236	4
237	0
238	2
239	1
240	1
241	0
242	2
243	1
244	0
245	2
246	1
247	0
248	1
249	4
250	1
251	1
252	4
253	0
254	0
255	1
256	1
257	0
258	1
259	0
260	4
261	0
262	1
263	1
264	1
265	2
266	2
267	2
268	0
269	1
270	2
271	1
272	2
273	1
274	4
275	2
276	0
277	0
278	0
279	1
280	1
281	2
282	0
283	4
284	1
285	0
286	1
287	1
288	1
289	0
290	1
291	1
292	3
293	2
294	2
295	0
296	0
297	1
298	1
299	1
300	2
301	1
302	1
303	2
304	2
305	1
306	0
307	2
308	0
309	1
310	2
311	0
312	2
313	0
314	1
315	0
316	1
317	3
318	0
319	2
320	1
321	0
322	1
323	0
324	2
325	2
326	0
327	2
328	0
329	2
330	0
331	1
332	2
333	2
334	4
335	2
336	3
337	0
338	0
339	0
340	0
341	3
342	0
343	1
344	2
345	0
346	3
347	0
348	5
349	2
350	0
351	0
352	1
353	3
354	0
355	2
356	1
357	2
358	1
359	1
360	0
361	1
362	2
363	1
364	1
365	1
366	2
367	3
368	0
369	2
370	0
371	3
372	1
373	1
374	1
375	0
376	0
377	0
378	1
379	5
380	1
381	0
382	2
383	0
384	1
385	1
386	2
387	2
388	2
389	0
390	0
391	2
392	1
393	3
394	1
395	0
396	1
397	1
398	0
399	2
400	1
401	3
402	1
403	3
404	1
405	1
406	1
407	1
408	0
409	2
410	2
411	0
412	1
413	0
414	2
415	3
416	3
417	2
418	0
419	2
420	1
421	1
422	3
423	3
424	1
425	2
426	2
427	2
428	1
429	3
430	2
431	1
432	3
433	1
434	0
435	1
436	1
437	1
438	0
439	0
440	0
441	3
442	0
443	2
444	1
445	1
446	1
447	0
448	2
449	0
450	1
451	1
452	1
453	2
454	1
455	1
456	2
457	2
458	0
459	0
460	1
461	1
462	2
463	1
464	1
465	2
466	0
467	2
468	0
469	0
470	2
471	1
472	1
473	0
474	1
475	1
476	0
477	1
478	1
479	0
480	1
481	2
482	0
483	3
484	3
485	1
486	2
487	0
488	4
489	1
490	1
491	2
492	1
493	1
494	0
495	0
496	1
497	0
498	0
499	4
500	1
501	2
502	0
503	2
504	0
505	2
506	3
507	0
508	2
509	0
510	1
511	0
512	0
513	1
514	1
515	0
516	1
517	2
518	4
519	0
520	0
521	0
522	2
523	1
524	1
525	1
526	0
527	1
528	0
529	1
530	3
531	3
532	4
533	2
534	0
535	0
536	1
537	1
538	1
539	1
540	2
541	0
542	2
543	1
544	1
545	1
546	1
547	0
548	1
549	1
550	0
551	2
552	3
553	2
554	1
555	0
556	3
557	4
558	1
559	2
560	1
561	3
562	1
563	1
564	1
565	1
566	1
567	0
568	1
569	3
570	2
571	0
572	0
573	0
574	0
575	0
576	0
577	2
578	3
579	0
580	2
581	0
582	0
583	2
584	0
585	0
586	3
587	1
588	1
589	1
590	4
591	0
592	1
593	3
594	1
595	1
596	2
597	2
598	0
599	0
600	2
601	2
602	0
603	1
604	1
605	0
606	0
607	2
608	2
609	1
610	1
611	1
612	0
613	0
614	0
615	1
616	3
617	2
618	3
619	1
620	2
621	3
622	0
623	1
624	3
625	0
626	2
627	2
628	2
629	2
630	1
631	1
632	2
633	3
634	0
635	0
636	0
637	1
638	1
639	1
640	0
641	1
642	2
643	1
644	2
645	1
646	1
647	1
648	0
649	1
650	0
651	1
652	0
653	3
654	1
655	3
656	0
657	0
658	2
659	1
660	2
661	3
662	1
663	3
664	0
665	1
666	2
667	2
668	1
669	0
670	0
671	0
672	0
673	1
674	0
675	2
676	2
677	1
678	2
679	1
680	0
681	0
682	1
683	1
684	2
685	4
686	1
687	2
688	2
689	1
690	0
691	2
692	1
693	3
694	1
695	1
696	0
697	1
698	2
699	1
700	1
701	0
702	1
703	1
704	0
705	0
706	1
707	2
708	3
709	1
710	2
711	1
712	3
713	2
714	1
715	1
716	1
717	1
718	0
719	2
720	0
721	2
722	0
723	0
724	4
725	1
726	3
727	3
728	0
729	2
730	2
731	0
732	1
733	3
734	1
735	2
736	1
737	2
738	0
739	1
740	2
741	0
742	1
743	1
744	2
745	1
746	5
747	3
748	1
749	2
750	2
751	1
752	1
753	2
754	0
755	2
756	0
757	2
758	0
759	1
760	1
761	1
762	1
763	0
764	3
765	0
766	4
767	0
768	0
769	0
770	0
771	1
772	0
773	1
774	1
775	0
776	2
777	1
778	2
779	2
780	1
781	2
782	0
783	1
784	1
785	2
786	1
787	1
788	4
789	1
790	1
791	1
792	0
793	3
794	1
795	1
796	0
797	0
798	1
799	0
800	1
801	0
802	1
803	2
804	1
805	1
806	1
807	0
808	1
809	2
810	1
811	1
812	1
813	2
814	1
815	1
816	1
817	0
818	1
819	2
820	3
821	2
822	1
823	3
824	0
825	1
826	1
827	0
828	1
829	5
830	1
831	4
832	1
833	2
834	1
835	3
836	2
837	3
838	0
839	1
840	3
841	1
842	0
843	1
844	2
845	4
846	0
847	1
848	0
849	3
850	1
851	2
852	0
853	2
854	2
855	0
856	0
857	0
858	1
859	0
860	0
861	3
862	0
863	0
864	2
865	0
866	4
867	0
868	2
869	1
870	1
871	2
872	1
873	0
874	2
875	0
876	1
877	0
878	1
879	1
880	0
881	0
882	2
883	3
884	3
885	3
886	1
887	1
888	0
889	3
890	0
891	0
892	2
893	1
894	0
895	1
896	2
897	1
898	3
899	1
900	2
901	2
902	2
903	0
904	1
905	1
906	2
907	1
908	0
909	3
910	0
911	1
912	2
913	2
914	1
915	1
916	3
917	3
918	1
919	0
920	1
921	2
922	0
923	0
924	0
925	1
926	2
927	2
928	1
929	1
930	1
931	1
932	2
933	2
934	2
935	0
936	1
937	1
938	2
939	2
940	3
941	1
942	1
943	3
944	1
945	0
946	0
947	3
948	0
949	1
950	0
951	0
952	0
953	0
954	3
955	2
956	1
957	2
958	4
959	1
960	3
961	2
962	0
963	1
964	1
965	2
966	1
967	0
968	1
969	1
970	2
971	0
972	2
973	3
974	1
975	0
976	2
977	0
978	1
979	1
980	0
981	1
982	0
983	0
984	2
985	5
986	1
987	2
988	0
989	1
990	0
991	1
992	1
993	1
994	3
995	1
996	3
997	1
998	2
999	2
