index	count
real	23
0	20
1	22
2	21
3	23
4	18
5	13
6	15
7	20
8	24
9	21
10	18
11	20
12	24
13	17
14	17
15	20
16	19
17	18
18	20
19	19
20	15
21	19
22	23
23	25
24	21
25	22
26	20
27	23
28	12
29	16
30	19
31	23
32	20
33	26
34	15
35	20
36	21
37	26
38	20
39	22
40	21
41	22
42	22
43	20
44	19
45	13
46	19
47	28
48	23
49	15
50	20
51	25
52	25
53	19
54	21
55	24
56	20
57	22
58	19
59	21
60	17
61	17
62	24
63	20
64	18
65	16
66	22
67	16
68	21
69	21
70	20
71	23
72	15
73	21
74	18
75	15
76	19
77	22
78	19
79	21
80	15
81	19
82	18
83	23
84	17
85	20
86	19
87	19
88	24
89	16
90	22
91	24
92	16
93	16
94	24
95	21
96	22
97	24
98	22
99	23
100	13
101	21
102	13
103	20
104	20
105	20
106	15
107	22
108	16
109	19
110	19
111	25
112	21
113	17
114	25
115	19
116	22
117	19
118	28
119	19
120	25
121	20
122	23
123	19
124	18
125	23
126	15
127	19
128	23
129	19
130	20
131	21
132	17
133	22
134	18
135	14
136	23
137	20
138	19
139	24
140	24
141	27
142	24
143	28
144	24
145	18
146	20
147	20
148	21
149	20
150	23
151	17
152	14
153	24
154	18
155	19
156	20
157	17
158	18
159	23
160	22
161	24
162	12
163	16
164	20
165	17
166	25
167	21
168	26
169	17
170	21
171	24
172	20
173	26
174	18
175	23
176	23
177	13
178	17
179	27
180	25
181	23
182	19
183	20
184	11
185	22
186	20
187	15
188	18
189	21
190	23
191	17
192	20
193	21
194	24
195	17
196	26
197	21
198	18
199	19
200	20
201	19
202	29
203	21
204	16
205	18
206	22
207	15
208	15
209	18
210	23
211	16
212	24
213	23
214	22
215	21
216	17
217	15
218	19
219	10
220	20
221	24
222	19
223	16
224	19
225	27
226	17
227	29
228	16
229	23
230	15
231	14
232	15
233	23
234	22
235	20
236	19
237	17
238	24
239	23
240	22
241	15
242	22
243	21
244	24
245	20
246	20
247	21
248	19
249	20
250	22
251	17
252	22
253	19
254	21
255	22
256	21
257	18
258	20
259	19
260	22
261	19
262	16
263	17
264	21
265	23
266	21
267	23
268	17
269	19
270	22
271	23
272	20
273	19
274	17
275	24
276	23
277	23
278	17
279	24
280	22
281	23
282	14
283	19
284	21
285	22
286	19
287	24
288	19
289	24
290	16
291	17
292	21
293	18
294	17
295	25
296	22
297	20
298	20
299	18
300	20
301	20
302	21
303	21
304	25
305	20
306	20
307	25
308	17
309	19
310	23
311	20
312	24
313	21
314	22
315	22
316	16
317	26
318	21
319	23
320	27
321	23
322	24
323	14
324	14
325	16
326	21
327	19
328	18
329	21
330	21
331	20
332	18
333	23
334	23
335	20
336	23
337	23
338	13
339	20
340	23
341	17
342	20
343	20
344	26
345	16
346	23
347	17
348	26
349	20
350	17
351	18
352	25
353	21
354	23
355	26
356	19
357	15
358	17
359	26
360	20
361	29
362	23
363	18
364	15
365	22
366	23
367	18
368	25
369	28
370	18
371	20
372	20
373	19
374	19
375	20
376	22
377	19
