index	count
real	25
0	17
1	17
2	22
3	21
4	19
5	15
6	16
7	17
8	19
9	15
10	20
11	15
12	19
13	15
14	15
15	24
16	17
17	16
18	17
19	16
20	15
21	15
22	22
23	21
24	21
25	21
26	21
27	21
28	10
29	15
30	18
31	21
32	17
33	21
34	15
35	18
36	16
37	17
38	16
39	16
40	23
41	19
42	20
43	16
44	17
45	12
46	15
47	20
48	19
49	14
50	13
51	19
52	23
53	16
54	23
55	20
56	21
57	15
58	20
59	23
60	16
61	21
62	19
63	17
64	16
65	13
66	15
67	16
68	19
69	18
70	17
71	20
72	14
73	20
74	13
75	12
76	19
77	18
78	19
79	17
80	14
81	23
82	18
83	24
84	16
85	18
86	19
87	19
88	21
89	16
90	21
91	20
92	15
93	10
94	20
95	21
96	19
97	19
98	17
99	21
100	11
101	21
102	12
103	21
104	23
105	18
106	15
107	16
108	18
109	18
110	17
111	19
112	18
113	18
114	21
115	20
116	21
117	16
118	21
119	17
120	23
121	14
122	18
123	14
124	14
125	19
126	12
127	17
128	18
129	17
130	16
131	20
132	16
133	19
134	20
135	12
136	23
137	19
138	15
139	17
140	24
141	25
142	22
143	20
144	21
145	17
146	19
147	19
148	19
149	20
150	22
151	15
152	15
153	21
154	20
155	18
156	20
157	13
158	16
159	20
160	23
161	24
162	13
163	20
164	19
165	16
166	22
167	15
168	21
169	22
170	18
171	22
172	16
173	20
174	14
175	18
176	19
177	15
178	20
179	18
180	20
181	20
182	13
183	16
184	12
185	18
186	22
187	12
188	18
189	18
190	21
191	15
192	20
193	19
194	22
195	20
196	24
197	20
198	21
199	19
200	19
201	15
202	21
203	18
204	17
205	19
206	17
207	17
208	17
209	18
210	22
211	18
212	23
213	21
214	16
215	23
216	16
217	13
218	19
219	10
220	21
221	24
222	18
223	14
224	17
225	21
226	16
227	23
228	14
229	19
230	15
231	15
232	20
233	18
234	20
235	16
236	15
237	14
238	22
239	19
240	22
241	18
242	20
243	17
244	27
245	16
246	18
247	18
248	16
249	18
250	25
251	13
252	19
253	20
254	24
255	15
256	21
257	16
258	24
259	15
260	26
261	17
262	15
263	16
264	16
265	21
266	21
267	20
268	17
269	19
270	18
271	22
272	20
273	18
274	19
275	21
276	19
277	15
278	14
279	18
280	21
281	15
282	13
283	19
284	19
285	17
286	21
287	19
288	15
289	18
290	13
291	17
292	18
293	15
294	18
295	20
296	21
297	16
298	20
299	16
300	16
301	26
302	18
303	22
304	18
305	16
306	19
307	20
308	23
309	18
310	19
311	14
312	23
313	14
314	18
315	19
316	18
317	20
318	17
319	20
320	22
321	19
322	24
323	16
324	11
325	14
326	17
327	18
328	15
329	20
330	17
331	18
332	13
333	20
334	18
335	17
336	20
337	20
338	16
339	19
340	22
341	17
