geneID	UBE3A_int	baits	cell_lines	descr	hcip_cutoff_sy5y	symbol	synonyms
6790	None	MAPK6	h	aurora kinase A	None	AURKA	AIK|ARK1|AURA|BTAK|PPP1R47|STK15|STK6|STK7
65080	None	ECH1	h	mitochondrial ribosomal protein L44	None	MRPL44	COXPD16|L44MT|MRP-L44
6773	None	CAMK2D	s	signal transducer and activator of transcription 2	95	STAT2	IMD44|ISGF-3|P113|STAT113
9500	None	CAMK2D	s	MAGE family member D1	90	MAGED1	DLXIN-1|NRAGE
81567	None	ECH1	b	thioredoxin domain containing 5	None	TXNDC5	ENDOPDI|ERP46|HCC-2|HCC2|PDIA15|STRF8|UNQ364
8689	APMS_seed	NEURL4|UBE3A	b	keratin 36	None	KRT36	HA6|KRTHA6|hHa6
9747	None	MAPK6	h	TRPM8 channel associated factor 1	None	TCAF1	FAM115A
10513	None	CAMK2D	s	amyloid beta precursor protein binding protein 2	95	APPBP2	APP-BP2|HS.84084|PAT1
818	None	CAMK2D	s	calcium/calmodulin dependent protein kinase II gamma	95	CAMK2G	CAMK|CAMK-II|CAMKG
815	None	CAMK2D	s	calcium/calmodulin dependent protein kinase II alpha	95	CAMK2A	CAMKA
816	None	CAMK2D	s	calcium/calmodulin dependent protein kinase II beta	95	CAMK2B	CAM2|CAMK2|CAMKB
817	None	NEURL4|CAMK2D	s	calcium/calmodulin dependent protein kinase II delta	95	CAMK2D	CAMKD
8732	None	HERC2	h	RNA guanylyltransferase and 5'-phosphatase	None	RNGTT	CAP1A|HCE|HCE1|hCAP
55787	None	HERC2	h	taxilin gamma	None	TXLNG	CXorf15|ELRG|FIAT|LSR5|TXLNGX
5079	Y2H_seed	UBE3A	yeast	paired box 5	None	PAX5	ALL3|BSAP
26999	None	CAMK2D	s	cytoplasmic FMR1 interacting protein 2	95	CYFIP2	PIR121
51386	None	HERC2	b	eukaryotic translation initiation factor 3 subunit L	None	EIF3L	EIF3EIP|EIF3S11|EIF3S6IP|HSPC021|HSPC025|MSTP005
55662	APMS_seed	UBE3A	b	hypoxia inducible factor 1 alpha subunit inhibitor	None	HIF1AN	FIH1
8496	None	CAMK2D	s	PPFIA binding protein 1	95	PPFIBP1	L2|SGT2|hSGT2|hSgt2p
