geneID_A	geneID_B	origins
6790	139285	BioPlex
10152	65080	HI-union
6773	55699	BioPlex
6773	83642	BioPlex
3636	6773	BioPlex
2071	9500	HI-union
9500	10142	HI-union
9500	9802	HI-union
6607	9500	HI-union
9500	10342	HI-union
9500	29978	HI-union
54751	81567	HI-union
8689	10152	HI-union
815	9747	HI-union
8732	10513	HI-union
8533	10513	BioPlex
10513	84219	HI-union
4638	10513	HI-union
10513	64860	HI-union
10513	27037	HI-union
10513	10920	BioPlex
5297	10513	HI-union
815	818	HI-union
816	818	HI-union
817	818	BioPlex|HI-union
801	818	Lit-BM-13
818	8826	QUBIC
815	816	HI-union
815	817	BioPlex|HI-union
815	9119	HI-union
815	9802	HI-union
815	6607	HI-union
815	7407	HI-union
801	815	Lit-BM-13
816	817	BioPlex|HI-union
816	7407	HI-union
816	5257	HI-union
817	64778	HI-union
801	817	Lit-BM-13
6607	55787	QUBIC
5079	6607	HI-union
26999	28952	BioPlex
10163	26999	CoFrac
10006	26999	CoFrac
10152	26999	BioPlex
10787	26999	CoFrac
51366	51386	QUBIC
29110	55662	BioPlex
8496	25953	BioPlex
8496	9859	HI-union
322	7024	Lit-BM-13
6418	51366	CoFrac
321	8924	BioPlex
321	5970	Lit-BM-13
321	10868	BioPlex|HI-union
9126	55858	QUBIC
3636	81488	BioPlex
1856	58500	HI-union
55697	64778	HI-union
6272	22853	QUBIC
29062	51366	QUBIC
2317	6711	QUBIC
8924	28988	BioPlex
8924	29110	AlHakimIP
8924	57448	BioPlex
8924	9126	QUBIC
11001	51366	QUBIC
8668	51366	CoFrac
1062	51366	QUBIC
5905	51366	CoFrac
5204	10152	HI-union
689	80198	QUBIC
94241	259266	BioPlex
10455	28988	BioPlex
9119	10152	HI-union
8243	10592	CoFrac
9126	10592	QUBIC
10006	28952	BioPlex
28952	57448	BioPlex
10152	28952	BioPlex
2289	79858	BioPlex
5887	7791	CoFrac
801	4638	Lit-BM-13
4638	5500	QUBIC
10142	57448	BioPlex
10142	10152	HI-union
5189	8243	QUBIC
10006	56243	HI-union
10152	56243	HI-union
9219	55037	QUBIC
10006	10163	CoFrac|QUBIC
10152	10163	BioPlex
10163	10787	CoFrac
3797	22920	BioPlex|QUBIC
2289	192669	BioPlex
5499	22853	Lit-BM-13
10006	10432	QUBIC
7024	54819	HI-union
7408	7791	Lit-BM-13|BioPlex|HI-union
8667	10006	HI-union
8667	10152	HI-union
8975	9802	HI-union
57448	57599	QUBIC
8243	23598	QUBIC
5970	7159	Lit-BM-13
5970	8409	Lit-BM-13
1856	51741	BioPlex
10152	51741	HI-union
6602	10006	HI-union
7408	10006	BioPlex|HI-union
10006	23191	QUBIC
4288	10006	QUBIC
10006	10152	BioPlex|HI-union|QUBIC
5295	10006	Lit-BM-13
10006	10787	Lit-BM-13|CoFrac|QUBIC
6602	10152	HI-union
6607	50628	QUBIC
5894	6607	QUBIC
2746	6607	QUBIC
1499	139285	QUBIC
1891	5830	Lit-BM-13
6595	9126	CoFrac
3895	7407	QUBIC
708	1856	QUBIC
7408	10152	HI-union
5771	7407	CoFrac
8243	57509	QUBIC
9126	286887	QUBIC
10152	23191	BioPlex
10787	23191	Lit-BM-13
2317	7464	QUBIC
2316	2317	Lit-BM-13|CoFrac|QUBIC
2316	54751	Lit-BM-13
808	2317	QUBIC
801	2317	QUBIC
2317	6709	QUBIC
2317	5500	QUBIC
2317	5297	QUBIC
2317	54751	Lit-BM-13
2317	4134	CoFrac
2317	3728	QUBIC
2317	7411	CoFrac
2317	4644	QUBIC
2317	8826	QUBIC
10868	28988	BioPlex
28988	84461	Lit-BM-13|BioPlex
5347	29110	BioPlex
161	51429	BioPlex
9126	54552	QUBIC
1856	51329	QUBIC
9126	22820	CoFrac
3835	57448	QUBIC
3835	9126	QUBIC
2778	8243	QUBIC
10152	84220	BioPlex
5347	57448	QUBIC
3636	4173	CoFrac
9648	22920	QUBIC
8260	22920	HI-union
9126	22920	Lit-BM-13
9857	22920	QUBIC
8243	8975	QUBIC
8975	9126	QUBIC
10152	23557	HI-union
10152	29978	HI-union
10152	10787	BioPlex
10152	23363	BioPlex
9859	10152	HI-union
3884	10152	HI-union
3880	10152	HI-union
9126	27127	CoFrac
9859	55275	BioPlex
5347	8243	CoFrac
5347	9126	CoFrac
8243	9126	CoFrac|QUBIC
9126	9859	QUBIC
9126	22862	QUBIC
8826	9126	QUBIC
9126	84461	QUBIC
