GO_ID	GO_name	num_seed_genes	num_total_seed_genes	num_genes_genespace	LOD	p_value	p_adjust	seed_gene_symbols	seed_gene_IDs
GO:0008280	cohesin core heterodimer	2	62	2	3.17548066422	1.14359179932e-05	0.038	SMC1A,SMC3	8243,9126
GO:0031209	SCAR complex	5	62	8	2.69482094384	2.1701252591e-11	0	ABI2,NCKAP1,ABI1,WASF2,CYFIP1	10152,10787,10006,10163,23191
GO:2000601	positive regulation of Arp2/3 complex-mediated actin nucleation	3	62	7	2.37450874187	1.30787493105e-06	0.002	ABI2,NCKAP1,CYFIP1	10152,10787,23191
GO:0030893	meiotic cohesin complex	3	62	7	2.37450874187	1.30787493105e-06	0.002	SMC1A,REC8,SMC3	8243,9985,9126
GO:0008278	cohesin complex	3	62	10	2.15258808522	4.45143450401e-06	0.012	SMC1A,REC8,SMC3	8243,9985,9126
GO:0016601	Rac protein signal transduction	5	62	19	2.07725728318	4.37813857015e-09	0	ABI2,NCKAP1,WASF2,CYFIP1,DBNL	10152,10787,10163,23191,28988
GO:0051127	positive regulation of actin nucleation	3	62	12	2.04987779869	8.12119957862e-06	0.02	ABI2,NCKAP1,CYFIP1	10152,10787,23191
GO:0034315	regulation of Arp2/3 complex-mediated actin nucleation	3	62	13	2.00638813061	1.05317958337e-05	0.022	ABI2,NCKAP1,CYFIP1	10152,10787,23191
GO:0004683	calmodulin-dependent protein kinase activity	4	62	22	1.87671942827	8.55398938477e-07	0.001	CAMK2G,CAMK2A,CAMK2B,CAMK2D	818,815,816,817
GO:0033017	sarcoplasmic reticulum membrane	4	62	36	1.63167186801	6.64648965689e-06	0.017	CAMK2G,ITPR2,CAMK2B,CAMK2D	818,3709,816,817
GO:0097581	lamellipodium organization	4	62	37	1.61848641717	7.43314162869e-06	0.017	NCKAP1,ABI1,WASF2,CYFIP1	10787,10006,10163,23191
GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	7	62	75	1.551711281	6.25137851523e-09	0	ABI1,CYFIP2,WASF2,ITPR1,ITPR2,NCKAP1,CYFIP1	10006,26999,10163,3708,3709,10787,23191
GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	7	62	75	1.551711281	6.25137851523e-09	0	ABI1,CYFIP2,WASF2,ITPR1,ITPR2,NCKAP1,CYFIP1	10006,26999,10163,3708,3709,10787,23191
GO:0097517	contractile actin filament bundle	4	62	43	1.54679007203	1.36784777669e-05	0.047	ZYX,FBLIM1,MYLK,FLNB	7791,54751,4638,2317
GO:0001725	stress fiber	4	62	43	1.54679007203	1.36784777669e-05	0.047	ZYX,FBLIM1,MYLK,FLNB	7791,54751,4638,2317
GO:0002431	Fc receptor mediated stimulatory signaling pathway	7	62	76	1.54539299526	6.86733750529e-09	0	ABI1,CYFIP2,WASF2,ITPR1,ITPR2,NCKAP1,CYFIP1	10006,26999,10163,3708,3709,10787,23191
GO:0038094	Fc-gamma receptor signaling pathway	7	62	77	1.53916462889	7.53406147202e-09	0	ABI1,CYFIP2,WASF2,ITPR1,ITPR2,NCKAP1,CYFIP1	10006,26999,10163,3708,3709,10787,23191
GO:0030027	lamellipodium	7	62	147	1.23799032422	6.62422690158e-07	0.001	ABI2,ABI1,INPPL1,WASF2,MYLK,CYFIP1,DBNL	10152,10006,3636,10163,4638,23191,28988
