index	num_nodes_lcc
real	8
0	3.0
1	8.0
2	5.0
3	3.0
4	5.0
5	4.0
6	3.0
7	5.0
8	3.0
9	3.0
10	4.0
11	3.0
12	6.0
13	3.0
14	3.0
15	4.0
16	4.0
17	4.0
18	3.0
19	3.0
20	5.0
21	3.0
22	3.0
23	4.0
24	3.0
25	5.0
26	4.0
27	5.0
28	3.0
29	4.0
30	5.0
31	3.0
32	10.0
33	2.0
34	10.0
35	2.0
36	3.0
37	4.0
38	4.0
39	5.0
40	7.0
41	2.0
42	6.0
43	4.0
44	4.0
45	2.0
46	5.0
47	3.0
48	4.0
49	3.0
50	4.0
51	3.0
52	4.0
53	6.0
54	4.0
55	2.0
56	2.0
57	8.0
58	4.0
59	4.0
60	3.0
61	3.0
62	5.0
63	4.0
64	3.0
65	8.0
66	7.0
67	4.0
68	2.0
69	2.0
70	3.0
71	6.0
72	6.0
73	3.0
74	5.0
75	7.0
76	5.0
77	3.0
78	4.0
79	8.0
80	12.0
81	9.0
82	2.0
83	3.0
84	4.0
85	4.0
86	5.0
87	4.0
88	5.0
89	3.0
90	3.0
91	2.0
92	4.0
93	3.0
94	2.0
95	3.0
96	4.0
97	4.0
98	3.0
99	4.0
100	5.0
101	3.0
102	3.0
103	9.0
104	4.0
105	4.0
106	3.0
107	7.0
108	2.0
109	4.0
110	6.0
111	3.0
112	4.0
113	3.0
114	3.0
115	7.0
116	2.0
117	4.0
118	6.0
119	8.0
120	5.0
121	5.0
122	2.0
123	7.0
124	5.0
125	4.0
126	4.0
127	6.0
128	4.0
129	3.0
130	5.0
131	4.0
132	4.0
133	3.0
134	3.0
135	3.0
136	2.0
137	4.0
138	4.0
139	3.0
140	5.0
141	3.0
142	4.0
143	3.0
144	3.0
145	3.0
146	11.0
147	3.0
148	3.0
149	5.0
150	2.0
151	3.0
152	2.0
153	6.0
154	2.0
155	3.0
156	3.0
157	2.0
158	3.0
159	2.0
160	2.0
161	2.0
162	5.0
163	3.0
164	4.0
165	3.0
166	3.0
167	2.0
168	3.0
169	2.0
170	4.0
171	3.0
172	3.0
173	4.0
174	2.0
175	4.0
176	2.0
177	4.0
178	5.0
179	3.0
180	3.0
181	8.0
182	3.0
183	9.0
184	3.0
185	3.0
186	5.0
187	10.0
188	2.0
189	2.0
190	4.0
191	6.0
192	3.0
193	5.0
194	3.0
195	6.0
196	3.0
197	2.0
198	2.0
199	3.0
200	3.0
201	2.0
202	3.0
203	3.0
204	6.0
205	5.0
206	4.0
207	3.0
208	3.0
209	3.0
210	12.0
211	6.0
212	7.0
213	4.0
214	4.0
215	3.0
216	3.0
217	3.0
218	4.0
219	3.0
220	4.0
221	2.0
222	5.0
223	3.0
224	5.0
225	2.0
226	5.0
227	3.0
228	5.0
229	3.0
230	2.0
231	5.0
232	6.0
233	4.0
234	4.0
235	3.0
236	3.0
237	3.0
238	5.0
239	2.0
240	2.0
241	3.0
242	5.0
243	3.0
244	2.0
245	3.0
246	3.0
247	5.0
248	3.0
249	2.0
250	3.0
251	4.0
252	12.0
253	3.0
254	6.0
255	3.0
256	3.0
257	5.0
258	6.0
259	6.0
260	3.0
261	2.0
262	3.0
263	2.0
264	2.0
265	6.0
266	3.0
267	3.0
268	7.0
269	4.0
270	3.0
271	3.0
272	3.0
273	3.0
274	3.0
275	6.0
276	5.0
277	3.0
278	5.0
279	4.0
280	4.0
281	2.0
282	3.0
283	4.0
284	5.0
285	4.0
286	3.0
287	3.0
288	3.0
289	2.0
290	4.0
291	5.0
292	4.0
293	3.0
294	3.0
295	2.0
296	6.0
297	3.0
298	3.0
299	3.0
300	3.0
301	4.0
302	3.0
303	3.0
304	4.0
305	3.0
306	4.0
307	7.0
308	4.0
309	3.0
310	5.0
311	2.0
312	5.0
313	5.0
314	2.0
315	3.0
316	5.0
317	2.0
318	7.0
319	2.0
320	4.0
321	2.0
322	4.0
323	5.0
324	3.0
325	3.0
326	3.0
327	8.0
328	6.0
329	3.0
330	5.0
331	4.0
332	9.0
333	2.0
334	3.0
335	4.0
336	2.0
337	5.0
338	2.0
339	2.0
340	4.0
341	5.0
342	3.0
343	3.0
344	5.0
345	2.0
346	4.0
347	4.0
348	7.0
349	3.0
350	6.0
351	2.0
352	5.0
353	5.0
354	6.0
355	9.0
356	3.0
357	3.0
358	8.0
359	7.0
360	3.0
361	2.0
362	3.0
363	3.0
364	5.0
365	3.0
366	3.0
367	3.0
368	3.0
369	4.0
370	5.0
371	3.0
372	4.0
373	3.0
374	5.0
375	4.0
376	4.0
377	3.0
378	4.0
379	3.0
380	4.0
381	4.0
382	4.0
383	3.0
384	5.0
385	3.0
386	10.0
387	3.0
388	4.0
389	6.0
390	2.0
391	4.0
392	3.0
393	3.0
394	5.0
395	5.0
396	3.0
397	7.0
398	2.0
399	3.0
400	2.0
401	4.0
402	5.0
403	5.0
404	4.0
405	5.0
406	3.0
407	6.0
408	5.0
409	3.0
410	3.0
411	2.0
412	4.0
413	7.0
414	3.0
415	4.0
416	2.0
417	5.0
418	5.0
419	4.0
420	3.0
421	4.0
422	3.0
423	5.0
424	6.0
425	4.0
426	3.0
427	3.0
428	3.0
429	2.0
430	3.0
431	3.0
432	5.0
433	4.0
434	5.0
435	2.0
436	5.0
437	3.0
438	3.0
439	4.0
440	3.0
441	4.0
442	6.0
443	3.0
444	3.0
445	12.0
446	5.0
447	2.0
448	4.0
449	4.0
450	9.0
451	2.0
452	3.0
453	4.0
454	4.0
455	6.0
456	4.0
457	4.0
458	2.0
459	2.0
460	3.0
461	4.0
462	4.0
463	4.0
464	5.0
465	4.0
466	3.0
467	3.0
468	3.0
469	13.0
470	4.0
471	5.0
472	2.0
473	3.0
474	2.0
475	4.0
476	6.0
477	4.0
478	2.0
479	4.0
480	5.0
481	5.0
482	3.0
483	4.0
484	4.0
485	3.0
486	3.0
487	3.0
488	2.0
489	8.0
490	3.0
491	3.0
492	5.0
493	8.0
494	2.0
495	3.0
496	5.0
497	4.0
498	2.0
499	3.0
500	7.0
501	2.0
502	4.0
503	4.0
504	6.0
505	4.0
506	5.0
507	6.0
508	3.0
509	4.0
510	4.0
511	2.0
512	3.0
513	6.0
514	2.0
515	5.0
516	3.0
517	3.0
518	3.0
519	4.0
520	4.0
521	4.0
522	4.0
523	5.0
524	5.0
525	2.0
526	4.0
527	4.0
528	3.0
529	3.0
530	3.0
531	4.0
532	4.0
533	8.0
534	3.0
535	2.0
536	2.0
537	2.0
538	3.0
539	5.0
540	7.0
541	3.0
542	2.0
543	4.0
544	2.0
545	3.0
546	2.0
547	7.0
548	2.0
549	4.0
550	3.0
551	3.0
552	3.0
553	4.0
554	3.0
555	5.0
556	6.0
557	2.0
558	4.0
559	4.0
560	3.0
561	4.0
562	3.0
563	3.0
564	5.0
565	4.0
566	5.0
567	2.0
568	6.0
569	2.0
570	5.0
571	8.0
572	3.0
573	4.0
574	3.0
575	3.0
576	4.0
577	5.0
578	6.0
579	2.0
580	7.0
581	8.0
582	5.0
583	4.0
584	2.0
585	3.0
586	2.0
587	2.0
588	6.0
589	8.0
590	5.0
591	2.0
592	2.0
593	3.0
594	5.0
595	4.0
596	5.0
597	4.0
598	8.0
599	9.0
600	5.0
601	5.0
602	9.0
603	4.0
604	4.0
605	3.0
606	3.0
607	4.0
608	3.0
609	5.0
610	2.0
611	4.0
612	10.0
613	2.0
614	7.0
615	5.0
616	4.0
617	2.0
618	5.0
619	5.0
620	2.0
621	7.0
622	6.0
623	4.0
624	4.0
625	4.0
626	3.0
627	3.0
628	3.0
629	2.0
630	3.0
631	4.0
632	4.0
633	5.0
634	3.0
635	3.0
636	3.0
637	4.0
638	2.0
639	5.0
640	3.0
641	6.0
642	4.0
643	3.0
644	8.0
645	4.0
646	3.0
647	2.0
648	3.0
649	3.0
650	4.0
651	4.0
652	3.0
653	7.0
654	3.0
655	3.0
656	7.0
657	2.0
658	3.0
659	3.0
660	5.0
661	5.0
662	4.0
663	6.0
664	3.0
665	4.0
666	5.0
667	8.0
668	4.0
669	4.0
670	4.0
671	3.0
672	3.0
673	2.0
674	3.0
675	9.0
676	6.0
677	3.0
678	4.0
679	3.0
680	4.0
681	3.0
682	5.0
683	3.0
684	4.0
685	2.0
686	4.0
687	4.0
688	3.0
689	3.0
690	3.0
691	3.0
692	3.0
693	2.0
694	3.0
695	2.0
696	4.0
697	4.0
698	7.0
699	3.0
700	6.0
701	4.0
702	3.0
703	3.0
704	3.0
705	5.0
706	3.0
707	3.0
708	5.0
709	3.0
710	4.0
711	3.0
712	9.0
713	5.0
714	2.0
715	2.0
716	2.0
717	3.0
718	4.0
719	5.0
720	3.0
721	9.0
722	8.0
723	6.0
724	6.0
725	2.0
726	5.0
727	7.0
728	2.0
729	6.0
730	7.0
731	3.0
732	2.0
733	5.0
734	4.0
735	4.0
736	3.0
737	9.0
738	3.0
739	3.0
740	4.0
741	3.0
742	8.0
743	4.0
744	2.0
745	3.0
746	3.0
747	5.0
748	4.0
749	4.0
750	6.0
751	4.0
752	3.0
753	4.0
754	3.0
755	5.0
756	6.0
757	4.0
758	4.0
759	4.0
760	3.0
761	9.0
762	2.0
763	4.0
764	5.0
765	3.0
766	2.0
767	5.0
768	2.0
769	3.0
770	5.0
771	4.0
772	4.0
773	7.0
774	3.0
775	4.0
776	6.0
777	2.0
778	6.0
779	5.0
780	3.0
781	4.0
782	6.0
783	2.0
784	5.0
785	4.0
786	4.0
787	3.0
788	5.0
789	3.0
790	3.0
791	3.0
792	3.0
793	2.0
794	4.0
795	3.0
796	2.0
797	3.0
798	5.0
799	6.0
800	3.0
801	5.0
802	4.0
803	4.0
804	4.0
805	4.0
806	5.0
807	2.0
808	4.0
809	8.0
810	5.0
811	2.0
812	5.0
813	3.0
814	3.0
815	4.0
816	4.0
817	4.0
818	5.0
819	3.0
820	3.0
821	6.0
822	5.0
823	3.0
824	6.0
825	5.0
826	4.0
827	4.0
828	5.0
829	3.0
830	2.0
831	4.0
832	3.0
833	7.0
834	5.0
