geneID_A	geneID_B
3646	8667
9685	10617
8237	84172
1643	10987
7453	79016
270	23710
23710	51479
534	11345
23710	83734
1778	81631
9861	10868
3857	84557
8678	80305
1431	8237
7405	79861
3329	81631
11345	136319
1213	11345
10521	23710
8406	84557
11345	286887
10657	84557
8664	8667
54764	57464
57727	84557
11337	23710
11047	51377
2193	8237
79876	94081
11345	25873
3192	11337
83593	115207
1762	6279
7405	30849
8237	440738
5591	84938
3959	11345
4000	79443
55593	164832
5216	11345
55832	79016
2950	11345
6633	11345
6166	51100
2631	51520
3163	10869
9701	25862
8368	23710
5110	11345
4676	11345
7001	84557
213	51720
9577	79184
10980	90293
6950	11345
23710	64848
10772	84557
11345	135112
23299	54764
6137	11345
8878	60485
51720	154796
4172	11337
11337	135112
10935	23710
1975	7874
10072	114884
8667	10480
23710	203068
1201	23165
392197	728405
871	11345
6152	11345
6175	23710
10514	23710
8451	10980
5286	10533
1823	60673
55593	56474
8878	23132
2011	9737
9128	10765
4627	7398
5825	373509
5565	9644
5903	81631
57521	64223
5230	5571
5230	60673
4830	23710
11337	114034
5903	11345
5198	51720
11345	83759
10868	55379
2130	84557
7405	23279
8570	23710
6794	81617
54532	57002
10213	51377
6742	11345
9577	54495
64854	84687
5571	51422
51100	56904
4741	8878
9960	23038
57599	64854
9733	25871
9908	11273
10944	57599
79228	84557
23327	154796
8237	10198
8878	51100
114883	115106
1266	23710
5555	5565
10868	23138
599	11345
808	10645
23077	84557
2998	11337
1977	8667
9748	11337
29086	51260
7126	253980
1153	23710
1762	54938
1762	4720
2026	23710
9733	51690
10576	23710
8971	11337
6897	51422
1938	84557
11337	51388
10694	23710
7874	11127
10146	51096
1201	7417
6294	9821
3189	11345
51100	65095
8148	11345
3185	11345
8678	55054
8439	81631
2923	23710
7375	9465
8878	9817
54868	57602
5036	10713
3310	84557
8985	84557
4172	84557
3097	23291
3880	84669
26135	84557
54460	84101
11337	55213
8408	9776
5339	8878
9667	84557
10146	23710
6432	84557
51479	440738
5230	5286
5705	84938
9631	56957
8349	84557
22907	23710
5825	84669
6789	440738
832	1762
84557	92609
9099	51018
9958	64852
5230	79876
2969	11337
5928	11337
10645	10788
6207	84557
2023	81631
10243	54726
6634	23710
6117	60673
10482	23710
10768	126119
7431	81631
9688	9924
375	23710
9924	54148
23008	23386
7375	80153
4131	9140
11337	29896
4738	10987
2517	27005
5702	23710
1736	11337
7430	23035
4734	11345
6187	11345
5052	84557
11345	79443
4077	81631
23350	23710
689	728379
10165	29086
23197	80124
64976	84101
8520	10146
3312	23710
2239	8878
983	84669
3860	23710
7278	84557
5170	26608
25862	55705
10980	10987
5245	9577
6187	84557
6191	11345
1121	10946
4869	11337
8106	23710
6794	11140
57602	84954
5564	5565
4711	55054
84557	100526737
64422	440738
8667	8668
1973	11345
9510	728369
84078	440738
9706	60673
8266	8975
9099	9361
7150	23710
10808	11345
9908	200916
6228	23710
9987	81631
8607	84557
3852	11345
3315	84557
6741	11345
3832	9706
