index	num_nodes_lcc
real	7
0	5.0
1	3.0
2	2.0
3	9.0
4	5.0
5	4.0
6	4.0
7	3.0
8	3.0
9	7.0
10	5.0
11	5.0
12	4.0
13	4.0
14	5.0
15	4.0
16	7.0
17	6.0
18	10.0
19	4.0
20	4.0
21	8.0
22	5.0
23	2.0
24	10.0
25	5.0
26	5.0
27	3.0
28	4.0
29	2.0
30	7.0
31	4.0
32	6.0
33	7.0
34	4.0
35	4.0
36	8.0
37	5.0
38	7.0
39	3.0
40	6.0
41	3.0
42	2.0
43	2.0
44	4.0
45	6.0
46	4.0
47	5.0
48	11.0
49	3.0
50	4.0
51	5.0
52	2.0
53	5.0
54	4.0
55	3.0
56	3.0
57	4.0
58	11.0
59	5.0
60	5.0
61	5.0
62	5.0
63	14.0
64	6.0
65	4.0
66	3.0
67	10.0
68	3.0
69	5.0
70	2.0
71	4.0
72	4.0
73	3.0
74	2.0
75	2.0
76	4.0
77	3.0
78	10.0
79	4.0
80	6.0
81	9.0
82	2.0
83	3.0
84	4.0
85	3.0
86	3.0
87	3.0
88	7.0
89	3.0
90	2.0
91	3.0
92	9.0
93	4.0
94	5.0
95	8.0
96	5.0
97	2.0
98	5.0
99	3.0
100	6.0
101	6.0
102	6.0
103	3.0
104	3.0
105	3.0
106	5.0
107	3.0
108	3.0
109	5.0
110	2.0
111	2.0
112	5.0
113	5.0
114	3.0
115	3.0
116	6.0
117	5.0
118	14.0
119	3.0
120	6.0
121	4.0
122	4.0
123	4.0
124	9.0
125	3.0
126	7.0
127	5.0
128	3.0
129	3.0
130	7.0
131	9.0
132	3.0
133	4.0
134	4.0
135	4.0
136	4.0
137	3.0
138	4.0
139	4.0
140	4.0
141	3.0
142	8.0
143	3.0
144	2.0
145	4.0
146	3.0
147	3.0
148	3.0
149	4.0
150	5.0
151	4.0
152	6.0
153	5.0
154	4.0
155	3.0
156	8.0
157	4.0
158	5.0
159	5.0
160	3.0
161	6.0
162	3.0
163	4.0
164	6.0
165	6.0
166	10.0
167	2.0
168	6.0
169	8.0
170	3.0
171	7.0
172	3.0
173	3.0
174	5.0
175	4.0
176	3.0
177	6.0
178	6.0
179	5.0
180	4.0
181	10.0
182	3.0
183	3.0
184	3.0
185	4.0
186	6.0
187	5.0
188	11.0
189	3.0
190	4.0
191	4.0
192	2.0
193	11.0
194	4.0
195	3.0
196	7.0
197	8.0
198	4.0
199	3.0
200	3.0
201	2.0
202	3.0
203	3.0
204	4.0
205	4.0
206	10.0
207	3.0
208	2.0
209	5.0
210	5.0
211	4.0
212	8.0
213	6.0
214	7.0
215	4.0
216	8.0
217	6.0
218	4.0
219	4.0
220	6.0
221	3.0
222	4.0
223	5.0
224	2.0
225	4.0
226	5.0
227	5.0
228	4.0
229	2.0
230	3.0
231	6.0
232	5.0
233	7.0
234	5.0
235	4.0
236	4.0
237	2.0
238	3.0
239	3.0
240	3.0
241	6.0
242	4.0
243	5.0
244	4.0
245	3.0
246	6.0
247	3.0
248	6.0
249	5.0
250	3.0
251	6.0
252	11.0
253	4.0
254	3.0
255	8.0
256	3.0
257	3.0
258	4.0
259	4.0
260	3.0
261	4.0
262	4.0
263	7.0
264	8.0
265	4.0
266	6.0
267	4.0
268	3.0
269	3.0
270	3.0
271	6.0
272	3.0
273	9.0
274	8.0
275	4.0
276	4.0
277	4.0
278	6.0
279	3.0
280	3.0
281	4.0
282	5.0
283	4.0
284	6.0
285	7.0
286	5.0
287	5.0
288	6.0
289	3.0
290	5.0
291	6.0
292	5.0
293	3.0
294	6.0
295	3.0
296	5.0
297	3.0
298	7.0
299	4.0
300	4.0
301	3.0
302	2.0
303	3.0
304	4.0
305	8.0
306	8.0
307	4.0
308	4.0
309	5.0
310	3.0
311	5.0
312	7.0
313	4.0
314	4.0
315	4.0
316	3.0
317	3.0
318	3.0
319	5.0
320	5.0
321	2.0
322	6.0
323	3.0
324	4.0
325	7.0
326	3.0
327	4.0
328	12.0
329	5.0
330	2.0
331	3.0
332	5.0
333	3.0
334	5.0
335	6.0
336	8.0
337	5.0
338	2.0
339	3.0
340	3.0
341	4.0
342	5.0
343	4.0
344	5.0
345	8.0
346	5.0
347	6.0
348	4.0
349	3.0
350	8.0
351	4.0
352	3.0
353	4.0
354	3.0
355	3.0
356	6.0
357	3.0
358	2.0
359	5.0
360	3.0
361	6.0
362	5.0
363	6.0
364	7.0
365	4.0
