index	num_nodes_lcc
real	7
0	2.0
1	2.0
2	2.0
3	2.0
4	3.0
5	2.0
6	1.0
7	2.0
8	2.0
9	3.0
10	3.0
11	2.0
12	2.0
13	3.0
14	2.0
15	2.0
16	2.0
17	2.0
18	2.0
19	3.0
20	1.0
21	2.0
22	2.0
23	3.0
24	3.0
25	2.0
26	4.0
27	1.0
28	2.0
29	2.0
30	4.0
31	2.0
32	4.0
33	2.0
34	2.0
35	2.0
36	4.0
37	1.0
38	2.0
39	1.0
40	1.0
41	2.0
42	1.0
43	1.0
44	2.0
45	2.0
46	2.0
47	1.0
48	2.0
49	3.0
50	2.0
51	2.0
52	3.0
53	2.0
54	2.0
55	3.0
56	3.0
57	2.0
58	2.0
59	2.0
60	2.0
61	2.0
62	1.0
63	2.0
64	2.0
65	2.0
66	2.0
67	4.0
68	2.0
69	2.0
70	2.0
71	1.0
72	2.0
73	2.0
74	2.0
75	1.0
76	2.0
77	2.0
78	3.0
79	4.0
80	1.0
81	4.0
82	1.0
83	2.0
84	4.0
85	3.0
86	2.0
87	2.0
88	1.0
89	2.0
90	2.0
91	2.0
92	5.0
93	2.0
94	2.0
95	1.0
96	3.0
97	1.0
98	2.0
99	3.0
100	2.0
101	1.0
102	2.0
103	3.0
104	4.0
105	2.0
106	2.0
107	1.0
108	1.0
109	5.0
110	2.0
111	2.0
112	2.0
113	3.0
114	1.0
115	2.0
116	3.0
117	2.0
118	2.0
119	2.0
120	2.0
121	2.0
122	3.0
123	1.0
124	3.0
125	2.0
126	3.0
127	2.0
128	1.0
129	2.0
130	3.0
131	4.0
132	4.0
133	2.0
134	3.0
135	1.0
136	2.0
137	2.0
138	1.0
139	2.0
140	2.0
141	3.0
142	3.0
143	3.0
144	2.0
145	2.0
146	2.0
147	1.0
148	2.0
149	1.0
150	2.0
151	2.0
152	2.0
153	2.0
154	1.0
155	1.0
156	3.0
157	2.0
158	2.0
159	2.0
160	1.0
161	2.0
162	2.0
163	1.0
