GO_ID	GO_name	num_seed_genes	num_total_seed_genes	num_genes_genespace	LOD	p_value	p_adjust	seed_gene_symbols	seed_gene_IDs
GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m	6	284	6	2.92220161412	1.37326588117e-11	0	EIF3M,EIF3A,EIF3B,EIF3D,EIF3H,EIF3I	10480,8661,8662,8664,8667,8668
GO:0031084	BLOC-2 complex	3	284	3	2.64870310215	3.76454543567e-06	0.009	HPS6,HPS5,HPS3	79803,11234,84343
GO:0033290	eukaryotic 48S preinitiation complex	12	284	14	2.51663845755	1.4695616865e-20	0	EIF3M,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E	10480,51386,27335,8661,8662,8663,8664,8665,8666,8667,8668,3646
GO:0005852	eukaryotic translation initiation factor 3 complex	12	284	14	2.51663845755	1.4695616865e-20	0	EIF3M,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E	10480,51386,27335,8661,8662,8663,8664,8665,8666,8667,8668,3646
GO:0072393	microtubule anchoring at microtubule organizing center	5	284	6	2.37094882947	5.30272592035e-09	0	PCM1,BICD2,NIN,HOOK3,BICD1	5108,23299,51199,84376,636
GO:0070993	translation preinitiation complex	12	284	15	2.3704861691	7.24630634732e-20	0	EIF3M,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E	10480,51386,27335,8661,8662,8663,8664,8665,8666,8667,8668,3646
GO:0016282	eukaryotic 43S preinitiation complex	12	284	15	2.3704861691	7.24630634732e-20	0	EIF3M,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E	10480,51386,27335,8661,8662,8663,8664,8665,8666,8667,8668,3646
GO:0061700	GATOR2 complex	4	284	5	2.28224760038	2.87193473939e-07	0.001	SEH1L,WDR59,WDR24,MIOS	81929,79726,84219,54468
GO:0034454	microtubule anchoring at centrosome	3	284	4	2.17155759736	1.48837171033e-05	0.038	PCM1,NIN,HOOK3	5108,51199,84376
GO:0004689	phosphorylase kinase activity	3	284	4	2.17155759736	1.48837171033e-05	0.038	PHKA2,PHKG2,PHKA1	5256,5261,5255
GO:0001731	formation of translation preinitiation complex	12	284	18	2.10156809035	2.83562033269e-18	0	EIF3M,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E	10480,51386,27335,8661,8662,8663,8664,8665,8666,8667,8668,3646
GO:0048205	COPI coating of Golgi vesicle	8	284	13	2.00032329801	3.84458354318e-12	0	TMED10,COPA,COPB2,COPB1,COPE,COPZ1,ARCN1,COPG1	10972,1314,9276,1315,11316,22818,372,22820
GO:0048200	Golgi transport vesicle coating	8	284	13	2.00032329801	3.84458354318e-12	0	TMED10,COPA,COPB2,COPB1,COPE,COPZ1,ARCN1,COPG1	10972,1314,9276,1315,11316,22818,372,22820
GO:0030126	COPI vesicle coat	8	284	13	2.00032329801	3.84458354318e-12	0	COPB1,COPA,COPB2,COPG2,COPE,COPZ1,ARCN1,COPG1	1315,1314,9276,26958,11316,22818,372,22820
GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	10	284	28	1.56812197466	7.51421554042e-12	0	COPB1,COPA,COPB2,COPG2,TMED10,RER1,COPE,COPZ1,ARCN1,COPG1	1315,1314,9276,26958,10972,11079,11316,22818,372,22820
GO:0030120	vesicle coat	8	284	31	1.36918129467	1.84621615268e-08	0	COPB1,COPA,COPB2,COPG2,COPE,COPZ1,ARCN1,COPG1	1315,1314,9276,26958,11316,22818,372,22820
GO:0034453	microtubule anchoring	7	284	30	1.31325578053	3.14037014049e-07	0.001	NIN,BICD1,SEH1L,PCM1,GCC2,BICD2,HOOK3	51199,636,81929,5108,9648,23299,84376
GO:0006446	regulation of translational initiation	14	284	72	1.21371958096	4.9258656218e-12	0	UHMK1,EIF3G,EIF4G1,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3I,EIF3H,EIF3M,EIF3E	127933,8666,1981,51386,27335,8661,8662,8663,8664,8665,8668,8667,10480,3646
GO:0072384	organelle transport along microtubule	6	284	32	1.19729480224	8.83985008595e-06	0.02	BICD1,RHOT2,UXT,LRPPRC,BICD2,COPG1	636,89941,8409,10128,23299,22820
GO:0006891	intra-Golgi vesicle-mediated transport	6	284	32	1.19729480224	8.83985008595e-06	0.02	COPB1,COPB2,COPG2,GCC2,COPE,COPZ1	1315,9276,26958,9648,11316,22818
GO:0030117	membrane coat	8	284	44	1.17764053027	3.47831165561e-07	0.001	COPB1,COPA,COPB2,COPG2,COPE,COPZ1,ARCN1,COPG1	1315,1314,9276,26958,11316,22818,372,22820
GO:0051084	'de novo' posttranslational protein folding	8	284	46	1.15442406603	4.98511462154e-07	0.001	TUBA1C,PFDN4,VBP1,PFDN6,PFDN5,TUBB3,TUBB6,TUBB1	84790,5203,7411,10471,5204,10381,84617,81027
GO:0006458	'de novo' protein folding	8	284	50	1.1113986508	9.71732641755e-07	0.001	TUBA1C,PFDN4,VBP1,PFDN6,PFDN5,TUBB3,TUBB6,TUBB1	84790,5203,7411,10471,5204,10381,84617,81027
GO:0022618	ribonucleoprotein complex assembly	16	284	138	0.95051847857	4.95388733753e-10	0	EIF3M,GRB7,BICD1,EIF3L,EIF3C,EIF3K,EIF3A,EIF3B,ATXN2,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E,GEMIN4	10480,2886,636,51386,8663,27335,8661,8662,6311,8664,8665,8666,8667,8668,3646,50628
GO:0071826	ribonucleoprotein complex subunit organization	17	284	147	0.950023294112	1.46455588797e-10	0	EIF3M,GRB7,BICD1,PLD6,EIF3L,EIF3C,EIF3K,EIF3A,EIF3B,ATXN2,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E,GEMIN4	10480,2886,636,201164,51386,8663,27335,8661,8662,6311,8664,8665,8666,8667,8668,3646,50628
GO:0006901	vesicle coating	9	284	82	0.922624301184	5.24739573313e-06	0.012	COPB1,COPA,COPB2,TMED10,COPE,COPZ1,ARCN1,PREB,COPG1	1315,1314,9276,10972,11316,22818,372,10113,22820
GO:0030705	cytoskeleton-dependent intracellular transport	10	284	92	0.917283446854	1.71308475908e-06	0.001	SNAPIN,TUBA1C,BICD1,RHOT2,SSX2IP,UXT,PCM1,LRPPRC,BICD2,COPG1	23557,84790,636,89941,117178,8409,5108,10128,23299,22820
GO:0010970	microtubule-based transport	9	284	87	0.893920223266	8.58036445645e-06	0.02	SNAPIN,BICD1,RHOT2,SSX2IP,UXT,PCM1,LRPPRC,BICD2,COPG1	23557,636,89941,117178,8409,5108,10128,23299,22820
GO:0031901	early endosome membrane	10	284	102	0.867351985014	4.41296336038e-06	0.012	HLA-C,TMEM165,HLA-A,HPS6,ZFYVE9,SNX2,HLA-E,ZFYVE16,OCRL,SNX6	3107,55858,3105,79803,9372,6643,3133,9765,4952,58533
GO:0034248	regulation of cellular amide metabolic process	23	284	295	0.764666689218	2.66039023247e-10	0	UHMK1,LRPPRC,TMED10,GRB7,EIF4G1,CLU,USP16,ATXN2,EIF3M,KRT17,EIF3L,RPS27L,EIF3E,GCN1,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3K	127933,10128,10972,2886,1981,1191,10600,6311,10480,3872,51386,51065,3646,10985,8661,8662,8663,8664,8665,8666,8667,8668,27335
GO:0006417	regulation of translation	21	284	271	0.759828513238	1.82796747427e-09	0	UHMK1,EIF3H,LRPPRC,EIF4G1,GCN1,KRT17,EIF3C,USP16,EIF3K,EIF3A,EIF3B,ATXN2,EIF3D,EIF3F,EIF3G,GRB7,RPS27L,EIF3E,EIF3M,EIF3L,EIF3I	127933,8667,10128,1981,10985,3872,8663,10600,27335,8661,8662,6311,8664,8665,8666,2886,51065,3646,10480,51386,8668
GO:0048193	Golgi vesicle transport	18	284	243	0.735920754192	5.43053144638e-08	0	COPB1,COPA,COPB2,SORT1,COMMD1,COPG2,FTH1,TMED10,RAB34,CCDC22,RER1,GCC2,COPE,COPZ1,ARCN1,PREB,FTL,COPG1	1315,1314,9276,6272,150684,26958,2495,10972,83871,28952,11079,9648,11316,22818,372,10113,2512,22820
GO:0016050	vesicle organization	14	284	194	0.721420014532	2.2871837224e-06	0.003	COPA,COPB1,SORT1,COPB2,VPS4B,TMED10,RAB34,SNAPIN,ZFYVE16,COPE,COPZ1,ARCN1,PREB,COPG1	1314,1315,6272,9276,9525,10972,83871,23557,9765,11316,22818,372,10113,22820
GO:0007017	microtubule-based process	30	284	429	0.720393816258	6.97791731994e-12	0	AKAP9,RHOT2,OBSL1,UXT,LRPPRC,TUBB3,ASPM,TUBAL3,NIN,LMNA,SSX2IP,BICD2,TUBB6,SNAPIN,TUBB1,KTN1,KIF22,TUBA1C,BICD1,SEH1L,PCM1,GCC2,ESPL1,KIF20A,COPG1,TUBGCP2,FLNA,PEX1,HOOK3,WDR62	10142,89941,23363,8409,10128,10381,259266,79861,51199,4000,117178,23299,84617,23557,81027,3895,3835,84790,636,81929,5108,9648,9700,10112,22820,10844,2316,5189,84376,284403
GO:0000226	microtubule cytoskeleton organization	18	284	255	0.713108891413	1.12796486732e-07	0.001	ASPM,SEH1L,AKAP9,NIN,BICD1,FLNA,WDR62,OBSL1,UXT,PCM1,LMNA,GCC2,BICD2,ESPL1,TUBGCP2,TUBB1,KIF20A,HOOK3	259266,81929,10142,51199,636,2316,284403,23363,8409,5108,4000,9648,23299,9700,10844,81027,10112,84376
GO:0051640	organelle localization	17	284	265	0.667415454915	9.78216713246e-07	0.001	ASPM,KIF22,SNAPIN,NIN,VPS4B,RHOT2,PEX1,RAB34,SEH1L,UXT,PCM1,LRPPRC,HOOK3,ESPL1,CTNNB1,SYNE2,COPG1	259266,3835,23557,51199,9525,89941,5189,83871,81929,8409,5108,10128,84376,9700,1499,23224,22820
GO:0010608	posttranscriptional regulation of gene expression	22	284	390	0.610682445965	2.29193348807e-07	0.001	UHMK1,LRPPRC,GRB7,SET,EIF4G1,USP16,ATXN2,EIF3M,KRT17,EIF3L,RPS27L,EIF3E,GCN1,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3K	127933,10128,2886,6418,1981,10600,6311,10480,3872,51386,51065,3646,10985,8661,8662,8663,8664,8665,8666,8667,8668,27335
GO:1902582	single-organism intracellular transport	50	284	997	0.586059173095	1.81709209185e-13	0	SNAPIN,TMEM165,UBE2O,RHOT2,TOMM22,AUP1,SLC25A12,RAB34,UXT,LRPPRC,COPZ1,SNX2,COPB2,TUBA1C,TMED10,RER1,PEX19,LMNA,XPOT,SSX2IP,SNX6,SLC25A10,ATP5J,XPO5,TIMM21,CPT1A,COPB1,COPA,BICD2,BICD1,COPG2,VPS4B,COMMD1,ZFYVE9,PCM1,GCC2,ZFYVE16,COPE,PREB,COPG1,SORT1,FLNA,PEX1,FTH1,SAMM50,CCDC22,HOOK3,ARCN1,PIK3R1,FTL	23557,55858,63893,89941,56993,550,8604,83871,8409,10128,22818,6643,9276,84790,10972,11079,5824,4000,11260,117178,58533,1468,522,57510,29090,1374,1315,1314,23299,636,26958,9525,150684,9372,5108,9648,9765,11316,10113,22820,6272,2316,5189,2495,25813,28952,84376,372,5295,2512
GO:0046907	intracellular transport	56	284	1180	0.567137066015	4.99063792454e-14	0	GNAS,SNAPIN,TMEM165,UBE2O,RHOT2,TOMM22,AUP1,SLC25A12,CTSA,UXT,LRPPRC,NUP153,COPZ1,SNX2,COPB2,TUBA1C,TMED10,RER1,PEX19,LMNA,XPOT,SSX2IP,SNX6,HERC2,SLC25A10,ATP5J,XPO5,TIMM21,CPT1A,COPB1,COPA,BICD2,BICD1,COPG2,VPS4B,COMMD1,ZFYVE9,PCM1,GCC2,ZFYVE16,COPE,PREB,SET,RAB34,SORT1,COPG1,FLNA,KDELR1,PEX1,FTH1,SAMM50,CCDC22,HOOK3,ARCN1,PIK3R1,FTL	2778,23557,55858,63893,89941,56993,550,8604,5476,8409,10128,9972,22818,6643,9276,84790,10972,11079,5824,4000,11260,117178,58533,8924,1468,522,57510,29090,1374,1315,1314,23299,636,26958,9525,150684,9372,5108,9648,9765,11316,10113,6418,83871,6272,22820,2316,10945,5189,2495,25813,28952,84376,372,5295,2512
GO:0034622	cellular macromolecular complex assembly	26	284	523	0.554853370857	2.13980028062e-07	0.001	PFDN6,SCO2,TIMM21,TMED10,GRB7,NUBPL,CLU,ATXN2,GEMIN4,NUP153,EIF3M,BICD1,EIF3L,ZFYVE9,EIF3E,SET,SAMM50,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3K	10471,9997,29090,10972,2886,80224,1191,6311,50628,9972,10480,636,51386,9372,3646,6418,25813,8661,8662,8663,8664,8665,8666,8667,8668,27335
GO:0005198	structural molecule activity	27	284	559	0.542223145524	2.19599709564e-07	0.001	KRT80,AKAP9,TUBB3,TUBAL3,COPB2,LMNA,KRT6B,NUP153,TUBB6,TUBB1,KRT75,COPB1,COPA,TUBA1C,BICD1,COPG2,KRT17,CTNNA1,COPE,SEMG2,SEMG1,KRT6C,COPG1,KRT77,EIF3A,EIF3B,CHCHD3	144501,10142,10381,79861,9276,4000,3854,9972,84617,81027,9119,1315,1314,84790,636,26958,3872,1495,11316,6407,6406,286887,22820,374454,8661,8662,54927
GO:0007010	cytoskeleton organization	29	284	617	0.531270142489	1.35592566635e-07	0.001	AKAP9,CNN3,OBSL1,UXT,SYNE2,ASPM,NIN,LMNA,FHOD3,ABR,ARHGEF5,BICD2,TUBB1,CAMSAP1,BICD1,KRT17,SEH1L,PCM1,RAF1,GCC2,ESPL1,PTPN1,KIF20A,TUBGCP2,KRT6C,FLNA,FLII,HOOK3,WDR62	10142,1266,23363,8409,23224,259266,51199,4000,80206,29,7984,23299,81027,157922,636,3872,81929,5108,5894,9648,9700,5770,10112,10844,286887,2316,2314,84376,284403
GO:0006886	intracellular protein transport	26	284	564	0.519436939542	8.99767934755e-07	0.001	SNAPIN,TOMM22,AUP1,RAB34,COPZ1,SNX2,TIMM21,TMED10,PEX19,LMNA,XPOT,SNX6,HERC2,XPO5,COPB1,PIK3R1,COPG2,ZFYVE9,GCC2,ZFYVE16,COPG1,CTSA,PEX1,SAMM50,ARCN1,KDELR1	23557,56993,550,83871,22818,6643,29090,10972,5824,4000,11260,58533,8924,57510,1315,5295,26958,9372,9648,9765,22820,5476,5189,25813,372,10945
GO:0031329	regulation of cellular catabolic process	23	284	519	0.498562986488	7.50967449206e-06	0.017	CTSA,TYSND1,LRPPRC,CLU,HERC1,ARNT,CPT1A,ARAF,TBK1,SOGA1,WDR6,GPX1,COMMD1,ECD,ESPL1,PTPN1,UBE3A,PHKG2,UCHL5,MTMR3,TRIM65,CCDC22,SENP1	5476,219743,10128,1191,8925,405,1374,369,29110,140710,11180,2876,150684,11319,9700,5770,7337,5261,51377,8897,201292,28952,29843
