index	num_nodes_lcc
real	136
0	46.0
1	31.0
2	71.0
3	56.0
4	62.0
5	47.0
6	49.0
7	37.0
8	96.0
9	77.0
10	16.0
11	64.0
12	62.0
13	42.0
14	30.0
15	26.0
16	29.0
17	59.0
18	77.0
19	72.0
20	41.0
21	25.0
22	22.0
23	76.0
24	45.0
25	51.0
26	31.0
27	37.0
28	69.0
29	77.0
30	82.0
31	29.0
32	81.0
33	51.0
34	73.0
35	31.0
36	61.0
37	38.0
38	47.0
39	33.0
40	37.0
41	73.0
42	56.0
43	67.0
44	34.0
45	87.0
46	69.0
47	58.0
48	23.0
49	35.0
50	55.0
51	64.0
52	48.0
53	51.0
54	50.0
55	88.0
56	53.0
57	74.0
58	21.0
59	21.0
60	55.0
61	40.0
62	58.0
63	47.0
64	53.0
65	88.0
66	43.0
67	24.0
68	95.0
69	69.0
70	73.0
71	19.0
72	72.0
73	78.0
74	47.0
75	49.0
76	79.0
77	21.0
78	71.0
79	81.0
80	68.0
81	59.0
82	31.0
83	83.0
84	34.0
85	50.0
86	73.0
87	72.0
88	55.0
89	70.0
90	74.0
91	32.0
92	62.0
93	54.0
94	74.0
95	48.0
96	48.0
97	75.0
98	42.0
99	68.0
100	60.0
101	62.0
102	57.0
103	47.0
104	90.0
105	51.0
106	79.0
107	59.0
108	55.0
109	90.0
110	88.0
111	64.0
112	58.0
113	63.0
114	44.0
115	40.0
116	51.0
117	87.0
118	73.0
119	57.0
120	68.0
121	53.0
122	61.0
123	74.0
124	63.0
125	66.0
126	51.0
127	84.0
128	39.0
129	19.0
130	42.0
131	80.0
132	70.0
133	88.0
134	54.0
135	42.0
136	70.0
137	34.0
138	72.0
139	72.0
140	59.0
141	63.0
142	56.0
143	40.0
144	82.0
145	69.0
146	36.0
147	49.0
148	26.0
149	26.0
150	58.0
151	83.0
152	32.0
153	57.0
154	78.0
155	62.0
156	68.0
157	29.0
158	66.0
159	84.0
160	94.0
161	52.0
162	65.0
163	53.0
164	42.0
165	63.0
166	44.0
167	105.0
168	68.0
169	61.0
170	84.0
171	34.0
172	64.0
173	38.0
174	81.0
175	54.0
176	49.0
177	82.0
178	54.0
179	79.0
180	65.0
181	42.0
182	56.0
183	92.0
184	51.0
185	22.0
186	60.0
187	67.0
188	58.0
189	52.0
190	78.0
191	61.0
192	28.0
193	37.0
194	71.0
195	28.0
196	65.0
197	29.0
198	50.0
199	55.0
200	62.0
201	64.0
202	29.0
203	56.0
204	91.0
205	36.0
206	67.0
207	62.0
208	20.0
209	85.0
210	80.0
211	83.0
212	86.0
213	79.0
214	57.0
215	25.0
216	44.0
217	65.0
218	36.0
219	44.0
220	19.0
221	39.0
222	65.0
223	50.0
224	65.0
225	52.0
226	30.0
227	14.0
228	60.0
229	101.0
230	54.0
231	59.0
232	61.0
233	41.0
234	11.0
235	30.0
236	34.0
237	55.0
238	26.0
239	69.0
240	48.0
241	83.0
242	40.0
243	74.0
244	18.0
245	73.0
246	38.0
247	25.0
248	59.0
249	75.0
250	67.0
251	57.0
252	31.0
253	86.0
254	62.0
255	58.0
256	48.0
257	79.0
258	62.0
259	39.0
260	27.0
261	57.0
262	25.0
263	64.0
264	46.0
265	54.0
266	68.0
267	58.0
268	53.0
269	65.0
270	73.0
271	27.0
272	57.0
273	56.0
274	59.0
275	52.0
276	43.0
277	46.0
278	39.0
279	69.0
280	64.0
281	83.0
282	82.0
283	18.0
284	22.0
285	18.0
286	53.0
287	58.0
288	59.0
289	92.0
290	65.0
291	62.0
292	73.0
293	34.0
294	38.0
295	22.0
296	62.0
297	58.0
298	83.0
299	56.0
300	73.0
301	63.0
302	87.0
303	34.0
304	69.0
305	82.0
306	67.0
307	65.0
308	53.0
309	18.0
310	73.0
311	90.0
312	51.0
313	78.0
314	32.0
315	63.0
316	49.0
317	63.0
318	38.0
319	38.0
320	82.0
321	66.0
322	40.0
323	24.0
324	49.0
325	77.0
326	41.0
327	68.0
328	43.0
329	59.0
330	37.0
331	80.0
332	29.0
333	12.0
334	70.0
335	85.0
336	32.0
337	57.0
338	78.0
339	66.0
340	69.0
341	63.0
342	64.0
343	54.0
344	39.0
345	90.0
346	61.0
347	70.0
348	22.0
349	80.0
350	62.0
351	58.0
352	40.0
353	55.0
354	51.0
355	45.0
356	72.0
357	69.0
358	34.0
359	57.0
360	36.0
361	71.0
362	66.0
363	60.0
364	53.0
365	39.0
366	69.0
367	93.0
368	77.0
369	43.0
370	58.0
371	78.0
372	35.0
373	37.0
374	15.0
375	46.0
376	54.0
377	63.0
378	70.0
379	68.0
380	23.0
381	66.0
382	72.0
383	74.0
384	80.0
385	69.0
386	30.0
387	99.0
388	36.0
389	50.0
390	50.0
391	44.0
392	72.0
393	53.0
394	69.0
395	37.0
396	84.0
397	66.0
398	32.0
399	81.0
400	35.0
401	43.0
402	64.0
403	64.0
404	54.0
405	76.0
406	68.0
407	20.0
408	88.0
409	53.0
410	69.0
411	56.0
412	47.0
413	49.0
414	34.0
415	55.0
416	76.0
417	85.0
418	85.0
419	30.0
420	62.0
421	75.0
422	24.0
423	54.0
424	69.0
425	89.0
426	45.0
427	35.0
428	42.0
429	34.0
430	73.0
431	34.0
432	64.0
433	49.0
434	56.0
435	37.0
436	76.0
437	36.0
438	33.0
439	81.0
440	74.0
441	47.0
442	68.0
443	45.0
444	76.0
445	32.0
446	57.0
447	40.0
448	64.0
449	44.0
450	41.0
451	29.0
452	44.0
453	90.0
454	21.0
455	90.0
456	79.0
457	42.0
458	33.0
459	48.0
460	76.0
461	40.0
462	80.0
463	42.0
464	81.0
465	72.0
466	70.0
467	55.0
468	54.0
469	71.0
470	51.0
471	50.0
472	33.0
473	42.0
474	70.0
475	81.0
476	33.0
477	51.0
478	69.0
479	37.0
480	51.0
481	70.0
482	42.0
483	30.0
484	78.0
485	66.0
486	37.0
487	25.0
488	67.0
489	72.0
490	43.0
491	50.0
492	73.0
493	34.0
494	75.0
495	51.0
496	75.0
497	54.0
498	76.0
499	56.0
500	41.0
501	45.0
502	35.0
503	82.0
504	23.0
505	79.0
506	60.0
507	69.0
508	82.0
509	85.0
510	24.0
511	45.0
512	35.0
513	37.0
514	80.0
515	58.0
516	78.0
517	53.0
518	71.0
519	37.0
520	41.0
521	66.0
522	37.0
523	49.0
524	51.0
525	62.0
526	37.0
527	35.0
528	55.0
529	73.0
530	44.0
531	46.0
532	50.0
533	63.0
534	37.0
535	81.0
536	14.0
537	72.0
538	49.0
539	48.0
540	60.0
541	36.0
542	68.0
543	49.0
544	37.0
545	65.0
546	39.0
547	64.0
548	16.0
549	62.0
550	57.0
551	45.0
552	24.0
553	65.0
554	70.0
555	59.0
556	67.0
557	85.0
558	66.0
559	45.0
560	30.0
561	44.0
562	85.0
563	52.0
564	42.0
565	79.0
566	66.0
567	57.0
568	60.0
569	83.0
570	47.0
571	51.0
572	52.0
573	46.0
574	65.0
575	60.0
576	21.0
577	47.0
578	104.0
579	42.0
580	60.0
581	61.0
582	48.0
583	68.0
584	90.0
585	30.0
586	40.0
587	58.0
588	55.0
589	88.0
590	57.0
591	85.0
592	71.0
593	34.0
594	37.0
595	14.0
596	53.0
597	29.0
598	24.0
599	55.0
600	84.0
601	47.0
602	64.0
603	44.0
604	43.0
605	93.0
606	52.0
607	74.0
608	17.0
609	48.0
610	79.0
611	62.0
612	42.0
613	78.0
614	37.0
615	57.0
616	63.0
617	82.0
618	56.0
619	67.0
620	39.0
621	71.0
622	50.0
623	59.0
624	60.0
625	32.0
626	70.0
627	28.0
628	75.0
629	31.0
630	58.0
631	29.0
632	65.0
633	77.0
634	26.0
635	55.0
636	27.0
637	33.0
638	39.0
639	20.0
640	55.0
641	54.0
642	93.0
643	78.0
644	70.0
645	63.0
646	41.0
647	43.0
648	57.0
649	39.0
650	93.0
651	72.0
652	69.0
653	44.0
654	28.0
655	54.0
656	36.0
657	70.0
658	70.0
659	58.0
660	79.0
661	37.0
662	72.0
663	81.0
664	82.0
665	65.0
666	60.0
667	82.0
668	66.0
669	71.0
670	63.0
671	58.0
672	60.0
673	58.0
674	31.0
675	74.0
676	67.0
677	68.0
678	27.0
679	39.0
680	32.0
681	65.0
682	48.0
683	39.0
684	38.0
685	57.0
686	53.0
687	20.0
688	61.0
689	45.0
690	43.0
691	69.0
692	57.0
693	64.0
694	56.0
695	37.0
696	52.0
697	55.0
698	79.0
699	32.0
700	50.0
701	33.0
702	30.0
703	60.0
704	33.0
705	26.0
706	55.0
707	77.0
708	59.0
709	70.0
710	58.0
711	44.0
712	63.0
713	60.0
714	78.0
715	75.0
716	90.0
717	64.0
718	73.0
719	29.0
720	81.0
721	25.0
722	70.0
723	51.0
724	53.0
725	65.0
726	34.0
727	50.0
728	36.0
729	23.0
730	41.0
731	81.0
732	26.0
733	77.0
734	69.0
735	64.0
736	26.0
737	64.0
738	70.0
739	67.0
740	101.0
741	63.0
742	34.0
743	16.0
744	87.0
745	77.0
746	50.0
747	63.0
748	33.0
749	73.0
750	45.0
751	84.0
752	63.0
753	78.0
754	45.0
755	36.0
756	71.0
757	45.0
758	42.0
759	15.0
760	60.0
761	87.0
762	40.0
763	78.0
764	87.0
765	49.0
766	86.0
767	67.0
768	16.0
769	61.0
770	60.0
771	69.0
772	77.0
773	53.0
774	41.0
775	81.0
776	60.0
777	28.0
778	38.0
779	73.0
780	76.0
781	83.0
782	75.0
783	86.0
784	58.0
785	73.0
786	53.0
787	71.0
788	47.0
789	68.0
790	56.0
791	29.0
792	61.0
793	27.0
794	69.0
795	62.0
796	62.0
797	40.0
798	92.0
799	30.0
800	65.0
801	22.0
802	65.0
803	58.0
804	31.0
805	27.0
806	74.0
807	71.0
808	55.0
809	56.0
810	52.0
811	70.0
812	72.0
813	63.0
814	48.0
815	60.0
816	45.0
817	72.0
818	86.0
819	36.0
820	71.0
821	46.0
822	54.0
823	87.0
824	59.0
825	82.0
826	58.0
