GO_ID	GO_name	num_seed_genes	num_total_seed_genes	num_genes_genespace	LOD	p_value	p_adjust	seed_gene_symbols	seed_gene_IDs
GO:0071565	nBAF complex	5	51	14	2.35350008668	2.78508382658e-10	0	ARID1B,DPF3,ARID1A,SMARCA2,SMARCA4	57492,8110,8289,6595,6597
GO:0016514	SWI/SNF complex	5	51	15	2.31001043315	4.16880734186e-10	0	ARID1B,SMARCD2,SMARCA2,ARID1A,SMARCA4	57492,6603,6595,8289,6597
GO:0090544	BAF-type complex	6	51	24	2.14582850157	4.64710558933e-11	0	ARID1B,SMARCA2,SMARCA4,SMARCD2,DPF3,ARID1A	57492,6595,6597,6603,8110,8289
GO:0071564	npBAF complex	3	51	12	2.13891665583	4.49019056984e-06	0.006	ARID1A,SMARCA2,SMARCA4	8289,6595,6597
GO:0032986	protein-DNA complex disassembly	3	51	17	1.9551524469	1.3742390205e-05	0.035	SMARCD2,ARID1A,SMARCA4	6603,8289,6597
GO:0006337	nucleosome disassembly	3	51	17	1.9551524469	1.3742390205e-05	0.035	SMARCD2,ARID1A,SMARCA4	6603,8289,6597
GO:0003730	mRNA 3'-UTR binding	4	51	37	1.70921265327	3.38346768262e-06	0.004	YBX2,RBM4,ELAVL2,LARP1	51087,5936,1993,23367
GO:0070603	SWI/SNF superfamily-type complex	6	51	67	1.62309313633	3.1448915996e-08	0	ARID1B,SMARCA2,SMARCA4,SMARCD2,DPF3,ARID1A	57492,6595,6597,6603,8110,8289
GO:0015030	Cajal body	4	51	48	1.58563346969	9.74417079055e-06	0.031	SART3,NOP58,SRRM2,DDX46	9733,51602,23524,9879
GO:0003729	mRNA binding	7	51	118	1.43528961125	3.69902111581e-08	0	SRSF1,PAIP2,G3BP1,ELAVL2,YBX2,RBM4,LARP1	6426,51247,10146,1993,51087,5936,23367
GO:0022618	ribonucleoprotein complex assembly	6	51	138	1.28804302476	2.32840551565e-06	0.003	SRSF1,SRSF5,SART3,AGO1,DDX39B,ATXN2	6426,6430,9733,26523,7919,6311
GO:0071826	ribonucleoprotein complex subunit organization	6	51	147	1.25928530386	3.36004272566e-06	0.004	SRSF1,SRSF5,SART3,AGO1,DDX39B,ATXN2	6426,6430,9733,26523,7919,6311
GO:0016607	nuclear speck	7	51	188	1.22199793836	8.89338543872e-07	0	SRSF1,SRRM2,SRSF5,SART3,RBM4,DDX39B,DDX46	6426,23524,6430,9733,5936,7919,9879
GO:0000398	mRNA splicing, via spliceosome	6	51	187	1.15019864594	1.33755191489e-05	0.035	SRSF1,SRRM2,SRSF5,SART3,DDX39B,SNRPA	6426,23524,6430,9733,7919,6626
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	6	51	187	1.15019864594	1.33755191489e-05	0.035	SRSF1,SRRM2,SRSF5,SART3,DDX39B,SNRPA	6426,23524,6430,9733,7919,6626
GO:0000375	RNA splicing, via transesterification reactions	6	51	194	1.13359456745	1.64776030693e-05	0.04	SRSF1,SRRM2,SRSF5,SART3,DDX39B,SNRPA	6426,23524,6430,9733,7919,6626
GO:0003713	transcription coactivator activity	8	51	280	1.10752971646	1.02516621944e-06	0	ARID1B,NCOA4,SMARCA2,SMARCA4,ARID1A,SMARCD2,MTDH,NFKBIB	57492,8031,6595,6597,8289,6603,92140,4793
GO:0016604	nuclear body	9	51	329	1.09430465691	2.90164842357e-07	0	SART3,NOP58,SRRM2,SRSF5,SRSF1,RBM4,DDX39B,DDX46,MTDH	9733,51602,23524,6430,6426,5936,7919,9879,92140
GO:0008380	RNA splicing	7	51	302	1.00755078899	2.01102178933e-05	0.043	SRSF1,SRRM2,SRSF5,SART3,RBM4,DDX39B,SNRPA	6426,23524,6430,9733,5936,7919,6626
GO:0006397	mRNA processing	8	51	359	0.995045999182	6.47577205026e-06	0.008	SART3,SRRM2,SRSF5,SRSF1,RBM4,DDX39B,RNASEL,SNRPA	9733,23524,6430,6426,5936,7919,6041,6626
GO:1990904	ribonucleoprotein complex	12	51	582	0.988717785075	5.23161735777e-08	0	SRSF1,RBM4,SRRM2,G3BP1,MRPL51,YBX2,MRPS10,DDX39B,ATXN2,SNRPA,NOP58,AGO1	6426,5936,23524,10146,51258,51087,55173,7919,6311,6626,51602,26523
GO:0030529	intracellular ribonucleoprotein complex	12	51	582	0.988717785075	5.23161735777e-08	0	SRSF1,RBM4,SRRM2,G3BP1,MRPL51,YBX2,MRPS10,DDX39B,ATXN2,SNRPA,NOP58,AGO1	6426,5936,23524,10146,51258,51087,55173,7919,6311,6626,51602,26523
GO:0044822	poly(A) RNA binding	19	51	1150	0.955060558563	9.9326721626e-11	0	SART3,RBM4,C1orf35,PAIP2,G3BP1,NOP58,ELAVL2,SRSF5,SRSF1,NKAP,YBX2,AGO1,DDX39B,ATXN2,LARP1,DDX46,SNRPA,MTDH,SRRM2	9733,5936,79169,51247,10146,51602,1993,6430,6426,79576,51087,26523,7919,6311,23367,9879,6626,92140,23524
GO:0016071	mRNA metabolic process	9	51	529	0.878808916139	1.42653345092e-05	0.035	SART3,RBM4,SRRM2,SRSF5,SRSF1,AGO1,DDX39B,RNASEL,SNRPA	9733,5936,23524,6430,6426,26523,7919,6041,6626
GO:0003723	RNA binding	20	51	1513	0.86045664595	1.40137389539e-09	0	SART3,RBM4,C1orf35,PAIP2,G3BP1,NOP58,ELAVL2,SRSF5,SRSF1,NKAP,YBX2,AGO1,DDX39B,RNASEL,LARP1,ATXN2,DDX46,SNRPA,MTDH,SRRM2	9733,5936,79169,51247,10146,51602,1993,6430,6426,79576,51087,26523,7919,6041,23367,6311,9879,6626,92140,23524
GO:0006396	RNA processing	10	51	644	0.843784848259	9.94196333812e-06	0.031	SART3,RBM4,SRRM2,SRSF5,SRSF1,AGO1,DDX39B,RNASEL,SNRPA,NOP58	9733,5936,23524,6430,6426,26523,7919,6041,6626,51602
GO:0044428	nuclear part	25	51	3603	0.592680083727	2.67997497651e-06	0.003	SART3,SMARCA2,SMARCA4,NKAP,DDX39B,SMARCD2,LARP1,DDX46,SNRPA,DPF3,ARID1B,SRSF5,YBX2,RNASEL,ANKS1A,HIF1AN,SRRM2,PIP4K2B,AGO1,ARID1A,SRSF1,MTDH,RBM4,ATXN2,NOP58	9733,6595,6597,79576,7919,6603,23367,9879,6626,8110,57492,6430,51087,6041,23294,55662,23524,8396,26523,8289,6426,92140,5936,6311,51602
