index	num_nodes_lcc
real	25
0	7.0
1	3.0
2	3.0
3	4.0
4	5.0
5	2.0
6	5.0
7	2.0
8	2.0
9	11.0
10	4.0
11	3.0
12	8.0
13	5.0
14	4.0
15	3.0
16	3.0
17	2.0
18	4.0
19	5.0
20	3.0
21	6.0
22	2.0
23	5.0
24	4.0
25	3.0
26	5.0
27	3.0
28	5.0
29	2.0
30	2.0
31	3.0
32	4.0
33	2.0
34	3.0
35	4.0
36	2.0
37	2.0
38	5.0
39	2.0
40	2.0
41	5.0
42	5.0
43	4.0
44	6.0
45	4.0
46	2.0
47	3.0
48	3.0
49	3.0
50	3.0
51	2.0
52	2.0
53	2.0
54	3.0
55	3.0
56	4.0
57	3.0
58	2.0
59	3.0
60	3.0
61	3.0
62	2.0
63	2.0
64	3.0
65	5.0
66	5.0
67	3.0
68	6.0
69	3.0
70	3.0
71	4.0
72	2.0
73	3.0
74	4.0
75	2.0
76	3.0
77	5.0
78	6.0
79	3.0
80	7.0
81	2.0
82	1.0
83	3.0
84	3.0
85	3.0
86	2.0
87	4.0
88	4.0
89	3.0
90	2.0
91	5.0
92	3.0
93	3.0
94	2.0
95	3.0
96	3.0
97	3.0
98	3.0
99	5.0
100	3.0
101	2.0
102	3.0
103	2.0
104	3.0
105	3.0
106	7.0
107	3.0
108	10.0
109	2.0
110	2.0
111	3.0
112	5.0
113	5.0
114	2.0
115	2.0
116	5.0
117	6.0
118	3.0
119	3.0
120	3.0
121	3.0
122	3.0
123	2.0
124	3.0
125	2.0
126	4.0
127	5.0
128	4.0
129	5.0
130	3.0
131	3.0
132	5.0
133	3.0
134	3.0
135	5.0
136	4.0
137	3.0
138	4.0
139	3.0
140	3.0
141	2.0
142	4.0
143	4.0
144	8.0
145	3.0
146	3.0
147	3.0
148	3.0
149	2.0
150	2.0
151	3.0
152	2.0
153	4.0
154	4.0
155	4.0
156	6.0
157	4.0
158	5.0
159	4.0
160	2.0
161	4.0
162	5.0
163	2.0
164	4.0
165	2.0
166	2.0
167	2.0
168	3.0
169	3.0
170	6.0
171	4.0
172	4.0
173	3.0
174	4.0
175	4.0
176	3.0
177	3.0
178	3.0
179	3.0
180	2.0
181	4.0
182	6.0
183	3.0
184	3.0
185	3.0
186	3.0
187	5.0
188	2.0
189	3.0
190	4.0
191	3.0
192	4.0
193	5.0
194	5.0
195	3.0
196	2.0
197	2.0
198	3.0
199	4.0
200	3.0
201	4.0
202	3.0
203	3.0
204	3.0
205	2.0
206	6.0
207	4.0
208	2.0
209	8.0
210	2.0
211	4.0
212	3.0
213	2.0
214	8.0
215	3.0
216	2.0
217	4.0
218	2.0
219	2.0
220	7.0
221	5.0
222	4.0
223	3.0
224	4.0
225	4.0
226	3.0
227	3.0
228	3.0
229	2.0
230	3.0
231	3.0
232	3.0
