geneID	symbol	descr	origin	baits	num_baits	cell_lines
23363	OBSL1	obscurin like 1	prey	HERC2	1	h
10455	ECI2	enoyl-CoA delta isomerase 2	bait	HERC2|NEURL4|MAPK6|ECI2	4	b
23368	PPP1R13B	protein phosphatase 1 regulatory subunit 13B	prey	NEURL4	1	h
317762	CCDC85C	coiled-coil domain containing 85C	prey	NEURL4	1	h
5824	PEX19	peroxisomal biogenesis factor 19	prey	HERC2	1	h
11260	XPOT	exportin for tRNA	prey	HERC2|ECH1	2	h
2079	ERH	enhancer of rudimentary homolog (Drosophila)	prey	ECH1	1	s
3854	KRT6B	keratin 6B	prey	HERC2|NEURL4|ECI2	3	s
3851	KRT4	keratin 4	prey	ECI2	1	h
51065	RPS27L	ribosomal protein S27 like	prey	HERC2|MAPK6	2	h
817	CAMK2D	calcium/calmodulin dependent protein kinase II delta	prey	NEURL4	1	s
11180	WDR6	WD repeat domain 6	prey	HERC2	1	h
1495	CTNNA1	catenin alpha 1	prey	HERC2	1	h
1499	CTNNB1	catenin beta 1	prey	HERC2	1	h
10962	MLLT11	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11	prey	ECH1	1	h
5261	PHKG2	phosphorylase kinase catalytic subunit gamma 2	prey	HERC2	1	h
2316	FLNA	filamin A	prey	HERC2	1	h
2314	FLII	FLII, actin remodeling protein	prey	HERC2	1	h
1062	CENPE	centromere protein E	prey	NEURL4	1	h
55227	LRRC1	leucine rich repeat containing 1	prey	HERC2	1	h
55226	NAT10	N-acetyltransferase 10	prey	NEURL4	1	s
147228	KRT17P1	keratin 17 pseudogene 1	prey	ECH1|ECI2	2	h
56243	KIAA1217	KIAA1217	prey	ECH1|ECI2	2	h
10802	SEC24A	SEC24 homolog A, COPII coat complex component	prey	ECH1	1	h
291	SLC25A4	solute carrier family 25 member 4	prey	HERC2|NEURL4	2	b
79884	MAP9	microtubule associated protein 9	prey	NEURL4	1	b
8239	USP9X	ubiquitin specific peptidase 9, X-linked	prey	HERC2|NEURL4|MAPK6|ECH1|ECI2	5	h
8604	SLC25A12	solute carrier family 25 member 12	prey	HERC2|NEURL4|ECH1	3	b
253959	RALGAPA1	Ral GTPase activating protein catalytic alpha subunit 1	prey	NEURL4	1	b
11135	CDC42EP1	CDC42 effector protein 1	prey	HERC2	1	h
4650	MYO9B	myosin IXB	prey	HERC2|NEURL4	2	b
150472	CBWD2	COBW domain containing 2	prey	HERC2	1	h
79726	WDR59	WD repeat domain 59	prey	HERC2	1	b
57599	WDR48	WD repeat domain 48	prey	HERC2	1	s
9967	THRAP3	thyroid hormone receptor associated protein 3	prey	ECI2	1	h
80206	FHOD3	formin homology 2 domain containing 3	prey	HERC2	1	h
91754	NEK9	NIMA related kinase 9	prey	NEURL4|ECH1	2	b
522	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6	prey	HERC2	1	h
