GO_ID	GO_name	num_seed_genes	num_total_seed_genes	num_genes_genespace	LOD	p_value	p_adjust	seed_gene_symbols	seed_gene_IDs
GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m	6	252	6	2.97586413056	6.66823330358e-12	0	EIF3M,EIF3A,EIF3B,EIF3D,EIF3H,EIF3I	10480,8661,8662,8664,8667,8668
GO:0031084	BLOC-2 complex	3	252	3	2.70176519192	2.6286397554e-06	0.005	HPS6,HPS5,HPS3	79803,11234,84343
GO:0033290	eukaryotic 48S preinitiation complex	12	252	14	2.57154419701	3.41851662353e-21	0	EIF3M,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E	10480,51386,27335,8661,8662,8663,8664,8665,8666,8667,8668,3646
GO:0005852	eukaryotic translation initiation factor 3 complex	12	252	14	2.57154419701	3.41851662353e-21	0	EIF3M,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E	10480,51386,27335,8661,8662,8663,8664,8665,8666,8667,8668,3646
GO:0070993	translation preinitiation complex	12	252	15	2.42539194507	1.68841932344e-20	0	EIF3M,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E	10480,51386,27335,8661,8662,8663,8664,8665,8666,8667,8668,3646
GO:0016282	eukaryotic 43S preinitiation complex	12	252	15	2.42539194507	1.68841932344e-20	0	EIF3M,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E	10480,51386,27335,8661,8662,8663,8664,8665,8666,8667,8668,3646
GO:0061700	GATOR2 complex	4	252	5	2.33550834995	1.78001075207e-07	0	SEH1L,WDR59,WDR24,MIOS	81929,79726,84219,54468
GO:0004689	phosphorylase kinase activity	3	252	4	2.22461972364	1.04065802532e-05	0.028	PHKA2,PHKG2,PHKA1	5256,5261,5255
GO:0001731	formation of translation preinitiation complex	12	252	18	2.15647397588	6.63978404379e-19	0	EIF3M,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3E	10480,51386,27335,8661,8662,8663,8664,8665,8666,8667,8668,3646
GO:0005665	DNA-directed RNA polymerase II, core complex	10	252	15	2.14973148718	6.16297386583e-16	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,URI1	5432,5433,5430,5431,5436,5437,5438,5439,5440,8725
GO:0048205	COPI coating of Golgi vesicle	8	252	13	2.0543939933	1.47352362887e-12	0	TMED10,COPA,COPB2,COPB1,COPE,COPZ1,ARCN1,COPG1	10972,1314,9276,1315,11316,22818,372,22820
GO:0048200	Golgi transport vesicle coating	8	252	13	2.0543939933	1.47352362887e-12	0	TMED10,COPA,COPB2,COPB1,COPE,COPZ1,ARCN1,COPG1	10972,1314,9276,1315,11316,22818,372,22820
GO:0030126	COPI vesicle coat	8	252	13	2.0543939933	1.47352362887e-12	0	COPB1,COPA,COPB2,COPG2,COPE,COPZ1,ARCN1,COPG1	1315,1314,9276,26958,11316,22818,372,22820
GO:0048096	chromatin-mediated maintenance of transcription	4	252	8	1.85831444644	2.41121675417e-06	0.002	ARID1B,CTNNB1,SMARCD1,ARID1A	57492,1499,6602,8289
GO:0034587	piRNA metabolic process	10	252	28	1.62260747876	2.29919156681e-12	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,PLD6,POLR2I,POLR2J,POLR2K	5432,5433,5430,5431,5436,5437,201164,5438,5439,5440
GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	10	252	28	1.62260747876	2.29919156681e-12	0	COPB1,COPA,COPB2,COPG2,TMED10,RER1,COPE,COPZ1,ARCN1,COPG1	1315,1314,9276,26958,10972,11079,11316,22818,372,22820
GO:0071565	nBAF complex	5	252	14	1.62258361211	8.87142983636e-07	0.002	ARID1B,DPF3,SMARCD1,SMARCA2,ARID1A	57492,8110,6602,6595,8289
GO:0006370	7-methylguanosine mRNA capping	12	252	34	1.61681710555	1.6119992223e-14	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0036260	RNA capping	12	252	35	1.59790751809	2.42315607775e-14	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0009452	7-methylguanosine RNA capping	12	252	35	1.59790751809	2.42315607775e-14	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0016514	SWI/SNF complex	5	252	15	1.57909369261	1.31568692644e-06	0.002	ARID1B,SMARCD1,SMARCD2,SMARCA2,ARID1A	57492,6602,6603,6595,8289
GO:0055029	nuclear DNA-directed RNA polymerase complex	12	252	37	1.56238670926	5.24912993292e-14	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,RPAP2,POLR2K,POLR2M,URI1	5432,5433,5430,5431,5436,5437,5438,5439,79871,5440,81488,8725
GO:0000428	DNA-directed RNA polymerase complex	12	252	37	1.56238670926	5.24912993292e-14	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,RPAP2,POLR2K,POLR2M,URI1	5432,5433,5430,5431,5436,5437,5438,5439,79871,5440,81488,8725
GO:0030880	RNA polymerase complex	12	252	39	1.52954569979	1.08131370201e-13	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,RPAP2,POLR2K,POLR2M,URI1	5432,5433,5430,5431,5436,5437,5438,5439,79871,5440,81488,8725
GO:0030120	vesicle coat	9	252	31	1.49224681299	2.52106287031e-10	0	COPB1,COPA,COPB2,COPG2,COPE,COPZ1,ARCN1,SEC24A,COPG1	1315,1314,9276,26958,11316,22818,372,10802,22820
GO:0090544	BAF-type complex	6	252	24	1.40722635566	7.277809545e-07	0	ARID1B,SMARCA2,SMARCD1,SMARCD2,DPF3,ARID1A	57492,6595,6602,6603,8110,8289
GO:0034198	cellular response to amino acid starvation	5	252	23	1.33291740885	1.34633967847e-05	0.035	SEH1L,GCN1,WDR59,WDR24,MIOS	81929,10985,79726,84219,54468
GO:0050434	positive regulation of viral transcription	12	252	57	1.31043028842	1.56846085684e-11	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0034062	RNA polymerase activity	5	252	24	1.310030288	1.68147609098e-05	0.041	POLR2D,POLR2A,POLR2J,POLR2M,POLR2I	5433,5430,5439,81488,5438
GO:0003899	DNA-directed RNA polymerase activity	5	252	24	1.310030288	1.68147609098e-05	0.041	POLR2D,POLR2A,POLR2J,POLR2M,POLR2I	5433,5430,5439,81488,5438
GO:0030117	membrane coat	9	252	44	1.29388570953	7.57679151531e-09	0	COPB1,COPA,COPB2,COPG2,COPE,COPZ1,ARCN1,SEC24A,COPG1	1315,1314,9276,26958,11316,22818,372,10802,22820
GO:0051084	'de novo' posttranslational protein folding	9	252	46	1.27003427169	1.14937534684e-08	0	TUBA1C,PFDN4,VBP1,PFDN6,TUBB4A,TUBB3,TUBB6,TUBB1,PFDN5	84790,5203,7411,10471,10382,10381,84617,81027,5204
GO:0006446	regulation of translational initiation	14	252	72	1.26905483161	9.78980625364e-13	0	EIF3I,EIF4G1,EIF3L,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,PPP1CA,EIF3G,EIF3H,EIF3M,EIF3E,EIF3F	8668,1981,51386,27335,8661,8662,8663,8664,5499,8666,8667,10480,3646,8665
