index	num_nodes_lcc
real	190
0	31
1	16
2	43
3	31
4	55
5	33
6	31
7	20
8	52
9	46
10	11
11	49
12	34
13	26
14	20
15	30
16	26
17	40
18	60
19	33
20	34
21	17
22	38
23	26
24	42
25	40
26	36
27	28
28	40
29	58
30	65
31	20
32	37
33	41
34	63
35	29
36	50
37	17
38	41
39	25
40	12
41	29
42	41
43	59
44	45
45	70
46	51
47	42
48	25
49	25
50	19
51	47
52	48
53	22
54	44
55	59
56	30
57	47
58	30
59	14
60	32
61	33
62	36
63	52
64	40
65	50
66	35
67	13
68	30
69	55
70	49
71	13
72	57
73	49
74	36
75	39
76	49
77	17
78	48
79	65
80	46
81	54
82	24
83	50
84	25
85	44
86	73
87	59
88	50
89	36
90	48
91	20
92	67
93	42
94	51
95	36
96	24
97	50
98	12
99	45
100	47
101	50
102	55
103	33
104	53
105	37
106	18
107	45
108	19
109	63
110	24
111	19
112	38
113	48
114	35
115	30
116	38
117	29
118	39
119	42
120	49
121	29
122	42
123	51
124	62
125	31
126	25
127	29
128	29
129	19
130	27
131	34
132	46
133	57
134	41
135	16
136	42
137	25
138	46
139	42
140	21
141	40
142	51
143	19
144	66
145	29
146	23
147	26
148	16
149	20
150	29
151	74
152	29
153	26
154	30
155	42
156	45
157	22
158	27
159	52
160	67
161	26
162	26
163	51
164	33
165	49
166	39
167	87
168	60
169	66
170	60
171	23
172	29
173	16
174	42
175	40
176	37
177	64
178	45
179	52
180	49
181	41
182	41
183	83
184	51
185	28
186	52
187	50
188	29
189	27
190	50
191	25
192	19
193	24
194	54
195	19
196	56
197	27
198	47
199	41
200	41
201	37
202	21
203	32
204	26
205	53
206	47
207	47
208	17
209	66
210	57
211	81
212	32
213	46
214	29
215	17
216	48
217	44
218	27
219	30
220	13
221	28
222	64
223	56
224	46
225	41
226	22
227	9
228	43
229	79
230	47
231	50
232	49
233	37
234	14
235	20
236	34
237	40
238	23
239	58
240	22
241	50
242	44
243	50
244	13
245	62
246	25
247	11
248	54
249	57
250	48
251	61
252	29
253	52
254	48
255	34
256	25
257	56
258	46
259	31
260	22
261	27
262	20
263	41
264	31
265	29
266	38
267	46
268	41
269	65
270	55
271	21
272	42
273	61
274	23
275	43
276	27
277	23
278	18
279	42
280	48
281	72
282	57
283	13
284	18
285	10
286	36
287	49
288	42
289	64
290	31
291	35
292	59
293	23
294	27
295	18
296	43
297	38
298	72
299	30
300	67
301	39
302	46
303	30
304	23
305	60
306	62
307	13
308	28
309	13
310	33
311	66
312	21
313	70
314	30
315	41
316	35
317	43
318	18
319	30
320	58
321	42
322	36
323	17
324	47
325	42
326	48
327	45
328	55
329	21
330	36
331	51
332	29
333	9
334	41
335	29
336	21
337	35
338	32
339	52
340	26
341	32
342	36
343	36
344	37
345	65
346	34
347	44
348	15
349	57
350	72
351	38
352	24
353	29
354	31
355	36
356	75
357	48
358	30
359	27
360	19
361	50
362	38
363	39
364	39
365	41
366	57
367	77
368	18
369	15
370	39
371	72
372	25
373	30
374	10
375	34
376	30
377	36
378	51
379	37
380	26
381	58
382	43
383	70
384	68
385	51
386	19
387	73
388	20
389	37
390	35
391	34
392	54
393	36
394	61
395	27
396	51
397	59
398	24
399	74
400	23
401	27
402	48
403	53
404	22
405	47
406	27
407	14
408	49
409	16
410	64
411	45
412	43
413	25
414	36
415	22
416	44
417	76
418	48
419	27
420	49
421	45
422	12
423	29
424	63
425	50
426	22
427	32
428	27
429	24
430	57
431	56
432	28
433	40
434	38
435	26
436	34
437	18
438	18
439	47
440	46
441	39
442	48
443	20
444	69
445	24
446	47
447	30
448	41
449	29
450	16
451	14
452	25
453	38
454	18
455	61
456	52
457	27
458	25
459	37
460	47
461	37
462	63
463	23
464	62
465	38
466	32
467	40
468	16
469	36
470	41
471	23
472	31
473	46
474	31
475	35
476	23
477	22
478	41
479	35
480	30
481	42
482	43
483	23
484	66
485	30
486	21
487	14
488	42
489	45
490	41
491	56
492	50
493	15
494	60
495	43
496	24
497	32
498	35
499	42
500	38
501	22
502	23
503	31
504	16
505	56
506	49
507	26
508	46
509	56
510	50
511	25
512	23
513	38
514	62
515	49
516	62
517	20
518	57
519	30
520	33
521	47
522	22
523	19
524	31
525	41
526	27
527	14
528	41
529	52
530	29
531	34
532	38
533	42
534	31
535	40
536	13
537	46
538	14
539	40
540	49
541	33
542	34
543	29
544	22
545	31
546	24
547	22
548	21
549	40
550	61
551	23
552	16
553	26
554	58
555	46
556	52
557	25
558	25
559	28
560	30
561	25
562	57
563	17
564	30
565	52
566	60
567	51
568	55
569	77
570	35
571	28
572	36
573	43
574	45
575	54
576	14
577	37
578	82
579	39
580	43
581	27
582	34
583	16
584	81
585	29
586	49
587	24
588	42
589	39
590	62
591	49
592	39
593	25
594	21
595	18
596	41
597	27
598	10
599	46
600	77
601	33
602	45
603	32
604	42
605	64
606	40
607	49
608	14
609	28
610	76
611	52
612	30
613	62
614	17
615	39
616	50
617	60
618	18
619	20
620	34
621	53
622	55
623	28
624	25
625	22
626	59
627	16
628	61
629	26
630	39
631	20
632	32
633	40
634	11
635	43
636	20
637	21
638	30
639	20
640	57
641	50
642	43
643	62
644	50
645	46
646	22
647	41
648	41
649	23
650	53
651	54
652	42
653	32
654	26
655	20
656	29
657	48
658	32
659	38
660	30
661	27
662	60
663	53
664	60
665	47
666	39
667	53
668	71
669	34
670	55
671	36
672	55
673	52
674	33
675	47
676	33
677	53
678	25
679	28
680	33
681	35
682	16
683	27
684	20
685	33
686	44
687	23
688	40
689	24
690	29
691	64
692	27
693	50
694	46
695	28
696	38
697	28
698	66
699	37
700	32
701	35
702	42
703	32
704	23
705	34
706	16
707	40
708	61
709	52
710	32
711	37
712	44
713	35
714	51
715	60
716	25
717	19
718	38
719	25
720	60
721	20
722	36
723	40
724	37
725	38
726	22
727	16
728	17
729	19
730	23
731	53
732	32
733	61
734	50
735	51
736	19
737	48
738	65
739	55
740	61
741	39
742	29
743	16
744	50
745	40
746	45
747	43
748	31
749	34
750	41
751	78
752	56
753	31
754	29
755	22
756	50
757	34
758	32
759	12
760	54
761	70
762	26
763	17
764	67
765	28
766	33
767	45
768	18
769	28
770	27
771	38
772	70
773	21
774	33
775	67
776	15
777	29
778	38
779	49
780	58
781	63
782	51
783	47
784	44
785	71
786	21
787	70
788	19
789	42
790	31
791	22
792	45
793	29
794	40
795	55
796	50
797	50
798	69
799	24
800	48
801	19
802	36
803	48
804	20
805	24
806	68
807	59
808	44
809	60
810	39
811	61
812	37
813	26
814	35
815	43
816	45
817	56
818	52
819	39
820	61
821	29
822	28
823	49
824	38
825	50
826	46
827	22
828	63
829	34
830	45
831	54
832	49
833	49
834	23
835	26
836	65
837	75
838	63
839	17
840	43
841	20
842	61
843	56
844	54
845	50
846	61
847	32
848	25
849	26
850	27
851	71
852	45
853	14
854	42
855	25
856	69
857	24
858	68
859	54
860	14
861	48
862	25
863	20
864	40
865	32
866	64
867	72
868	65
869	23
870	57
871	32
872	48
873	15
874	46
875	33
876	20
877	56
878	40
879	46
880	13
881	15
882	51
883	30
884	31
885	66
886	44
887	29
888	57
889	49
890	37
891	41
892	39
893	14
894	20
895	51
896	40
897	46
898	20
899	32
900	14
901	54
902	58
903	36
904	56
905	61
906	68
907	52
908	60
909	48
910	42
911	19
912	35
913	57
914	33
915	49
916	87
917	35
918	53
919	35
920	28
921	35
922	26
923	20
924	46
925	47
926	18
927	55
928	24
929	70
930	30
931	33
932	49
933	18
934	34
935	45
936	11
937	27
938	14
939	27
940	44
941	20
942	49
943	32
944	25
945	64
946	60
947	41
948	27
949	39
950	40
951	55
952	42
953	52
954	47
955	28
956	52
957	16
958	11
959	35
960	29
961	47
962	46
963	16
964	18
965	56
966	9
967	48
968	38
969	79
970	36
971	50
972	49
973	72
974	62
975	36
976	15
977	75
978	37
979	20
980	36
981	46
982	46
983	29
984	48
985	42
986	25
987	18
988	31
989	30
990	32
991	56
992	15
993	20
994	27
995	20
996	55
997	32
998	68
999	58
