geneID_A	geneID_B	origins
523	9525	QUBIC
7965	9255	BioPlex|HI-union|CoFrac
9255	51520	BioPlex|CoFrac
6643	58533	Lit-BM-13|HI-union|CoFrac
7337	57414	HI-union
2512	8031	BioPlex
2512	79576	BioPlex
2495	2512	BioPlex|HI-union
5770	26046	QUBIC
372	22818	CoFrac
22818	26958	CoFrac
22818	22820	Lit-BM-13|BioPlex|CoFrac
1315	22818	CoFrac
1314	22818	CoFrac|QUBIC
9276	22818	CoFrac
8031	8924	BioPlex
2495	8031	BioPlex
8031	84461	BioPlex
8030	55165	BioPlex
23384	25813	QUBIC
8826	23384	QUBIC
5862	54927	QUBIC
523	5862	CoFrac
51122	150684	BioPlex|CoFrac
23412	51122	BioPlex|CoFrac
28952	51122	BioPlex|CoFrac|QUBIC
51122	54939	BioPlex|CoFrac
51122	54951	BioPlex|CoFrac
7965	8689	HI-union
5256	5261	BioPlex|HI-union|QUBIC
5257	5261	BioPlex|QUBIC
5255	5261	BioPlex|QUBIC
5261	11234	QUBIC
79726	81929	QUBIC
11001	55127	BioPlex
55871	150472	BioPlex
81027	150472	BioPlex
10381	55871	BioPlex
3646	51386	BioPlex|CoFrac|QUBIC
8664	51386	BioPlex|CoFrac
8661	51386	BioPlex|CoFrac|QUBIC
8662	51386	BioPlex|CoFrac
8663	51386	BioPlex|CoFrac
8665	51386	BioPlex|CoFrac
8666	51386	BioPlex|CoFrac
8667	51386	BioPlex|CoFrac
8668	51386	BioPlex|QUBIC
51386	84726	BioPlex
10480	51386	BioPlex|CoFrac
27335	51386	BioPlex|CoFrac
5108	117178	QUBIC
54927	117178	HI-union
7965	9859	HI-union
3884	7965	HI-union
7965	51520	CoFrac
9738	10534	AlHakimIP
8924	10534	AlHakimIP|BioPlex|QUBIC
10534	55700	BioPlex
10534	23368	BioPlex
10534	317762	BioPlex
10534	84461	AlHakimIP
10672	60626	Lit-BM-13
322	8924	BioPlex
322	84461	BioPlex
9859	23224	BioPlex
6418	10147	QUBIC
6418	140710	QUBIC
8924	9925	QUBIC
9859	9925	QUBIC
5432	81488	BioPlex
5433	81488	BioPlex
5430	81488	BioPlex
5431	81488	BioPlex
5436	81488	BioPlex|QUBIC
5439	81488	BioPlex
79871	81488	BioPlex
5438	81488	BioPlex
3646	8664	BioPlex|CoFrac|QUBIC
3646	8661	BioPlex|CoFrac|QUBIC
3646	8662	BioPlex|CoFrac|QUBIC
3646	8663	Lit-BM-13|BioPlex|CoFrac|QUBIC
3646	8665	BioPlex|CoFrac|QUBIC
3646	8666	BioPlex|CoFrac|QUBIC
3646	8667	BioPlex|CoFrac|QUBIC
3646	8668	BioPlex|QUBIC
3646	84726	BioPlex|QUBIC
3646	10480	BioPlex|CoFrac|QUBIC
3646	27335	BioPlex|CoFrac|QUBIC
79657	116143	CoFrac
8409	116143	BioPlex
4000	5824	QUBIC
5824	259266	BioPlex
5824	201164	BioPlex
5824	25953	BioPlex
5824	55218	BioPlex
9119	11260	HI-union
11260	25813	QUBIC
8661	8664	CoFrac|QUBIC
8662	8664	CoFrac
8663	8664	CoFrac
8664	8665	BioPlex|CoFrac
8664	8666	Lit-BM-13|BioPlex
8664	8667	BioPlex|CoFrac
8664	8668	BioPlex|QUBIC
8664	10480	BioPlex|CoFrac
8664	27335	CoFrac
6272	80198	QUBIC
6272	9119	QUBIC
6272	146956	QUBIC
642	6272	QUBIC
1314	6272	QUBIC
6272	84790	QUBIC
6272	22862	QUBIC
5108	9731	QUBIC
8924	9738	AlHakimIP
9738	79598	AlHakimIP|QUBIC
9738	80184	AlHakimIP|QUBIC
9738	84461	AlHakimIP
8668	27043	QUBIC
27043	54881	CoFrac
3936	6311	Lit-BM-13
6709	6711	Lit-BM-13|CoFrac
5500	6711	QUBIC
6711	8826	QUBIC
23412	150684	BioPlex
28952	150684	BioPlex|QUBIC
54939	150684	BioPlex|CoFrac
54951	150684	BioPlex
1191	150684	Lit-BM-13
5597	8924	BioPlex|recipIP
8924	80198	QUBIC
8924	10455	AlHakimIP|recipIP
8924	10600	BioPlex
3895	8924	AlHakimIP
8924	28988	BioPlex
8924	29110	AlHakimIP
8924	57448	BioPlex
8924	10112	QUBIC
7337	8924	recipIP
8924	9859	AlHakimIP|QUBIC
8924	84461	AlHakimIP|QUBIC|recipIP
1468	1472	BioPlex
5597	10455	recipIP
1891	5597	recipIP
5597	8550	Lit-BM-13|BioPlex|HI-union
5597	84461	AlHakimIP|BioPlex|recipIP
23412	28952	BioPlex|CoFrac|QUBIC
23412	54939	BioPlex
23412	54951	BioPlex
5203	5204	BioPlex|CoFrac
5203	54939	CoFrac
5203	54468	BioPlex
2316	5203	CoFrac
5203	10471	BioPlex|CoFrac
5203	7411	BioPlex|HI-union|CoFrac|QUBIC
2316	5204	CoFrac
5204	10471	CoFrac
5204	7411	BioPlex|HI-union|CoFrac|QUBIC
57599	91833	BioPlex|QUBIC
80198	146956	Lit-BM-13|BioPlex|QUBIC
9859	80198	QUBIC
8110	57492	BioPlex|CoFrac
6602	57492	BioPlex|CoFrac
6603	57492	CoFrac
6595	57492	CoFrac
8289	57492	CoFrac
1891	10455	BioPlex|CoFrac|recipIP
10455	28988	BioPlex
7337	10455	recipIP
10455	84461	AlHakimIP|recipIP
2495	342897	BioPlex
79598	80184	QUBIC
79598	84461	AlHakimIP
1495	1499	Lit-BM-13|CoFrac|QUBIC
9119	51741	HI-union
708	54822	QUBIC
8533	10920	Lit-BM-13|BioPlex|HI-union|CoFrac
6602	8110	BioPlex
6603	8110	BioPlex
6595	8110	BioPlex|CoFrac
8110	8289	BioPlex|CoFrac
7266	10869	BioPlex
28952	54939	BioPlex|QUBIC
28952	54951	BioPlex|QUBIC
28952	57448	BioPlex
369	28952	QUBIC
2316	4000	Lit-BM-13
4000	84823	QUBIC
55700	84790	QUBIC
9859	55700	QUBIC
55700	84461	AlHakimIP
55165	55700	QUBIC
6499	9652	CoFrac
9652	51520	CoFrac
2289	79858	BioPlex
54939	54951	BioPlex|HI-union
51377	54939	CoFrac
81929	84219	QUBIC
5432	5433	CoFrac
5430	5432	CoFrac
5431	5432	CoFrac
5432	5436	BioPlex|CoFrac|QUBIC
5432	5437	CoFrac
5432	5439	Lit-BM-13|CoFrac
3831	5432	QUBIC
5432	5440	CoFrac
5432	5438	CoFrac
5430	5433	BioPlex|CoFrac
5431	5433	BioPlex|CoFrac
5433	5436	Lit-BM-13|BioPlex|CoFrac|QUBIC
5433	5439	BioPlex
5433	79871	BioPlex
5433	5438	CoFrac
5430	5431	CoFrac
5430	5436	BioPlex|CoFrac|QUBIC
5430	5437	CoFrac
5430	5439	CoFrac
5430	5440	CoFrac
5430	5438	CoFrac
5430	84461	AlHakimIP
5431	5436	BioPlex|QUBIC
5431	5437	CoFrac
5431	5439	CoFrac
5431	5440	CoFrac
5431	5438	CoFrac
5431	7266	QUBIC
5436	5437	BioPlex|QUBIC
5436	5439	BioPlex|QUBIC
5436	79871	BioPlex|QUBIC
5436	5438	BioPlex|QUBIC
5437	5440	CoFrac
5437	5438	CoFrac
3105	3107	BioPlex
11234	79803	BioPlex
79803	84343	BioPlex
9972	57510	Lit-BM-13
51377	57510	CoFrac
2071	2965	Lit-BM-13|BioPlex|CoFrac
2071	2968	BioPlex|CoFrac
8725	79657	CoFrac
8409	79657	BioPlex
3895	51065	QUBIC
10142	57448	BioPlex
9859	10142	BioPlex
1993	200316	BioPlex
550	84790	QUBIC
3799	3831	BioPlex|CoFrac|QUBIC
3800	3831	BioPlex|CoFrac
372	22820	BioPlex|CoFrac
372	1315	Lit-BM-13|HI-union|CoFrac
372	1314	CoFrac|QUBIC
372	9276	CoFrac
372	11316	CoFrac
9700	55243	QUBIC
10972	11180	QUBIC
9919	56243	QUBIC
7337	259266	Lit-BM-13
84790	259266	QUBIC
22820	26958	BioPlex
1315	26958	Lit-BM-13
1314	26958	QUBIC
11316	26958	CoFrac
4644	63893	BioPlex
8604	10989	CoFrac
5499	5500	BioPlex|CoFrac|QUBIC
5499	8826	QUBIC
29922	84260	HI-union
3880	338785	HI-union
84790	84833	QUBIC
54468	81929	QUBIC
9972	81929	QUBIC
5438	5440	CoFrac
9517	146956	QUBIC
8661	8662	Lit-BM-13|CoFrac|QUBIC
8661	8663	CoFrac|QUBIC
8661	8665	BioPlex|CoFrac|QUBIC
8661	8666	Lit-BM-13|BioPlex|CoFrac|QUBIC
8661	8667	BioPlex|CoFrac|QUBIC
8661	8668	BioPlex|CoFrac|QUBIC
8661	84726	QUBIC
8661	10480	BioPlex|QUBIC
8661	27335	CoFrac|QUBIC
8662	8663	CoFrac
8662	8665	BioPlex|CoFrac
8662	8666	Lit-BM-13|BioPlex|CoFrac
8662	8667	BioPlex|CoFrac
8662	8668	BioPlex|CoFrac|QUBIC
8662	10480	BioPlex|CoFrac
8662	27335	CoFrac
8663	8665	BioPlex|CoFrac
8663	8666	BioPlex|CoFrac
8663	8667	BioPlex|CoFrac
8663	8668	BioPlex|CoFrac|QUBIC
8663	10480	BioPlex|CoFrac
8663	27335	CoFrac
8665	8666	BioPlex|CoFrac
8665	8667	BioPlex|CoFrac
8665	8668	BioPlex|QUBIC
8665	10381	BioPlex
8665	84726	BioPlex
8665	10480	BioPlex|HI-union|CoFrac
8665	27335	BioPlex|CoFrac
8666	8667	Lit-BM-13|BioPlex|CoFrac
8666	8668	Lit-BM-13|BioPlex|CoFrac|QUBIC
8666	10480	BioPlex
8666	27335	CoFrac
8667	8668	BioPlex|QUBIC
8667	84726	BioPlex
8667	10480	BioPlex|CoFrac
