geneID_A	geneID_B
1891	2079
1891	84833
1891	147228
10455	10923
84461	84790
3799	84461
6603	10455
55662	200081
55662	84451
1495	8924
817	9126
1805	8924
8924	10128
8924	55700
7965	84461
7337	55700
817	818
8924	286887
7337	79884
8924	60386
8924	29843
55662	92140
64283	84461
4952	8924
25912	84461
5905	84461
7337	8287
55662	79169
8924	57414
6643	8924
4134	84461
4650	8924
8924	10868
8924	81502
8924	60626
815	817
427	8924
51520	84461
817	9867
3936	8924
23368	84461
817	2289
79871	84461
84461	114294
495	8924
817	7407
1191	8924
8662	8924
8664	8924
1891	5445
8924	144501
817	10152
1891	3880
54851	55662
8924	119559
84461	84498
8924	25813
26523	55662
3008	7337
8924	79568
5203	8924
817	9820
3895	7337
8924	11135
642	8924
8924	27101
10382	84461
8079	8924
8924	8925
8897	8924
6272	8924
8924	54939
3884	84461
10455	144501
817	9219
10455	83737
8924	79858
8924	25953
2581	10455
1891	5597
6426	55662
7411	8924
817	22920
8924	10113
8924	23363
9439	84461
2314	8924
27127	84461
7077	7337
8924	24149
8924	10423
7337	9690
8924	150684
8924	23224
10342	55662
9546	55662
1891	134147
1891	4131
817	1856
8924	124997
5437	84461
8924	80198
1891	79590
8192	84461
8661	8924
8663	8924
1891	10985
10455	84461
5783	84461
161	817
79576	84461
9255	84461
817	9985
8924	10972
8396	55662
8924	50628
4644	84461
321	817
51654	84461
26036	84461
3133	8924
7337	23363
8924	11319
7337	58526
7337	9352
1891	6711
817	2317
8924	116143
8924	10058
1114	1891
7337	347733
817	25948
23317	84461
55226	84461
8924	390531
10920	84461
8924	134492
1891	55215
1891	10962
6311	8924
1891	2581
8924	26046
26273	84461
6789	84461
84461	253959
291	84461
1891	3107
1891	10455
7337	51377
8924	11079
8924	10381
3321	84461
5204	8924
8924	56993
10455	345651
8924	22820
817	3636
5933	84461
80184	84461
1499	8924
55662	79443
1891	5499
1891	84461
5167	8924
8924	9859
1891	144568
1981	8924
8924	23412
1399	8924
817	94241
3800	84461
5597	55219
7337	8689
8289	55662
8924	51741
1891	10802
9857	84461
9748	84461
10455	57492
5255	8924
9967	10455
8924	10999
8924	9119
6597	55662
57509	84461
8689	84461
8924	54927
8924	112495
6407	8924
817	10006
3831	84461
7337	25814
1891	4201
817	9737
