index	num_nodes_lcc
real	8
0	1.0
1	2.0
2	2.0
3	1.0
4	3.0
5	3.0
6	2.0
7	2.0
8	2.0
9	1.0
10	1.0
11	2.0
12	2.0
13	3.0
14	2.0
15	2.0
16	1.0
17	2.0
18	2.0
19	2.0
20	1.0
21	3.0
22	3.0
23	2.0
24	4.0
25	2.0
26	1.0
27	1.0
28	2.0
29	2.0
30	2.0
31	2.0
32	2.0
33	2.0
34	3.0
35	1.0
36	1.0
37	3.0
38	2.0
39	2.0
40	3.0
41	1.0
42	2.0
43	2.0
44	2.0
45	1.0
46	1.0
47	2.0
48	1.0
49	2.0
50	2.0
51	2.0
52	1.0
53	2.0
54	3.0
55	2.0
56	1.0
57	2.0
58	3.0
59	1.0
60	1.0
61	2.0
62	2.0
63	3.0
64	1.0
65	3.0
66	2.0
67	2.0
68	2.0
69	3.0
70	1.0
71	1.0
72	3.0
73	1.0
74	2.0
75	3.0
76	2.0
77	1.0
78	2.0
79	1.0
80	2.0
81	2.0
82	1.0
83	2.0
84	1.0
85	3.0
86	1.0
87	2.0
88	2.0
89	3.0
90	1.0
91	2.0
92	2.0
93	1.0
94	2.0
95	1.0
96	2.0
97	1.0
98	2.0
99	2.0
100	2.0
101	2.0
102	2.0
103	2.0
104	3.0
105	2.0
106	2.0
107	1.0
108	1.0
109	2.0
110	2.0
111	2.0
112	2.0
113	1.0
114	2.0
115	3.0
116	1.0
117	2.0
118	3.0
119	2.0
120	2.0
121	1.0
122	2.0
123	1.0
124	2.0
125	2.0
126	1.0
127	2.0
128	3.0
129	1.0
130	2.0
131	2.0
132	2.0
133	2.0
134	2.0
135	1.0
136	2.0
137	2.0
138	2.0
139	2.0
140	3.0
141	2.0
142	3.0
143	2.0
144	2.0
145	1.0
146	2.0
147	2.0
148	2.0
149	1.0
150	2.0
151	1.0
152	2.0
153	2.0
154	1.0
155	2.0
156	2.0
157	2.0
158	1.0
159	2.0
160	2.0
161	1.0
162	2.0
163	2.0
164	3.0
165	1.0
166	1.0
167	2.0
168	1.0
169	2.0
170	1.0
171	1.0
172	2.0
173	1.0
174	2.0
175	3.0
176	2.0
177	2.0
178	1.0
179	3.0
180	2.0
181	1.0
182	1.0
183	2.0
184	2.0
185	3.0
186	2.0
187	2.0
188	1.0
189	1.0
190	1.0
191	2.0
192	1.0
193	2.0
194	3.0
195	1.0
196	1.0
197	2.0
198	1.0
199	2.0
200	1.0
201	2.0
202	2.0
203	2.0
204	3.0
205	2.0
206	3.0
207	1.0
208	1.0
209	3.0
210	2.0
211	2.0
212	1.0
213	1.0
214	1.0
215	2.0
216	2.0
217	1.0
218	2.0
219	2.0
220	1.0
221	2.0
222	1.0
223	1.0
224	2.0
225	2.0
226	2.0
227	2.0
228	2.0
229	2.0
230	1.0
231	1.0
232	2.0
233	2.0
234	3.0
235	2.0
236	2.0
237	2.0
238	2.0
239	2.0
240	2.0
241	2.0
242	1.0
243	2.0
244	2.0
245	2.0
246	2.0
247	2.0
248	2.0
249	1.0
250	2.0
251	1.0
252	1.0
253	3.0
254	2.0
255	2.0
256	2.0
257	3.0
258	3.0
259	3.0
260	1.0
261	2.0
262	2.0
263	1.0
264	2.0
265	1.0
266	2.0
267	2.0
268	1.0
269	2.0
270	1.0
271	2.0
272	2.0
273	2.0
274	2.0
275	2.0
276	2.0
277	3.0
278	1.0
279	3.0
280	2.0
281	2.0
282	1.0
283	2.0
284	1.0
285	2.0
286	1.0
287	3.0
288	1.0
289	2.0
290	2.0
291	2.0
292	1.0
293	3.0
294	2.0
295	2.0
296	2.0
297	1.0
298	2.0
299	2.0
300	2.0
301	2.0
302	1.0
303	3.0
304	1.0
305	2.0
306	1.0
307	1.0
308	2.0
309	2.0
310	2.0
311	1.0
312	3.0
313	2.0
314	4.0
315	3.0
316	2.0
317	2.0
318	2.0
319	3.0
320	2.0
321	2.0
322	1.0
323	2.0
324	2.0
325	2.0
326	2.0
327	1.0
328	2.0
329	2.0
330	1.0
331	2.0
332	2.0
333	2.0
334	2.0
335	2.0
336	2.0
337	1.0
338	2.0
339	2.0
340	2.0
341	2.0
342	2.0
343	2.0
344	2.0
345	2.0
346	1.0
347	2.0
348	2.0
349	1.0
350	3.0
351	1.0
352	1.0
353	2.0
354	2.0
355	2.0
356	2.0
357	2.0
358	1.0
359	2.0
360	2.0
361	1.0
362	2.0
363	2.0
364	2.0
365	2.0
366	2.0
367	2.0
368	1.0
369	1.0
370	1.0
371	3.0
372	2.0
373	2.0
374	1.0
375	3.0
376	2.0
377	2.0
378	2.0
379	1.0
380	2.0
381	3.0
382	2.0
383	3.0
384	2.0
385	2.0
386	2.0
387	2.0
388	1.0
389	1.0
390	2.0
391	3.0
392	1.0
393	2.0
394	1.0
395	1.0
396	2.0
397	2.0
398	1.0
399	1.0
400	1.0
401	1.0
402	2.0
403	2.0
404	2.0
405	1.0
406	4.0
407	1.0
