geneID	symbol	descr	num_hek	num_sy5y	num_cell_lines	cell_lines	hcip_cutoff_sy5y	bait
8192	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	1	0	1	h	NA	NEURL4
253959	RALGAPA1	Ral GTPase activating protein catalytic alpha subunit 1	1	1	2	b	95	NEURL4
9738	CP110	centriolar coiled-coil protein 110	1	1	2	b	95	NEURL4
79884	MAP9	microtubule associated protein 9	1	1	2	b	95	NEURL4
84498	FAM120B	family with sequence similarity 120B	0	1	1	s	90	NEURL4
9748	SLK	STE20 like kinase	1	0	1	h	NA	NEURL4
2071	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	1	1	2	b	95	NEURL4
54819	ZCCHC10	zinc finger CCHC-type containing 10	1	0	1	h	NA	NEURL4
4644	MYO5A	myosin VA	1	0	1	h	NA	NEURL4
4645	MYO5B	myosin VB	1	0	1	h	NA	NEURL4
1062	CENPE	centromere protein E	1	0	1	h	NA	NEURL4
1063	CENPF	centromere protein F	1	0	1	h	NA	NEURL4
4650	MYO9B	myosin IXB	1	1	2	b	95	NEURL4
23598	PATZ1	POZ/BTB and AT hook containing zinc finger 1	1	1	2	b	95	NEURL4
8239	USP9X	ubiquitin specific peptidase 9, X-linked	1	0	1	h	NA	NEURL4
23089	PEG10	paternally expressed 10	1	0	1	h	NA	NEURL4
1374	CPT1A	carnitine palmitoyltransferase 1A	1	1	2	b	95	NEURL4
9652	TTC37	tetratricopeptide repeat domain 37	1	1	2	b	95	NEURL4
8260	NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit	1	0	1	h	NA	NEURL4
81488	GRINL1A	RNA polymerase II subunit M	1	0	1	h	NA	NEURL4
6499	SKIV2L	Ski2 like RNA helicase	0	1	1	s	90	NEURL4
54882	ANKHD1	ankyrin repeat and KH domain containing 1	1	0	1	h	NA	NEURL4
7266	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	0	1	1	s	95	NEURL4
57448	BIRC6	baculoviral IAP repeat containing 6	1	1	2	b	95	NEURL4
91754	NEK9	NIMA related kinase 9	1	1	2	b	90	NEURL4
10869	USP19	ubiquitin specific peptidase 19	1	1	2	b	95	NEURL4
114294	LACTB	lactamase beta	0	1	1	s	90	NEURL4
10260	DENND4A	DENN domain containing 4A	1	1	2	b	95	NEURL4
51329	ARL6IP4	ADP ribosylation factor like GTPase 6 interacting protein 4	1	0	1	h	NA	NEURL4
9859	CEP170	centrosomal protein 170	1	1	2	b	95	NEURL4
6789	STK4	serine/threonine kinase 4	0	1	1	s	95	NEURL4
84617	TUBB6	tubulin beta 6 class V	0	1	1	s	90	NEURL4
23	ABCF1	ATP binding cassette subfamily F member 1	1	0	1	h	NA	NEURL4
10382	TUBB4	tubulin beta 4A class IVa	0	1	1	s	90	NEURL4
57492	ARID1B	AT-rich interaction domain 1B	0	1	1	s	90	NEURL4
5783	PTPN13	protein tyrosine phosphatase, non-receptor type 13	1	0	1	h	NA	NEURL4
5436	POLR2G	RNA polymerase II subunit G	1	0	1	h	NA	NEURL4
26273	FBXO3	F-box protein 3	1	0	1	h	NA	NEURL4
675	BRCA2	BRCA2, DNA repair associated	1	0	1	h	NA	NEURL4
57509	MTUS1	microtubule associated tumor suppressor 1	1	1	2	b	95	NEURL4
54438	GFOD1	glucose-fructose oxidoreductase domain containing 1	1	0	1	h	NA	NEURL4
10920	COPS8	COP9 signalosome subunit 8	1	0	1	h	NA	NEURL4
57514	ARHGAP31	Rho GTPase activating protein 31	0	1	1	s	95	NEURL4
7965	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	1	0	1	h	NA	NEURL4
5297	PI4KA	phosphatidylinositol 4-kinase alpha	1	0	1	h	NA	NEURL4
6322	SCML1	sex comb on midleg-like 1 (Drosophila)	1	0	1	h	NA	NEURL4
6328	SCN3A	sodium voltage-gated channel alpha subunit 3	0	1	1	s	95	NEURL4
6329	SCN4A	sodium voltage-gated channel alpha subunit 4	0	1	1	s	95	NEURL4
2746	GLUD1	glutamate dehydrogenase 1	1	0	1	h	NA	NEURL4
6335	SCN9A	sodium voltage-gated channel alpha subunit 9	0	1	1	s	95	NEURL4
