GO_ID	GO_name	num_seed_genes	num_total_seed_genes	num_genes_genespace	LOD	p_value	p_adjust	seed_gene_symbols	seed_gene_IDs
GO:0005665	DNA-directed RNA polymerase II, core complex	9	139	15	2.30547237964	3.29674864728e-16	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K	5432,5433,5430,5431,5436,5437,5438,5439,5440
GO:0006370	7-methylguanosine mRNA capping	12	139	34	1.89510463035	1.16408365115e-17	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0036260	RNA capping	12	139	35	1.87619519219	1.76000175349e-17	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0009452	7-methylguanosine RNA capping	12	139	35	1.87619519219	1.76000175349e-17	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0034587	piRNA metabolic process	9	139	28	1.82803807648	4.18330286619e-13	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K	5432,5433,5430,5431,5436,5437,5438,5439,5440
GO:0055029	nuclear DNA-directed RNA polymerase complex	11	139	37	1.78433977493	2.51102205365e-15	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,RPAP2,POLR2K,POLR2M	5432,5433,5430,5431,5436,5437,5438,5439,79871,5440,81488
GO:0000428	DNA-directed RNA polymerase complex	11	139	37	1.78433977493	2.51102205365e-15	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,RPAP2,POLR2K,POLR2M	5432,5433,5430,5431,5436,5437,5438,5439,79871,5440,81488
GO:0030880	RNA polymerase complex	11	139	39	1.75269258881	4.85903885501e-15	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,RPAP2,POLR2K,POLR2M	5432,5433,5430,5431,5436,5437,5438,5439,79871,5440,81488
GO:0050434	positive regulation of viral transcription	12	139	57	1.58872125117	1.29374172475e-14	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0034062	RNA polymerase activity	5	139	24	1.57756538802	9.17676967035e-07	0.005	POLR2D,POLR2A,POLR2J,POLR2M,POLR2I	5433,5430,5439,81488,5438
GO:0003899	DNA-directed RNA polymerase activity	5	139	24	1.57756538802	9.17676967035e-07	0.005	POLR2D,POLR2A,POLR2J,POLR2M,POLR2I	5433,5430,5439,81488,5438
GO:0006283	transcription-coupled nucleotide-excision repair	14	139	74	1.53593970871	3.67346318837e-16	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,COPS8,ERCC3,COPS3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,10920,2071,8533
GO:0006362	transcription elongation from RNA polymerase I promoter	5	139	31	1.4441854674	3.51399960534e-06	0.015	GTF2H1,ERCC3,POLR2K,GTF2H4,POLR2H	2965,2071,5440,2968,5437
GO:0006363	termination of RNA polymerase I transcription	5	139	32	1.42807454815	4.13923945209e-06	0.017	GTF2H1,ERCC3,POLR2K,GTF2H4,POLR2H	2965,2071,5440,2968,5437
GO:0006368	transcription elongation from RNA polymerase II promoter	12	139	78	1.42340410028	6.93401704577e-13	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0046782	regulation of viral transcription	12	139	79	1.41689781979	8.12313992369e-13	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2K,GTF2H4,POLR2J,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5440,2968,5439,2071
GO:0006289	nucleotide-excision repair	15	139	107	1.38321811726	3.4059328851e-15	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,BRCA2,POLR2I,POLR2J,GTF2H4,POLR2K,COPS8,ERCC3,COPS3	2965,5432,5430,5431,5436,5437,5433,675,5438,5439,2968,5440,10920,2071,8533
GO:0006361	transcription initiation from RNA polymerase I promoter	5	139	35	1.38303509654	6.55094211801e-06	0.022	GTF2H1,ERCC3,POLR2K,GTF2H4,POLR2H	2965,2071,5440,2968,5437
GO:0006360	transcription from RNA polymerase I promoter	5	139	37	1.35540336416	8.68888626819e-06	0.028	GTF2H1,ERCC3,POLR2K,GTF2H4,POLR2H	2965,2071,5440,2968,5437
GO:0035019	somatic stem cell population maintenance	9	139	72	1.31423773651	3.88055526893e-09	0	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K	5432,5433,5430,5431,5436,5437,5438,5439,5440
GO:1903902	positive regulation of viral life cycle	12	139	102	1.28899712414	1.84647053995e-11	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0006354	DNA-templated transcription, elongation	12	139	105	1.27476153269	2.61607505029e-11	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0061695	transferase complex, transferring phosphorus-containing groups	15	139	135	1.267695031	1.16012168181e-13	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,RPAP2,VAC14,POLR2M,ERCC3,POLR2K	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,79871,55697,81488,2071,5440
GO:0048524	positive regulation of viral process	12	139	108	1.26097325831	3.6660702328e-11	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0043902	positive regulation of multi-organism process	13	139	164	1.10059871491	3.94174778166e-10	0	GTF2H1,POLR2C,POLR2A,POLR2B,C1QBP,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,POLR2G,ERCC3	2965,5432,5430,5431,708,5437,5433,5438,5439,2968,5440,5436,2071
GO:0031047	gene silencing by RNA	9	139	121	1.06467405947	3.75563208315e-07	0.003	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K	5432,5433,5430,5431,5436,5437,5438,5439,5440
GO:0019827	stem cell population maintenance	10	139	145	1.03013643885	1.68526727857e-07	0.001	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,NKAP,POLR2K	5432,5433,5430,5431,5436,5437,5438,5439,79576,5440
GO:0098727	maintenance of cell number	10	139	146	1.02691883667	1.7975216688e-07	0.002	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,NKAP,POLR2K	5432,5433,5430,5431,5436,5437,5438,5439,79576,5440
GO:1903900	regulation of viral life cycle	12	139	182	1.01198223162	1.54934850758e-08	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0050792	regulation of viral process	12	139	191	0.98942347181	2.65518976891e-08	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,POLR2I,POLR2J,GTF2H4,POLR2K,ERCC3	2965,5432,5430,5431,5436,5437,5433,5438,5439,2968,5440,2071
GO:0006367	transcription initiation from RNA polymerase II promoter	15	139	254	0.96648416961	1.03832824895e-09	0	GTF2H1,POLR2C,POLR2A,POLR2B,POLR2G,POLR2H,POLR2D,USP9X,POLR2J,GTF2H4,POLR2K,RBL1,MED23,ERCC3,POLR2I	2965,5432,5430,5431,5436,5437,5433,8239,5439,2968,5440,5933,9439,2071,5438
GO:0016458	gene silencing	9	139	153	0.955183187116	2.6948107448e-06	0.012	POLR2C,POLR2D,POLR2A,POLR2B,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K	5432,5433,5430,5431,5436,5437,5438,5439,5440
