index	num_nodes_lcc
real	52
0	5.0
1	5.0
2	7.0
3	6.0
4	4.0
5	5.0
6	9.0
7	19.0
8	8.0
9	6.0
10	7.0
11	16.0
12	8.0
13	6.0
14	11.0
15	7.0
16	9.0
17	14.0
18	3.0
19	7.0
20	8.0
21	9.0
22	15.0
23	12.0
24	7.0
25	14.0
26	8.0
27	11.0
28	8.0
29	10.0
30	6.0
31	10.0
32	10.0
33	8.0
34	12.0
35	7.0
36	6.0
37	13.0
38	17.0
39	5.0
40	6.0
41	6.0
42	8.0
43	6.0
44	11.0
45	20.0
46	6.0
47	16.0
48	9.0
49	8.0
50	8.0
51	4.0
52	8.0
53	5.0
54	7.0
55	6.0
56	8.0
57	6.0
58	6.0
59	8.0
60	9.0
61	22.0
62	6.0
63	14.0
64	13.0
65	9.0
66	8.0
67	7.0
68	7.0
69	8.0
70	8.0
71	9.0
72	16.0
73	15.0
74	20.0
75	11.0
76	10.0
77	7.0
78	7.0
79	8.0
80	6.0
81	13.0
82	6.0
83	4.0
84	6.0
85	15.0
86	13.0
87	12.0
88	8.0
89	6.0
90	12.0
91	5.0
92	7.0
93	6.0
94	11.0
95	10.0
96	6.0
97	8.0
98	7.0
99	5.0
100	7.0
101	5.0
102	11.0
103	5.0
104	4.0
105	5.0
106	6.0
107	4.0
108	8.0
109	12.0
110	11.0
111	12.0
112	6.0
113	5.0
114	16.0
115	6.0
116	5.0
117	10.0
118	10.0
119	5.0
120	10.0
121	6.0
122	9.0
123	5.0
124	14.0
125	6.0
126	5.0
127	8.0
128	8.0
129	6.0
130	11.0
131	7.0
132	8.0
133	4.0
134	8.0
135	9.0
136	7.0
137	8.0
138	6.0
139	8.0
140	18.0
141	9.0
142	12.0
143	6.0
144	8.0
145	6.0
146	12.0
147	3.0
148	6.0
149	5.0
150	5.0
151	10.0
152	7.0
153	30.0
154	10.0
155	7.0
156	3.0
157	6.0
158	11.0
159	6.0
160	10.0
161	5.0
162	19.0
163	12.0
164	6.0
165	9.0
166	25.0
167	6.0
168	10.0
169	7.0
170	8.0
171	6.0
172	4.0
173	6.0
174	5.0
175	12.0
176	7.0
177	9.0
178	6.0
179	14.0
180	8.0
181	14.0
182	5.0
183	22.0
184	5.0
185	11.0
186	10.0
187	11.0
188	7.0
189	7.0
190	6.0
191	6.0
192	6.0
193	4.0
194	5.0
195	14.0
196	9.0
197	5.0
198	8.0
199	10.0
200	4.0
201	6.0
202	6.0
203	8.0
204	4.0
205	16.0
206	10.0
207	5.0
208	5.0
209	16.0
210	6.0
211	11.0
212	6.0
213	17.0
214	11.0
215	14.0
216	9.0
217	13.0
218	12.0
219	9.0
220	5.0
221	9.0
222	17.0
223	15.0
224	5.0
225	6.0
226	5.0
227	9.0
228	8.0
229	19.0
230	3.0
231	10.0
232	16.0
233	6.0
234	6.0
235	9.0
236	5.0
237	7.0
238	5.0
239	9.0
240	10.0
241	5.0
242	12.0
243	10.0
244	7.0
245	9.0
246	12.0
247	4.0
248	4.0
249	5.0
250	10.0
251	11.0
252	6.0
253	9.0
254	4.0
255	5.0
256	8.0
257	10.0
258	13.0
259	7.0
260	6.0
261	8.0
262	5.0
263	6.0
264	5.0
265	8.0
266	7.0
267	9.0
268	4.0
269	10.0
270	11.0
271	5.0
272	6.0
273	14.0
274	6.0
275	6.0
276	12.0
277	9.0
278	6.0
279	7.0
280	9.0
281	8.0
282	12.0
283	5.0
284	4.0
285	7.0
286	5.0
287	12.0
288	13.0
289	10.0
290	5.0
291	6.0
292	11.0
293	6.0
294	8.0
295	6.0
296	7.0
297	7.0
298	9.0
299	10.0
300	14.0
301	10.0
302	5.0
303	7.0
304	11.0
305	17.0
306	7.0
307	5.0
308	10.0
309	8.0
310	9.0
311	14.0
312	9.0
313	11.0
314	5.0
315	4.0
316	8.0
317	5.0
318	10.0
319	10.0
320	14.0
321	14.0
322	9.0
323	8.0
324	9.0
325	19.0
326	29.0
327	6.0
328	8.0
329	6.0
330	10.0
331	8.0
332	13.0
333	8.0
334	10.0
335	6.0
336	11.0
337	7.0
338	4.0
339	5.0
340	6.0
341	12.0
342	13.0
343	7.0
344	9.0
345	5.0
346	6.0
347	8.0
348	6.0
349	6.0
350	13.0
351	12.0
352	7.0
353	10.0
354	12.0
355	6.0
356	17.0
357	7.0
358	6.0
359	9.0
360	9.0
361	6.0
362	6.0
363	9.0
364	6.0
365	6.0
366	7.0
367	7.0
368	11.0
369	8.0
370	8.0
371	6.0
372	4.0
373	5.0
374	7.0
375	19.0
376	5.0
377	7.0
378	11.0
379	5.0
380	5.0
381	10.0
382	9.0
383	20.0
384	12.0
385	12.0
386	4.0
387	4.0
388	5.0
389	9.0
390	6.0
391	4.0
392	5.0
393	6.0
394	6.0
395	6.0
396	14.0
397	18.0
398	7.0
399	9.0
400	7.0
401	7.0
402	8.0
403	5.0
404	9.0
405	5.0
406	7.0
407	7.0
408	10.0
409	6.0
410	6.0
411	5.0
412	11.0
413	20.0
414	6.0
415	7.0
416	18.0
417	12.0
418	16.0
419	6.0
420	9.0
421	6.0
422	6.0
423	4.0
424	6.0
425	6.0
426	7.0
427	6.0
428	5.0
429	18.0
430	12.0
431	9.0
432	6.0
433	12.0
434	5.0
435	4.0
436	9.0
437	4.0
438	10.0
439	8.0
440	21.0
441	6.0
442	7.0
443	7.0
444	8.0
445	26.0
446	6.0
447	4.0
448	6.0
449	11.0
450	5.0
451	8.0
452	13.0
453	11.0
454	5.0
455	10.0
456	10.0
457	7.0
458	4.0
459	4.0
460	5.0
461	6.0
462	8.0
463	5.0
464	5.0
465	9.0
466	4.0
467	9.0
468	9.0
469	8.0
470	12.0
471	10.0
472	9.0
473	6.0
474	20.0
475	8.0
476	6.0
477	12.0
478	13.0
479	17.0
480	8.0
481	8.0
482	16.0
483	6.0
484	24.0
485	5.0
486	6.0
487	7.0
488	10.0
489	13.0
490	11.0
491	10.0
492	7.0
493	6.0
494	4.0
495	15.0
496	3.0
497	5.0
498	5.0
499	6.0
500	15.0
501	4.0
502	11.0
503	6.0
504	5.0
505	6.0
506	21.0
507	8.0
508	7.0
509	5.0
510	10.0
511	15.0
512	6.0
513	8.0
514	8.0
515	12.0
516	5.0
517	7.0
518	7.0
519	16.0
520	20.0
521	12.0
522	6.0
523	6.0
524	6.0
525	7.0
526	4.0
527	7.0
528	8.0
529	9.0
530	11.0
531	13.0
532	6.0
533	6.0
534	5.0
535	5.0
536	10.0
537	5.0
538	9.0
539	5.0
540	7.0
541	7.0
542	7.0
543	4.0
544	6.0
545	9.0
546	13.0
547	9.0
548	17.0
549	6.0
550	16.0
551	11.0
552	5.0
553	13.0
554	12.0
555	10.0
556	13.0
557	9.0
558	11.0
559	5.0
560	7.0
561	8.0
562	7.0
563	7.0
564	10.0
565	11.0
566	4.0
567	5.0
568	4.0
569	17.0
570	11.0
571	4.0
572	7.0
573	10.0
574	8.0
575	8.0
576	9.0
577	11.0
578	10.0
579	8.0
580	7.0
581	14.0
582	7.0
583	6.0
584	13.0
585	11.0
586	12.0
587	10.0
588	7.0
589	10.0
590	14.0
591	7.0
592	8.0
593	5.0
594	16.0
595	6.0
596	11.0
597	7.0
598	6.0
599	10.0
600	8.0
601	13.0
602	4.0
603	7.0
604	6.0
605	9.0
606	4.0
607	7.0
608	6.0
609	8.0
610	7.0
611	6.0
612	5.0
613	9.0
614	5.0
615	8.0
616	5.0
617	7.0
618	14.0
619	7.0
620	7.0
621	4.0
622	12.0
623	11.0
624	13.0
625	7.0
626	10.0
627	4.0
628	14.0
629	5.0
630	4.0
631	7.0
632	6.0
633	6.0
634	5.0
635	4.0
636	12.0
637	10.0
638	7.0
639	7.0
640	18.0
641	6.0
642	7.0
643	11.0
644	6.0
645	6.0
646	7.0
647	6.0
