geneID	Y2H_int	cell_lines	descr	frac_occ	hcip_cutoff_sy5y	num_hek	num_sy5y	source	symbol	synonyms
55299	None	None	BRX1, biogenesis of ribosomes	None	None	None	None	extended	BRIX1	BRIX|BXDC2
5987	None	None	tripartite motif containing 27	None	None	None	None	extended	TRIM27	RFP|RNF76
29766	None	None	tropomodulin 3	None	None	None	None	extended	TMOD3	UTMOD
29761	None	None	ubiquitin specific peptidase 25	None	None	None	None	extended	USP25	USP21
7188	None	None	TNF receptor associated factor 5	None	None	None	None	extended	TRAF5	MGC:39780|RNF84
7185	None	None	TNF receptor associated factor 1	None	None	None	None	extended	TRAF1	EBI6|MGC:10353
7186	None	None	TNF receptor associated factor 2	None	None	None	None	extended	TRAF2	MGC:45012|TRAP|TRAP3
7187	None	None	TNF receptor associated factor 3	None	None	None	None	extended	TRAF3	CAP-1|CAP1|CD40bp|CRAF1|IIAE5|LAP1
392	None	None	Rho GTPase activating protein 1	None	None	None	None	extended	ARHGAP1	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP
6217	None	None	ribosomal protein S16	None	None	None	None	extended	RPS16	S16
6210	None	None	ribosomal protein S15a	None	None	None	None	extended	RPS15A	S15a
10574	None	None	chaperonin containing TCP1 subunit 7	None	None	None	None	extended	CCT7	CCTETA|CCTH|NIP7-1|TCP1ETA
10575	n	h	chaperonin containing TCP1 subunit 4	1.0	NA	12	0	APMS_seed	CCT4	CCT-DELTA|Cctd|SRB
10576	None	None	chaperonin containing TCP1 subunit 2	None	None	None	None	extended	CCT2	99D8.1|CCT-beta|CCTB|HEL-S-100n|PRO1633|TCP-1-beta
347733	n	s	tubulin beta 2B class IIb	0.333333333333	90	0	2	APMS_seed	TUBB2B	PMGYSA|bA506K6.1
8030	None	None	coiled-coil domain containing 6	None	None	None	None	extended	CCDC6	D10S170|H4|PTC|TPC|TST1
81565	None	None	nudE neurodevelopment protein 1 like 1	None	None	None	None	extended	NDEL1	EOPA|MITAP1|NDE1L1|NDE2|NUDEL
55644	None	None	O-sialoglycoprotein endopeptidase	None	None	None	None	extended	OSGEP	GCPL1|KAE1|OSGEP1|PRSMG1
51121	None	None	ribosomal protein L26 like 1	None	None	None	None	extended	RPL26L1	RPL26P1
6187	None	None	ribosomal protein S2	None	None	None	None	extended	RPS2	LLREP3|S2
6181	None	None	ribosomal protein lateral stalk subunit P2	None	None	None	None	extended	RPLP2	D11S2243E|LP2|P2|RPP2
6189	None	None	ribosomal protein S3A	None	None	None	None	extended	RPS3A	FTE1|MFTL|S3A
6188	None	None	ribosomal protein S3	None	None	None	None	extended	RPS3	S3
6231	n	h	ribosomal protein S26	0.416666666667	NA	5	0	APMS_seed	RPS26	DBA10|S26
6230	None	None	ribosomal protein S25	None	None	None	None	extended	RPS25	S25
6232	None	None	ribosomal protein S27	None	None	None	None	extended	RPS27	MPS-1|MPS1|S27
51386	None	None	eukaryotic translation initiation factor 3 subunit L	None	None	None	None	extended	EIF3L	EIF3EIP|EIF3S11|EIF3S6IP|HSPC021|HSPC025|MSTP005
55662	n	b	hypoxia inducible factor 1 alpha subunit inhibitor	1.0	95	12	3	APMS_seed	HIF1AN	FIH1
55661	None	None	DEAD-box helicase 27	None	None	None	None	extended	DDX27	DRS1|Drs1p|HSPC259|PP3241|RHLP|dJ686N3.1
140460	None	None	ankyrin repeat and SOCS box containing 7	None	None	None	None	extended	ASB7	-
7965	None	None	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	None	None	None	None	extended	AIMP2	JTV-1|JTV1|P38
6257	None	None	retinoid X receptor beta	None	None	None	None	extended	RXRB	DAUDI6|H-2RIIBP|NR2B2|RCoR-1
10534	n	h	Sjogren syndrome/scleroderma autoantigen 1	0.25	NA	3	0	APMS_seed	SSSCA1	p27
10539	None	None	glutaredoxin 3	None	None	None	None	extended	GLRX3	GLRX4|GRX3|GRX4|PICOT|TXNL2|TXNL3
9454	None	None	homer scaffolding protein 3	None	None	None	None	extended	HOMER3	HOMER-3|VESL3
9456	None	None	homer scaffolding protein 1	None	None	None	None	extended	HOMER1	HOMER|HOMER1A|HOMER1B|HOMER1C|SYN47|Ves-1
322	None	None	amyloid beta precursor protein binding family B member 1	None	None	None	None	extended	APBB1	FE65|MGC:9072|RIR
