GO_ID	GO_name	num_seed_genes	num_total_seed_genes	num_genes_genespace	LOD	p_value	p_adjust	seed_gene_symbols	seed_gene_IDs
GO:1903069	regulation of ER-associated ubiquitin-dependent protein catabolic process	3	97	10	1.95085746295	1.71755374389e-05	0.04	USP14,UBQLN2,UBQLN1	9097,29978,29979
GO:0000502	proteasome complex	9	97	66	1.52719251408	6.8881844129e-11	0	UBE3A,TXNL1,UCHL5,USP14,PSMD4,RAD23B,RAD23A,UBQLN1,UBE3C	7337,9352,51377,9097,5710,5887,5886,29979,9690
GO:0032182	ubiquitin-like protein binding	6	97	91	1.17493133377	9.10706349201e-06	0.024	ZFAND6,USP16,HERC2,RAD23B,RAD23A,UBQLN1	54469,10600,8924,5887,5886,29979
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	7	97	118	1.12591542688	3.20894192602e-06	0.005	RPL17,RPL29,RPSA,RPS4Y1,RPL21,EIF3E,RPS26	6139,6159,3921,6192,6144,3646,6231
GO:0006413	translational initiation	11	97	219	1.0570039073	2.41119398649e-08	0.001	RPSA,RPL29,EIF4A1,PTCD3,EIF3C,EIF3D,RPS4Y1,RPL21,EIF3E,RPS26,RPL17	3921,6159,1973,55037,8663,8664,6192,6144,3646,6231,6139
GO:0019058	viral life cycle	7	97	149	1.01862597922	1.4922777227e-05	0.035	RPSA,RPL17,RAN,RPS4Y1,RPL21,RPL29,RPS26	3921,6139,5901,6192,6144,6159,6231
GO:0000956	nuclear-transcribed mRNA catabolic process	8	97	178	0.999221629818	4.95198869001e-06	0.008	RPL17,RPL29,EIF4A1,RPSA,RPS4Y1,RPL21,EIF3E,RPS26	6139,6159,1973,3921,6192,6144,3646,6231
GO:0061136	regulation of proteasomal protein catabolic process	7	97	156	0.997630240964	2.00952562451e-05	0.045	UCHL5,CENPF,USP14,RAD23B,RAD23A,UBQLN2,UBQLN1	51377,1063,9097,5887,5886,29978,29979
GO:0006402	mRNA catabolic process	8	97	189	0.971802722349	7.69834654723e-06	0.018	RPL17,RPL29,EIF4A1,RPSA,RPS4Y1,RPL21,EIF3E,RPS26	6139,6159,1973,3921,6192,6144,3646,6231
GO:0006412	translation	11	97	278	0.947350936997	2.71524019441e-07	0.001	RPSA,RPL29,EIF4A1,PTCD3,EIF3C,EIF3D,RPS4Y1,RPL21,EIF3E,RPS26,RPL17	3921,6159,1973,55037,8663,8664,6192,6144,3646,6231,6139
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	9	97	226	0.945530677952	3.33681549569e-06	0.005	UBE3A,UCHL5,CENPF,USP14,PSMD4,RAD23B,RAD23A,UBQLN2,UBQLN1	7337,51377,1063,9097,5710,5887,5886,29978,29979
