GO_ID	GO_name	num_seed_genes	num_total_seed_genes	num_genes_genespace	LOD	p_value	p_adjust	seed_gene_symbols	seed_gene_IDs
GO:0000502	proteasome complex	7	84	66	1.46758744773	2.17243874681e-08	0	UBE3A,TXNL1,UCHL5,USP14,PSMD4,RAD23B,UBE3C	7337,9352,51377,9097,5710,5887,9690
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	7	84	118	1.19357620486	1.21273691275e-06	0.004	RPL17,EIF3E,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,3646,3921,6192,6144,6159,6231
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	6	84	108	1.16262852931	1.06429523861e-05	0.029	RPL17,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,3921,6192,6144,6159,6231
GO:0006613	cotranslational protein targeting to membrane	6	84	109	1.15838791878	1.12216465392e-05	0.034	RPL17,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,3921,6192,6144,6159,6231
GO:0019083	viral transcription	6	84	112	1.14590627436	1.31122636337e-05	0.036	RPL17,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,3921,6192,6144,6159,6231
GO:0045047	protein targeting to ER	6	84	113	1.14182328639	1.37967803045e-05	0.039	RPL17,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,3921,6192,6144,6159,6231
GO:0072599	establishment of protein localization to endoplasmic reticulum	6	84	117	1.12586034387	1.68298622838e-05	0.043	RPL17,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,3921,6192,6144,6159,6231
GO:0019058	viral life cycle	7	84	149	1.08628729917	5.74935875259e-06	0.019	RPL17,RAN,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,5901,3921,6192,6144,6159,6231
GO:0006413	translational initiation	10	84	219	1.08056856706	6.62558963081e-08	0	RPSA,EIF3E,EIF4A1,EIF3C,EIF3D,RPS4Y1,RPL21,RPL29,RPS26,RPL17	3921,3646,1973,8663,8664,6192,6144,6159,6231,6139
GO:0000956	nuclear-transcribed mRNA catabolic process	8	84	178	1.06769816435	1.6641090994e-06	0.006	RPL17,EIF3E,EIF4A1,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,3646,1973,3921,6192,6144,6159,6231
GO:0006402	mRNA catabolic process	8	84	189	1.04027945025	2.60505554691e-06	0.012	RPL17,EIF3E,EIF4A1,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,3646,1973,3921,6192,6144,6159,6231
GO:0044445	cytosolic part	7	84	168	1.03146998912	1.26189244828e-05	0.036	RPL17,CCT4,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,10575,3921,6192,6144,6159,6231
GO:0006401	RNA catabolic process	8	84	217	0.977293031295	7.22834295699e-06	0.019	RPL17,EIF3E,EIF4A1,RPSA,RPS4Y1,RPL21,RPL29,RPS26	6139,3646,1973,3921,6192,6144,6159,6231
GO:0006412	translation	10	84	278	0.971374025133	6.04321691532e-07	0.003	RPSA,EIF3E,EIF4A1,EIF3C,EIF3D,RPS4Y1,RPL21,RPL29,RPS26,RPL17	3921,3646,1973,8663,8664,6192,6144,6159,6231,6139
GO:0043043	peptide biosynthetic process	10	84	302	0.933607651127	1.28164063745e-06	0.005	RPSA,EIF3E,EIF4A1,EIF3C,EIF3D,RPS4Y1,RPL21,RPL29,RPS26,RPL17	3921,3646,1973,8663,8664,6192,6144,6159,6231,6139
GO:0043604	amide biosynthetic process	10	84	357	0.85743558309	5.6949842662e-06	0.018	RPSA,EIF3E,EIF4A1,EIF3C,EIF3D,RPS4Y1,RPL21,RPL29,RPS26,RPL17	3921,3646,1973,8663,8664,6192,6144,6159,6231,6139
GO:0034655	nucleobase-containing compound catabolic process	9	84	325	0.849517852399	1.88827521836e-05	0.046	RPSA,EIF3E,EIF4A1,RPL17,RPS4Y1,RPL21,RPL29,RPS26,DERA	3921,3646,1973,6139,6192,6144,6159,6231,51071
GO:0006518	peptide metabolic process	10	84	381	0.827844176746	1.00638952458e-05	0.029	RPSA,EIF3E,EIF4A1,EIF3C,EIF3D,RPS4Y1,RPL21,RPL29,RPS26,RPL17	3921,3646,1973,8663,8664,6192,6144,6159,6231,6139
GO:0044265	cellular macromolecule catabolic process	15	84	623	0.807012669616	1.47246571093e-07	0.001	UBE3A,RPSA,UCHL5,EIF4A1,USP14,RPL21,PSMD4,USP9Y,USP16,RPL17,RAD23B,RPS4Y1,EIF3E,RPL29,RPS26	7337,3921,51377,1973,9097,6144,5710,8287,10600,6139,5887,6192,3646,6159,6231
GO:0009057	macromolecule catabolic process	16	84	754	0.75313016542	2.97329528351e-07	0.001	UBE3A,RPSA,UCHL5,EIF4A1,USP14,RPL21,PSMD4,USP9Y,USP16,RPL17,RAD23B,RPS4Y1,EIF3E,RPL29,CALM1,RPS26	7337,3921,51377,1973,9097,6144,5710,8287,10600,6139,5887,6192,3646,6159,801,6231
GO:0044248	cellular catabolic process	21	84	1140	0.710693403079	3.35877455708e-08	0	UBE3A,RPSA,RPS4Y1,GLUD1,UCHL5,BCKDK,EIF4A1,USP14,RPL21,PSMD4,USP9Y,USP16,RPL17,RAD23B,ECI2,EIF3E,RPL29,CALM1,RPS26,ECH1,DERA	7337,3921,6192,2746,51377,10295,1973,9097,6144,5710,8287,10600,6139,5887,10455,3646,6159,801,6231,1891,51071
GO:0010467	gene expression	16	84	932	0.654873614598	4.76341272872e-06	0.016	GTF2H1,RPSA,EIF4A1,EIF3C,RPL21,PSMD4,HIST1H4A,RAN,EIF3D,RPS4Y1,EIF3E,LARS,RPL29,RPS26,SCO2,RPL17	2965,3921,1973,8663,6144,5710,8359,5901,8664,6192,3646,51520,6159,6231,9997,6139
