index	num_nodes_lcc
real	17
0	7.0
1	5.0
2	10.0
3	18.0
4	7.0
5	6.0
6	11.0
7	14.0
8	14.0
9	8.0
10	19.0
11	7.0
12	11.0
13	11.0
14	8.0
15	10.0
16	10.0
17	16.0
18	19.0
19	14.0
20	5.0
21	9.0
22	15.0
23	6.0
24	24.0
25	11.0
26	4.0
27	18.0
28	18.0
29	25.0
30	8.0
31	7.0
32	8.0
33	13.0
34	13.0
35	15.0
36	19.0
37	27.0
38	6.0
39	14.0
40	10.0
41	6.0
42	7.0
43	9.0
44	4.0
45	10.0
46	11.0
47	7.0
48	21.0
49	9.0
50	10.0
51	11.0
52	14.0
53	6.0
54	7.0
55	7.0
56	8.0
57	8.0
58	18.0
59	14.0
60	14.0
61	16.0
62	11.0
63	10.0
64	9.0
65	10.0
66	4.0
67	11.0
68	17.0
69	8.0
70	6.0
71	6.0
72	23.0
73	12.0
74	21.0
75	5.0
76	9.0
77	16.0
78	14.0
79	18.0
80	18.0
81	7.0
82	9.0
83	7.0
84	16.0
85	4.0
86	17.0
87	11.0
88	14.0
89	9.0
90	11.0
91	10.0
92	6.0
93	21.0
94	9.0
95	14.0
96	16.0
97	18.0
98	9.0
99	8.0
100	26.0
101	12.0
102	7.0
103	7.0
104	13.0
105	7.0
106	5.0
107	8.0
108	15.0
109	7.0
110	16.0
111	4.0
112	8.0
113	9.0
114	4.0
115	18.0
116	8.0
117	7.0
118	24.0
119	12.0
120	5.0
121	14.0
122	4.0
123	6.0
124	17.0
125	10.0
126	10.0
127	20.0
128	25.0
129	8.0
130	7.0
131	7.0
132	19.0
133	5.0
134	16.0
135	8.0
136	12.0
137	9.0
138	11.0
139	4.0
140	14.0
141	14.0
142	13.0
143	20.0
144	12.0
145	21.0
146	15.0
147	9.0
148	19.0
149	6.0
150	14.0
151	15.0
152	14.0
153	7.0
154	9.0
155	6.0
156	7.0
157	6.0
158	20.0
159	11.0
160	21.0
161	7.0
162	6.0
163	6.0
164	11.0
165	18.0
166	27.0
167	9.0
168	10.0
169	7.0
170	11.0
171	14.0
172	7.0
173	6.0
174	9.0
175	7.0
176	14.0
177	17.0
178	7.0
179	4.0
180	4.0
181	15.0
182	9.0
183	11.0
184	6.0
185	12.0
186	5.0
187	6.0
188	10.0
189	12.0
190	15.0
191	10.0
192	12.0
193	9.0
194	11.0
195	9.0
196	6.0
197	17.0
198	5.0
199	18.0
200	5.0
201	13.0
202	6.0
203	11.0
204	14.0
205	11.0
206	26.0
207	9.0
208	11.0
209	8.0
210	18.0
211	7.0
212	15.0
213	11.0
214	7.0
215	10.0
216	18.0
217	18.0
218	23.0
219	14.0
220	20.0
221	6.0
222	6.0
223	24.0
224	12.0
225	9.0
226	8.0
227	14.0
228	13.0
229	9.0
230	10.0
231	9.0
232	7.0
233	11.0
234	12.0
235	11.0
236	16.0
237	10.0
238	16.0
239	20.0
240	12.0
241	14.0
242	20.0
243	9.0
244	13.0
245	9.0
246	11.0
247	7.0
248	15.0
249	8.0
250	10.0
251	5.0
252	11.0
253	21.0
254	8.0
255	12.0
256	6.0
257	17.0
258	6.0
259	11.0
260	6.0
261	8.0
262	8.0
263	11.0
264	7.0
265	8.0
266	9.0
267	7.0
268	7.0
269	5.0
270	6.0
271	17.0
272	7.0
273	18.0
274	8.0
275	6.0
276	10.0
277	8.0
278	20.0
279	13.0
280	14.0
281	14.0
282	6.0
283	19.0
284	6.0
285	13.0
286	9.0
287	5.0
288	17.0
289	24.0
290	12.0
291	6.0
292	10.0
293	18.0
294	12.0
295	15.0
296	8.0
297	6.0
298	20.0
299	15.0
300	8.0
301	13.0
302	11.0
303	26.0
304	4.0
305	11.0
306	18.0
307	8.0
308	26.0
309	4.0
310	10.0
311	24.0
312	5.0
313	7.0
314	6.0
315	4.0
316	15.0
317	10.0
318	22.0
319	10.0
320	10.0
321	18.0
322	16.0
323	10.0
324	12.0
325	27.0
326	17.0
327	4.0
