GO_ID	GO_name	num_seed_genes	num_total_seed_genes	num_genes_genespace	LOD	p_value	p_adjust	seed_gene_symbols	seed_gene_IDs
GO:0022624	proteasome accessory complex	17	118	17	3.79454813749	1.92154719418e-38	0	PSMD1,PSMD2,PSMD3,PSMD13,PSMD12,PSMC4,PSMC5,PSMC6,PSMD8,PSMC1,PSMC2,PSMC3,PSMD4,PSMD11,PSMD5,PSMD14,PSMD6	5707,5708,5709,5719,5718,5704,5705,5706,5714,5700,5701,5702,5710,5717,5711,10213,9861
GO:0005838	proteasome regulatory particle	8	118	9	2.96688748869	2.20916665298e-17	0	PSMD8,PSMD2,PSMD13,PSMD12,PSMD11,PSMD10,PSMD1,PSMD7	5714,5708,5719,5718,5717,5716,5707,5713
GO:0019773	proteasome core complex, alpha-subunit complex	7	118	8	2.90861723701	3.21634527254e-15	0	PSMA7,PSMA4,PSMA3,PSMA6,PSMA5,PSMA2,PSMA1	5688,5685,5684,5687,5686,5683,5682
GO:0005839	proteasome core complex	15	118	19	2.77902882067	2.29151285179e-30	0	PSMA3,PSMB4,PSMB5,PSMB2,PSMB3,PSMB8,PSMA7,PSMB6,PSMB7,PSMA4,PSMB1,PSMA6,PSMA5,PSMA2,PSMA1	5684,5692,5693,5690,5691,5696,5688,5694,5695,5685,5689,5687,5686,5683,5682
GO:0070003	threonine-type peptidase activity	15	118	21	2.61927989515	3.17410248085e-29	0	PSMA3,PSMB4,PSMB5,PSMB2,PSMB3,PSMB8,PSMA7,PSMB6,PSMB7,PSMA4,PSMB1,PSMA6,PSMA5,PSMA2,PSMA1	5684,5692,5693,5690,5691,5696,5688,5694,5695,5685,5689,5687,5686,5683,5682
GO:0004298	threonine-type endopeptidase activity	15	118	21	2.61927989515	3.17410248085e-29	0	PSMA3,PSMB4,PSMB5,PSMB2,PSMB3,PSMB8,PSMA7,PSMB6,PSMB7,PSMA4,PSMB1,PSMA6,PSMA5,PSMA2,PSMA1	5684,5692,5693,5690,5691,5696,5688,5694,5695,5685,5689,5687,5686,5683,5682
GO:0000502	proteasome complex	41	118	66	2.57855106635	7.14237160446e-76	0	USP14,RAD23B,PSMD14,PSMD2,PSMD3,PSMC4,PSMC5,PSMC6,PSMD1,PSMC1,PSMC2,PSMC3,PSMB1,PSMA7,PSMA4,PSMA3,PSMA6,PSMA5,PSMA2,PSMA1,TXNL1,PSME4,PSMD6,UBE3A,UCHL5,PSMD13,PSMD12,PSMD11,PSMD10,PSMD8,PSMD7,PSMD5,PSMD4,PSMB4,PSMB5,PSMB2,PSMB3,PSMB8,PSMB6,PSMB7,UBE3C	9097,5887,10213,5708,5709,5704,5705,5706,5707,5700,5701,5702,5689,5688,5685,5684,5687,5686,5683,5682,9352,23198,9861,7337,51377,5719,5718,5717,5716,5714,5713,5711,5710,5692,5693,5690,5691,5696,5694,5695,9690
GO:0006521	regulation of cellular amino acid metabolic process	35	118	62	2.44550589771	2.46342355416e-62	0	PSMD14,PSMD2,PSMD3,PSMC4,PSMC5,PSMC6,PSMD1,PSMC1,PSMC2,PSMC3,PSMB1,PSMA7,PSMA4,PSMA3,PSMA6,PSMA5,PSMA2,PSMA1,PSME4,PSMD6,PSMD13,PSMD12,PSMD11,PSMD10,PSMD8,PSMD7,PSMD5,PSMD4,PSMB4,PSMB5,PSMB2,PSMB3,PSMB8,PSMB6,PSMB7	10213,5708,5709,5704,5705,5706,5707,5700,5701,5702,5689,5688,5685,5684,5687,5686,5683,5682,23198,9861,5719,5718,5717,5716,5714,5713,5711,5710,5692,5693,5690,5691,5696,5694,5695
GO:0038061	NIK/NF-kappaB signaling	35	118	64	2.41496843162	1.21234875676e-61	0	PSMD14,PSMD2,PSMD3,PSMC4,PSMC5,PSMC6,PSMD1,PSMC1,PSMC2,PSMC3,PSMB1,PSMA7,PSMA4,PSMA3,PSMA6,PSMA5,PSMA2,PSMA1,PSME4,PSMD6,PSMD13,PSMD12,PSMD11,PSMD10,PSMD8,PSMD7,PSMD5,PSMD4,PSMB4,PSMB5,PSMB2,PSMB3,PSMB8,PSMB6,PSMB7	10213,5708,5709,5704,5705,5706,5707,5700,5701,5702,5689,5688,5685,5684,5687,5686,5683,5682,23198,9861,5719,5718,5717,5716,5714,5713,5711,5710,5692,5693,5690,5691,5696,5694,5695
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	35	118	66	2.38643174453	5.54283275382e-61	0	PSMD14,PSMD2,PSMD3,PSMC4,PSMC5,PSMC6,PSMD1,PSMC1,PSMC2,PSMC3,PSMB1,PSMA7,PSMA4,PSMA3,PSMA6,PSMA5,PSMA2,PSMA1,PSME4,PSMD6,PSMD13,PSMD12,PSMD11,PSMD10,PSMD8,PSMD7,PSMD5,PSMD4,PSMB4,PSMB5,PSMB2,PSMB3,PSMB8,PSMB6,PSMB7	10213,5708,5709,5704,5705,5706,5707,5700,5701,5702,5689,5688,5685,5684,5687,5686,5683,5682,23198,9861,5719,5718,5717,5716,5714,5713,5711,5710,5692,5693,5690,5691,5696,5694,5695
