index	num_nodes_lcc
real	74
0	28.0
1	26.0
2	30.0
3	28.0
4	5.0
5	27.0
6	17.0
7	16.0
8	15.0
9	39.0
10	14.0
11	13.0
12	11.0
13	11.0
14	12.0
15	38.0
16	18.0
17	7.0
18	26.0
19	22.0
20	20.0
21	10.0
22	18.0
23	14.0
24	24.0
25	16.0
26	9.0
27	37.0
28	26.0
29	39.0
30	13.0
31	9.0
32	7.0
33	35.0
34	35.0
35	31.0
36	11.0
37	13.0
38	10.0
39	28.0
40	6.0
41	20.0
42	16.0
43	12.0
44	24.0
45	22.0
46	22.0
47	9.0
48	22.0
49	25.0
50	19.0
51	30.0
52	38.0
53	19.0
54	27.0
55	27.0
56	22.0
57	47.0
58	39.0
59	42.0
60	20.0
61	38.0
62	36.0
63	20.0
64	15.0
65	11.0
66	16.0
67	24.0
68	18.0
69	9.0
70	33.0
71	9.0
72	31.0
73	18.0
74	26.0
75	20.0
76	28.0
77	18.0
78	36.0
79	13.0
80	16.0
81	25.0
82	28.0
83	13.0
84	8.0
85	9.0
86	26.0
87	33.0
88	12.0
89	30.0
90	11.0
91	16.0
92	41.0
93	15.0
94	14.0
95	34.0
96	29.0
97	24.0
98	13.0
99	21.0
100	11.0
101	20.0
102	9.0
103	20.0
104	11.0
105	15.0
106	18.0
107	17.0
108	15.0
109	10.0
110	25.0
111	18.0
112	23.0
113	8.0
114	40.0
115	34.0
116	10.0
117	12.0
118	31.0
119	25.0
120	28.0
121	21.0
122	34.0
123	8.0
124	28.0
125	45.0
126	26.0
127	20.0
128	16.0
129	19.0
130	6.0
131	7.0
132	35.0
133	11.0
134	22.0
135	38.0
136	15.0
137	20.0
138	19.0
139	22.0
140	20.0
141	28.0
142	29.0
143	18.0
144	16.0
145	26.0
146	17.0
147	24.0
148	18.0
149	12.0
150	17.0
151	18.0
152	21.0
153	14.0
154	7.0
155	28.0
156	24.0
157	9.0
158	8.0
159	4.0
160	24.0
161	8.0
162	37.0
163	13.0
164	19.0
165	14.0
166	25.0
167	16.0
168	23.0
169	35.0
170	26.0
171	14.0
172	11.0
173	29.0
174	19.0
175	17.0
176	18.0
177	15.0
178	22.0
179	25.0
180	22.0
181	24.0
182	10.0
183	17.0
184	22.0
185	13.0
186	18.0
187	41.0
188	16.0
189	24.0
190	47.0
191	34.0
192	9.0
193	28.0
194	16.0
195	10.0
196	14.0
197	8.0
198	10.0
199	23.0
200	33.0
201	19.0
202	12.0
203	17.0
204	25.0
205	12.0
206	13.0
207	13.0
208	8.0
209	26.0
210	31.0
211	35.0
212	10.0
213	30.0
214	9.0
215	7.0
216	9.0
217	41.0
218	25.0
219	18.0
220	13.0
221	14.0
222	23.0
223	20.0
