GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score	WDN_Score	Ratio	Found_In
9546	APBA3	Amyloid beta A4 precursor protein-binding family A member 3	7	16.84	14.55	1/172	2
55662	HIF1AN	Hypoxia-inducible factor 1-alpha inhibitor	275	10.55	12.67	10/172	2
8396	PIP4K2B	Phosphatidylinositol-5-phosphate 4-kinase type-2 beta	4	12.73	11.00	1/172	2
6041	RNASEL	2-5A-dependent ribonuclease	4	12.73	11.00	1/172	2
7337	UBE3A	Isoform I of Ubiquitin-protein ligase E3A	10	10.06	10.09	2/172	2
8031	NCOA4	Nuclear receptor coactivator 4	3	11.02	9.52	1/172	2
84451	KIAA1804	Mitogen-activated protein kinase kinase kinase MLK4	6	7.79	6.80	2/172	2
283373	ANKRD52	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C	14	5.95	6.69	4/172	2
4793	NFKBIB	Isoform 2 of NF-kappa-B inhibitor beta	1	6.36	5.50	1/172	2
140461	ASB8	Ankyrin repeat and SOCS box protein 8	1	6.36	5.50	1/172	2
84790	TUBA1C	Tubulin alpha-1C chain	22	5.97	5.16	5/172	2
23294	ANKS1A	Ankyrin repeat and SAM domain-containing protein 1A	3	5.51	4.76	2/172	2
79443	FYCO1	FYVE and coiled-coil domain-containing protein 1	12	2.76	4.05	8/172	2
25831	HECTD1	E3 ubiquitin-protein ligase HECTD1	3	3.67	3.71	3/172	2
200081	TXLNA	Alpha-taxilin	1	3.18	2.75	2/172	2
79576	NKAP	NF-kappa-B-activating protein	2	2.25	1.94	4/172	2
79169	C1orf35	Isoform 2 of Multiple myeloma tumor-associated protein 2	2	1.50	1.30	6/172	2
286887	KRT6C	"Keratin, type II cytoskeletal 6C"	5	1.42	1.23	10/172	2
23524	SRRM2	Serine/arginine repetitive matrix protein 2	8	0.62	0.88	29/172	2
9879	DDX46	Probable ATP-dependent RNA helicase DDX46	2	1.00	0.86	9/172	2
