GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score	WDN_Score	Ratio	Found_In	Isoform	Active Form
31	ACACA	Isoform 4 of Acetyl-CoA carboxylase 1	29	15.23	12.43	1/65	2	II	N
11047	ADRM1	Proteasomal ubiquitin receptor ADRM1	3	1.22	1.00	4/65	2	I	Y
301	ANXA1	Annexin A1	4	2.83	2.31	2/65	2	III	N
23192	ATG4B	Isoform 2 of Cysteine protease ATG4B	2	4.00	3.27	1/65	2	I	N
563	AZGP1	Zinc-alpha-2-glycoprotein	2	1.00	0.82	4/65	2	III	N
7917	BAG6	Isoform 2 of Large proline-rich protein BAG6	8	1.14	1.05	7/65	2	I	Y
80212	CCDC92	Coiled-coil domain-containing protein 92	2	1.00	0.82	4/65	2	I	Y
1755	DMBT1	Isoform 2 of Deleted in malignant brain tumors 1 protein	1	1.41	1.15	2/65	2	II	N
3300	DNAJB2	Isoform 2 of DnaJ homolog subfamily B member 2	2	1.33	1.09	3/65	2	I	Y
11034	DSTN	Destrin	2	2.00	1.65	2/65	2	III	Y
1891	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	2	1.00	0.82	4/65	2	I	Y
1891	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	2	1.00	0.82	4/65	2	II	N
10455	ECI2	"Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial"	3	1.63	1.33	3/65	2	I	Y
1965	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1	13	2.55	2.25	4/65	2	II	N
25793	FBXO7	Isoform 2 of F-box only protein 7	1	2.83	2.31	1/65	2	I	Y
8139	GAN	Gigaxonin	16	11.31	9.24	1/65	2	I	N
9687	GREB1	Protein GREB1	2	2.00	1.63	2/65	2	I	Y
3043	HBB	Hemoglobin subunit beta	2	4.00	3.27	1/65	2	III	N
8924	HERC2	E3 ubiquitin-protein ligase HERC2	75	3.06	3.23	8/65	2	I	Y
8924	HERC2	E3 ubiquitin-protein ligase HERC2	57	2.67	2.90	8/65	2	I	N
8924	HERC2	E3 ubiquitin-protein ligase HERC2	8	1.00	1.32	8/65	2	II	Y
8924	HERC2	E3 ubiquitin-protein ligase HERC2	93	3.41	3.59	8/65	2	II	N
8924	HERC2	E3 ubiquitin-protein ligase HERC2	61	2.76	3.01	8/65	2	III	Y
8924	HERC2	E3 ubiquitin-protein ligase HERC2	32	2.00	2.34	8/65	2	III	N
55662	HIF1AN	Hypoxia-inducible factor 1-alpha inhibitor	1	1.41	1.15	2/65	2	I	Y
55662	HIF1AN	Hypoxia-inducible factor 1-alpha inhibitor	3	2.45	2.00	2/65	2	II	N
55662	HIF1AN	Hypoxia-inducible factor 1-alpha inhibitor	2	2.00	1.65	2/65	2	III	Y
3493	IGHA1	Ig alpha-1 chain C region	4	2.83	2.31	2/65	2	III	N
3494	IGHA2	Ig alpha-2 chain C region	3	4.90	4.00	1/65	2	III	N
