GeneID	Symbol	Description	Ave.APSM	DN_Score	WDN_Score	Ratio	Found_In
1891	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	103	9.23	11.13	7/172	2
84790	TUBA1C	Tubulin alpha-1C chain	53	9.27	8.04	5/172	2
26046	LTN1	E3 ubiquitin-protein ligase listerin	2	9	7.81	1/172	2
5445	PON2	Isoform 1 of Serum paraoxonase/arylesterase 2	1	6.36	5.53	1/172	2
5046	PCSK6	Isoform PACE4A-II of Proprotein convertase subtilisin/kexin type 6	1	6.36	5.53	1/172	2
2581	GALC	Galactocerebrosidase	3	5.51	4.79	2/172	2
57690	TNRC6C	Isoform 2 of Trinucleotide repeat-containing gene 6C protein	23	2.54	4.5	12/172	2
6603	SMARCD2	Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	7	4.21	4.39	4/172	2
338785	KRT79	"Keratin, type II cytoskeletal 79"	10	5.03	4.37	4/172	2
57492	ARID1B	Isoform 2 of AT-rich interactive domain-containing protein 1B	5	4.74	4.12	3/172	2
1452	CSNK1A1	Casein kinase I isoform alpha	2	4.5	3.91	2/172	2
11160	ERLIN2	Erlin-2	2	4.5	3.91	2/172	2
144568	A2ML1	Alpha-2-macroglobulin-like protein 1	2	4.5	3.91	2/172	2
147228	KRT17P1	Uncharacterized protein	8	3.6	3.13	5/172	2
65080	MRPL44	"39S ribosomal protein L44, mitochondrial"	1	3.18	2.76	2/172	2
7417	VDAC2	Isoform 1 of Voltage-dependent anion-selective channel protein 2	1	3.18	2.76	2/172	2
2760	GM2A	Ganglioside GM2 activator	1	3.18	2.76	2/172	2
4201	MEA1	Male-enhanced antigen 1	1	3.18	2.76	2/172	2
8110	DPF3	Isoform 2 of Zinc finger protein DPF3	1	3.18	2.76	2/172	2
1993	ELAVL2	Isoform 2 of ELAV-like protein 2	1	3.18	2.76	2/172	2
57402	S100A14	Protein S100-A14	1	3.18	2.76	2/172	2
6602	SMARCD1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	8	3	2.6	6/172	2
10497	UNC13B	Protein unc-13 homolog B	2	3	2.6	3/172	2
3107	HLA-C	"HLA class I histocompatibility antigen, Cw-7 alpha chain"	2	3	2.6	3/172	2
5691	PSMB3	Proteasome subunit beta type-3	2	3	2.6	3/172	2
10802	SEC24A	Protein transport protein Sec24A	3	2.76	2.39	4/172	2
192669	EIF2C3	Protein argonaute-3	11	1.92	2.38	11/172	2
79576	NKAP	NF-kappa-B-activating protein	2	2.25	1.95	4/172	2
55215	FANCI	Isoform 1 of Fanconi anemia group I protein	9	2.12	1.84	9/172	2
29088	MRPL15	"39S ribosomal protein L15, mitochondrial"	1	2.12	1.84	3/172	2
79169	C1orf35	Isoform 2 of Multiple myeloma tumor-associated protein 2	4	2.12	1.84	6/172	2
5682	PSMA1	Isoform Long of Proteasome subunit alpha type-1	1	2.12	1.84	3/172	2
11260	XPOT	Exportin-T	6	1.42	1.7	11/172	2
51429	SNX9	Sorting nexin-9	2	1.29	1.58	7/172	2
8604	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1	2	1.8	1.56	5/172	2
10423	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2	1.8	1.56	5/172	2
8289	ARID1A	AT-rich interactive domain-containing protein 1A	31	0.91	1.48	39/172	2
8826	IQGAP1	Ras GTPase-activating-like protein IQGAP1	1	1.59	1.38	4/172	2
3880	KRT19	"Keratin, type I cytoskeletal 19"	6	1.56	1.35	10/172	2
8239	USP9X	Isoform 2 of Probable ubiquitin carboxyl-terminal hydrolase FAF-X	10	0.75	1.33	27/172	2
5689	PSMB1	Proteasome subunit beta type-1	2	1.5	1.3	6/172	2
7965	AIMP2	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	2	1.5	1.3	6/172	2
10985	GCN1L1	Translational activator GCN1	6	0.78	1.28	20/172	2
6595	SMARCA2	Isoform Short of Probable global transcription activator SNF2L2	13	1.15	1.27	20/172	2
81567	TXNDC5	Thioredoxin domain-containing protein 5	1	1.06	1.22	6/172	2
3872	KRT17	"Keratin, type I cytoskeletal 17"	32	1.33	1.16	27/172	2
83737	ITCH	Isoform 2 of E3 ubiquitin-protein ligase Itchy homolog	1	1.27	1.11	5/172	2
79590	MRPL24	"39S ribosomal protein L24, mitochondrial"	1	1.27	1.11	5/172	2
84833	USMG5	Up-regulated during skeletal muscle growth protein 5	1	1.27	1.11	5/172	2
10962	MLLT11	Protein AF1q	1	1.27	1.11	5/172	2
56243	KIAA1217	Isoform 2 of Sickle tail protein homolog	3	1.22	1.06	9/172	2
134147	CMBL	Carboxymethylenebutenolidase homolog	2	1.13	0.98	8/172	2
4131	MAP1B	Microtubule-associated protein 1B	2	0.56	0.98	16/172	2
84188	FAR1	Fatty acyl-CoA reductase 1	3	1.1	0.96	10/172	2
54788	DNAJB12	Isoform 2 of DnaJ homolog subfamily B member 12	1	1.06	0.92	6/172	2
200316	APOBEC3F	DNA dC->dU-editing enzyme APOBEC-3F	1	1.06	0.92	6/172	2
563	AZGP1	Zinc-alpha-2-glycoprotein	2	1	0.87	9/172	2
