GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score	WDN_Score	Ratio	Found_In
10455	ECI2	"Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial"	54	23.57	27.59	2/172	2
9124	PDLIM1	PDZ and LIM domain protein 1	2	9.07	7.81	1/172	2
8924	HERC2	E3 ubiquitin-protein ligase HERC2	14	3.00	5.76	8/172	2
4201	MEA1	Male-enhanced antigen 1	4	6.42	5.52	2/172	2
1891	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	13	3.30	4.78	7/172	2
57690	TNRC6C	Isoform 2 of Trinucleotide repeat-containing gene 6C protein	23	2.56	4.50	12/172	2
10923	SUB1	Activated RNA polymerase II transcriptional coactivator p15	2	4.54	3.90	2/172	2
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	2	3.02	3.80	3/172	2
6603	SMARCD2	Isoform 3 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	6	3.93	3.75	4/172	2
57492	ARID1B	Isoform 2 of AT-rich interactive domain-containing protein 1B	4	4.28	3.68	3/172	2
147228	KRT17P1	Uncharacterized protein	7	3.39	2.92	5/172	2
2581	GALC	Galactocerebrosidase	1	3.21	2.76	2/172	2
8110	DPF3	Isoform 2 of Zinc finger protein DPF3	1	3.21	2.76	2/172	2
9967	THRAP3	Thyroid hormone receptor-associated protein 3	2	3.02	2.60	3/172	2
6602	SMARCD1	Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	5	2.39	2.06	6/172	2
79169	C1orf35	Isoform 3 of Multiple myeloma tumor-associated protein 2	4	2.14	1.84	6/172	2
144501	KRT80	"Isoform 2 of Keratin, type II cytoskeletal 80"	21	2.10	1.81	14/172	2
345651	ACTBL2	Beta-actin-like protein 2	3	1.85	1.59	6/172	2
8289	ARID1A	AT-rich interactive domain-containing protein 1A	32	0.93	1.54	39/172	2
79576	NKAP	NF-kappa-B-activating protein	1	1.60	1.38	4/172	2
55052	MRPL20	"39S ribosomal protein L20, mitochondrial"	1	1.60	1.38	4/172	2
79983	POF1B	Isoform 1 of Protein POF1B	1	1.60	1.38	4/172	2
192669	EIF2C3	Protein argonaute-3	7	1.54	1.37	11/172	2
6595	SMARCA2	Isoform Short of Probable global transcription activator SNF2L2	13	1.16	1.27	20/172	2
8239	USP9X	Isoform 2 of Probable ubiquitin carboxyl-terminal hydrolase FAF-X	8	0.67	1.21	27/172	2
51429	SNX9	Sorting nexin-9	1	0.92	1.20	7/172	2
83737	ITCH	Isoform 2 of E3 ubiquitin-protein ligase Itchy homolog	1	1.28	1.10	5/172	2
3851	KRT4	"Keratin, type II cytoskeletal 4"	19	1.17	1.00	24/172	2
56252	YLPM1	Isoform 4 of YLP motif-containing protein 1	2	1.13	0.98	8/172	2
9919	SEC16A	Isoform 2 of Protein transport protein Sec16A	18	0.49	0.92	56/172	2
56243	KIAA1217	Isoform 2 of Sickle tail protein homolog	2	1.01	0.87	9/172	2
563	AZGP1	Zinc-alpha-2-glycoprotein	2	1.01	0.87	9/172	2
