GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score	WDN_Score	Ratio	Found_In
5597	MAPK6	Mitogen-activated protein kinase 6	89	30.02	34.24	2/172	2
8550	MAPKAPK5	Isoform 2 of MAP kinase-activated protein kinase 5	25	31.82	27.49	1/172	2
8924	HERC2	E3 ubiquitin-protein ligase HERC2	135	9.24	13.50	8/172	2
55219	TMEM57	Macoilin	4	12.73	11.00	1/172	2
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	23	10.17	8.79	3/172	2
259266	ASPM	Abnormal spindle-like microcephaly-associated protein	8	9.00	8.55	2/172	2
9704	DHX34	Probable ATP-dependent RNA helicase DHX34	2	9.00	7.78	1/172	2
7982	ST7	Isoform 4 of Suppressor of tumorigenicity 7 protein	2	9.00	7.78	1/172	2
9747	FAM115A	Protein FAM115A	28	3.74	7.05	9/172	2
5695	PSMB7	Proteasome subunit beta type-7	1	6.36	5.50	1/172	2
84790	TUBA1C	Tubulin alpha-1C chain	21	5.83	5.04	5/172	2
10999	SLC27A4	Long-chain fatty acid transport protein 4	3	5.51	4.76	2/172	2
5692	PSMB4	Proteasome subunit beta type-4	3	5.51	4.76	2/172	2
10455	ECI2	"Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial"	2	4.50	3.89	2/172	2
4649	MYO9A	Isoform 2 of Myosin-IXa	2	4.50	3.89	2/172	2
5682	PSMA1	Isoform Long of Proteasome subunit alpha type-1	4	4.24	3.67	3/172	2
27037	TRMT2A	Isoform 2 of tRNA (uracil-5-)-methyltransferase homolog A	3	3.67	3.17	3/172	2
9859	CEP170	Isoform 3 of Centrosomal protein of 170 kDa	3	3.67	3.17	3/172	2
63875	MRPL17	"39S ribosomal protein L17, mitochondrial"	1	3.18	2.75	2/172	2
60493	FASTKD5	FAST kinase domain-containing protein 5	1	3.18	2.75	2/172	2
5296	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	1	3.18	2.75	2/172	2
6790	AURKA	Serine/threonine-protein kinase 6	2	3.00	2.59	3/172	2
5689	PSMB1	Proteasome subunit beta type-1	5	2.37	2.05	6/172	2
5713	PSMD7	26S proteasome non-ATPase regulatory subunit 7	4	1.27	1.98	10/172	2
5690	PSMB2	Proteasome subunit beta type-2	2	2.25	1.94	4/172	2
51065	RPS27L	40S ribosomal protein S27-like	3	2.20	1.90	5/172	2
2222	FDFT1	Squalene synthase	1	2.12	1.83	3/172	2
55700	MAP7D1	Isoform 2 of MAP7 domain-containing protein 1	5	2.03	1.76	7/172	2
5717	PSMD11	26S proteasome non-ATPase regulatory subunit 11	4	0.80	1.40	16/172	2
8663	EIF3C	Eukaryotic translation initiation factor 3 subunit C	6	0.56	1.39	28/172	2
5707	PSMD1	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1	4	0.55	1.38	23/172	2
9212	AURKB	Serine/threonine-protein kinase 12	1	1.59	1.37	4/172	2
5683	PSMA2	Proteasome subunit alpha type-2	5	1.58	1.37	9/172	2
5694	PSMB6	Proteasome subunit beta type-6	2	1.50	1.30	6/172	2
9861	PSMD6	26S proteasome non-ATPase regulatory subunit 6	2	1.00	1.24	9/172	2
5685	PSMA4	Proteasome subunit alpha type-4	3	1.38	1.19	8/172	2
5709	PSMD3	26S proteasome non-ATPase regulatory subunit 3	6	0.49	1.17	32/172	2
8239	USP9X	Isoform 2 of Probable ubiquitin carboxyl-terminal hydrolase FAF-X	7	0.62	1.13	27/172	2
5684	PSMA3	Isoform 2 of Proteasome subunit alpha type-3	2	1.29	1.11	7/172	2
1891	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	2	1.29	1.11	7/172	2
5347	PLK1	Serine/threonine-protein kinase PLK1	2	1.13	0.97	8/172	2
4430	MYO1B	Isoform 2 of Myosin-Ib	3	1.10	0.95	10/172	2
