GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score    90%	WDN_Score     90%	DN_Score      95%	WDN_Score       95%	Ratio	Found_In	HCIP cutoff
818	CAMK2G	Isoform 6 of Calcium/calmodulin-dependent protein kinase type II subunit gamma	97	62.53	56.84	27.31	22.75	1/64	2	95%
815	CAMK2A	Isoform B of Calcium/calmodulin-dependent protein kinase type II subunit alpha	73	54.25	49.31	23.69	19.73	1/64	2	95%
816	CAMK2B	Isoform 2 of Calcium/calmodulin-dependent protein kinase type II subunit beta	117	17.17	30.12	7.50	12.05	4/64	2	95%
23268	DNMBP	Dynamin-binding protein	13	22.89	20.81	10.00	8.33	1/64	2	95%
817	CAMK2D	Isoform Delta 6 of Calcium/calmodulin-dependent protein kinase type II subunit delta	337	12.95	16.60	5.66	6.64	9/64	2	95%
64778	FNDC3B	Fibronectin type III domain-containing protein 3B	5	14.20	12.90	6.20	5.16	1/64	2	95%
10787	NCKAP1	Isoform 2 of Nck-associated protein 1	13	11.45	10.40	5.00	4.16	2/64	2	95%
3709	ITPR2	"Inositol 1,4,5-trisphosphate receptor type 2"	3	11.00	10.00	4.80	4.00	1/64	2	95%
80279	CDK5RAP3	Isoform 2 of CDK5 regulatory subunit-associated protein 3	3	11.00	10.00	4.80	4.00	1/64	2	95%
1856	DVL2	Segment polarity protein dishevelled homolog DVL-2	3	11.00	10.00	4.80	4.00	1/64	2	95%
25948	KBTBD2	Kelch repeat and BTB domain-containing protein 2	3	11.00	10.00	4.80	4.00	1/64	2	95%
55275	VPS53	VPS53 protein	2	8.98	8.16	3.92	3.27	1/64	2	95%
157922	CAMSAP1	Isoform 3 of Calmodulin-regulated spectrin-associated protein 1	2	8.98	8.16	3.92	3.27	1/64	2	95%
6773	STAT2	Signal transducer and activator of transcription 2	2	8.98	8.16	3.92	3.27	1/64	2	95%
85451	UNK	RING finger protein unkempt homolog	2	8.98	8.16	3.92	3.27	1/64	2	95%
5830	PEX5	Isoform 3 of Peroxisomal targeting signal 1 receptor	2	8.98	8.16	3.92	3.27	1/64	2	95%
689	BTF3	Isoform 2 of Transcription factor BTF3	2	8.98	8.16	3.92	3.27	1/64	2	95%
10163	WASF2	Wiskott-Aldrich syndrome protein family member 2	2	8.98	8.16	3.92	3.27	1/64	2	95%
4638	MYLK	"Isoform 2 of Myosin light chain kinase, smooth muscle"	2	8.98	8.16	3.92	3.27	1/64	2	95%
23148	NACAD	NAC-alpha domain-containing protein 1	6	7.78	7.14	3.40	2.86	2/64	2	95%
26999	CYFIP2	Isoform 2 of Cytoplasmic FMR1-interacting protein 2	6	7.78	7.07	3.40	2.83	2/64	2	95%
9126	SMC3	Structural maintenance of chromosomes protein 3	7	5.60	5.85	2.44	2.34	3/64	2	95%
10513	APPBP2	Amyloid protein-binding protein 2	1	6.35	5.77	2.77	2.31	1/64	2	95%
3636	INPPL1	"Isoform 2 of Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2"	1	6.35	5.77	2.77	2.31	1/64	2	95%
22920	KIFAP3	Kinesin-associated protein 3	4	6.35	5.77	2.77	2.31	2/64	2	95%
94241	TP53INP1	Tumor protein p53-inducible nuclear protein 1	1	6.35	5.77	2.77	2.31	1/64	2	95%
10006	ABI1	Isoform 10 of Abl interactor 1	4	6.35	5.77	2.77	2.31	2/64	2	95%
54751	FBLIM1	Isoform 2 of Filamin-binding LIM protein 1	1	6.35	5.77	2.77	2.31	1/64	2	95%
3708	ITPR1	"Isoform 2 of Inositol 1,4,5-trisphosphate receptor type 1"	1	6.35	5.77	2.77	2.31	1/64	2	95%
124044	SPATA2L	Spermatogenesis-associated protein 2-like protein	1	6.35	5.77	2.77	2.31	1/64	2	95%
9985	REC8	Isoform 2 of Meiotic recombination protein REC8 homolog	1	6.35	5.77	2.77	2.31	1/64	2	95%
5970	RELA	Isoform 2 of Transcription factor p65	1	6.35	5.77	2.77	2.31	1/64	2	95%
51366	UBR5	E3 ubiquitin-protein ligase UBR5	13	3.82	5.31	1.67	2.12	6/64	2	95%
80821	DDHD1	Isoform 2 of Phospholipase DDHD1	3	5.50	5.00	2.40	2.00	2/64	2	95%
9219	MTA2	Metastasis-associated protein MTA2	3	5.50	5.00	2.40	2.00	2/64	2	95%
10152	ABI2	Isoform 2 of Abl interactor 2	3	5.50	5.00	2.40	2.00	2/64	2	95%
23558	WBP2	WW domain-binding protein 2	2	2.99	4.08	1.31	1.63	3/64	2	95%
8496	PPFIBP1	Isoform 2 of Liprin-beta-1	2	4.49	4.08	1.96	1.63	2/64	2	95%
23191	CYFIP1	Cytoplasmic FMR1-interacting protein 1	11	3.51	3.96	1.53	1.58	6/64	2	95%
1500	CTNND1	Isoform 1AB of Catenin delta-1	6	3.89	3.53	1.70	1.41	4/64	2	95%
28988	DBNL	Isoform 2 of Drebrin-like protein	6	3.89	3.53	1.70	1.41	4/64	2	95%
57448	BIRC6	Baculoviral IAP repeat-containing protein 6	8	3.59	3.30	1.57	1.32	5/64	2	95%
2289	FKBP5	Peptidyl-prolyl cis-trans isomerase FKBP5	5	3.55	3.23	1.55	1.29	4/64	2	95%
29110	TBK1	Serine/threonine-protein kinase TBK1	7	2.80	3.13	1.22	1.25	6/64	2	95%
22853	LMTK2	Serine/threonine-protein kinase LMTK2	1	3.17	2.89	1.39	1.15	2/64	2	95%
3797	KIF3C	Kinesin-like protein KIF3C	1	3.17	2.89	1.39	1.15	2/64	2	95%
139285	FAM123B	Isoform 2 of Protein FAM123B	1	3.17	2.89	1.39	1.15	2/64	2	95%
8243	SMC1A	Structural maintenance of chromosomes protein 1A	3	2.75	2.50	1.20	1.00	4/64	2	95%
6607	SMN2	Isoform SMN-delta5 of Survival motor neuron protein	3	2.75	2.50	1.20	1.00	4/64	2	95%
55728	N4BP2	Isoform 2 of NEDD4-binding protein 2	4	2.54	2.31	1.11	0.92	5/64	2	95%
85440	DOCK7	Isoform 2 of Dedicator of cytokinesis protein 7	4	1.41	2.08	--	--	9/64	2	90%
9737	GPRASP1	G-protein coupled receptor-associated sorting protein 1	2	2.25	2.04	--	--	4/64	2	90%
7024	TFCP2	Isoform 2 of Alpha-globin transcription factor CP2	1	2.12	1.92	--	--	3/64	2	90%
321	APBA2	Amyloid beta A4 precursor protein-binding family A member 2	1	1.59	1.83	--	--	4/64	2	90%
2317	FLNB	Isoform 2 of Filamin-B	4	1.81	1.65	--	--	7/64	2	90%
7791	ZYX	Zyxin	2	1.80	1.63	--	--	5/64	2	90%
161	AP2A2	Isoform 2 of AP-2 complex subunit alpha-2	2	1.80	1.63	--	--	5/64	2	90%
9820	CUL7	Cullin-7	1	1.59	1.46	--	--	4/64	2	90%
8975	USP13	Ubiquitin carboxyl-terminal hydrolase 13	4	1.59	1.44	--	--	1/64	1	90%
9867	PJA2	Isoform 2 of E3 ubiquitin-protein ligase Praja-2	3	1.57	1.43	--	--	7/64	2	90%
9500	MAGED1	Isoform 2 of Melanoma-associated antigen D1	2	1.50	1.36	--	--	6/64	2	90%
7407	VARS	Valyl-tRNA synthetase	2	0.69	1.30	--	--	13/64	2	90%
