GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score    90%	WDN_Score     90%	DN_Score      95%	WDN_Score       95%	Ratio	Found_In	HCIP cutoff
1891	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	41	10.16	11.83	4.44	4.73	4/64	2	95%
5499	PPP1CA	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	2	4.49	4.08	1.96	1.63	2/64	2	95%
221184	CPNE2	Copine-2	2	1.80	1.63	--	--	5/64	2	90%
348262	FAM195B	Protein FAM195B	1	1.59	1.44	--	--	4/64	2	90%
91754	NEK9	Serine/threonine-protein kinase Nek9	3	1.57	1.43	--	--	7/64	2	90%
6711	SPTBN1	"Spectrin beta chain, brain 1"	11	0.96	1.17	--	--	22/64	2	90%
22992	KDM2A	Isoform 3 of Lysine-specific demethylase 2A	1	1.27	1.15	--	--	5/64	2	90%
2079	ERH	Enhancer of rudimentary homolog	1	1.27	1.15	--	--	5/64	2	90%
6709	SPTAN1	"Isoform 2 of Spectrin alpha chain, brain"	13	0.79	1.09	--	--	29/64	2	90%
7415	VCP	Transitional endoplasmic reticulum ATPase	2	0.43	1.08	--	--	21/64	2	90%
10342	TFG	Protein TFG	137	1.16	1.06	--	--	64/64	2	90%
5500	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	2	1.12	1.02	--	--	8/64	2	90%
2512	FTL	Ferritin light chain	2	1.12	1.02	--	--	8/64	2	90%
81567	TXNDC5	Thioredoxin domain-containing protein 5	2	1.12	1.02	--	--	8/64	2	90%
3728	JUP	Uncharacterized protein	4	1.06	0.96	--	--	12/64	2	90%
6603	SMARCD2	Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	4	1.06	0.96	--	--	12/64	2	90%
1114	CHGB	Secretogranin-1	2	1.00	0.91	--	--	9/64	2	90%
