GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score	WDN_Score	Ratio	Found_In
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	222	31.60	37.17	3/172	2
10260	DENND4A	Uncharacterized protein	24	31.17	26.19	1/172	2
79884	MAP9	Microtubule-associated protein 9	22	29.85	25.08	1/172	2
57509	MTUS1	Microtubule-associated tumor suppressor 1	20	28.46	23.91	1/172	2
3895	KTN1	Kinectin	126	14.29	21.01	5/172	2
10455	ECI2	"Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial"	32	18.00	20.11	2/172	2
10600	USP16	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 16	14	23.81	20.01	1/172	2
23598	PATZ1	"Isoform 2 of POZ-, AT hook-, and zinc finger-containing protein 1"	12	22.04	18.52	1/172	2
5297	PI4KA	Phosphatidylinositol 4-kinase alpha	11	21.10	17.73	1/172	2
84260	TCHP	Trichoplein keratin filament-binding protein	11	21.10	17.73	1/172	2
79598	CEP97	Centrosomal protein of 97 kDa	10	20.12	16.91	1/172	2
8192	CLPP	"Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial"	10	20.12	16.91	1/172	2
1891	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	81	8.18	16.70	7/172	2
4645	MYO5B	Myosin-Vb	6	15.59	13.10	1/172	2
64397	ZFP106	Zinc finger protein 106 homolog	15	12.32	12.84	2/172	2
84220	RGPD5	RANBP2-like and GRIP domain-containing protein 5/6	14	11.90	12.30	2/172	2
4650	MYO9B	Isoform Short of Myosin-IXb	29	8.57	12.09	4/172	2
29922	NME7	Nucleoside diphosphate kinase 7	5	14.23	11.96	1/172	2
8527	DGKD	Isoform 1 of Diacylglycerol kinase delta	5	14.23	11.96	1/172	2
8924	HERC2	E3 ubiquitin-protein ligase HERC2	102	8.03	11.54	8/172	2
57448	BIRC6	Baculoviral IAP repeat-containing protein 6	21	9.72	11.51	3/172	2
1063	CENPF	Centromere protein F	24	7.79	11.13	4/172	2
55697	VAC14	Protein VAC14 homolog	4	12.73	10.69	1/172	2
8550	MAPKAPK5	Isoform 2 of MAP kinase-activated protein kinase 5	4	12.73	10.69	1/172	2
5933	RBL1	Retinoblastoma-like protein 1	4	12.73	10.69	1/172	2
200576	PIKFYVE	1-phosphatidylinositol-3-phosphate 5-kinase	4	12.73	10.69	1/172	2
1374	CPT1A	"Isoform 2 of Carnitine O-palmitoyltransferase 1, liver isoform"	10	10.06	9.81	2/172	2
57148	RALGAPB	Isoform 2 of Ral GTPase-activating protein subunit beta	3	11.02	9.26	1/172	2
81488	GRINL1A	Isoform 3 of Protein GRINL1A	3	11.02	9.26	1/172	2
10988	METAP2	Methionine aminopeptidase 2	3	11.02	9.26	1/172	2
2968	GTF2H4	General transcription factor IIH subunit 4	3	11.02	9.26	1/172	2
2071	ERCC3	TFIIH basal transcription factor complex helicase XPB subunit	3	11.02	9.26	1/172	2
8030	CCDC6	Coiled-coil domain-containing protein 6	8	9.00	8.32	2/172	2
5597	MAPK6	Mitogen-activated protein kinase 6	8	9.00	7.56	2/172	2
2965	GTF2H1	General transcription factor IIH subunit 1	2	9.00	7.56	1/172	2
22890	ZBTB1	Isoform 2 of Zinc finger and BTB domain-containing protein 1	2	9.00	7.56	1/172	2
1062	CENPE	Isoform 2 of Centromere-associated protein E	7	8.42	7.50	2/172	2
10869	USP19	Ubiquitin carboxyl-terminal hydrolase	12	7.35	6.17	3/172	2
4644	MYO5A	Isoform 2 of Myosin-Va	4	6.36	5.35	2/172	2
675	BRCA2	Breast cancer type 2 susceptibility protein	4	6.36	5.35	2/172	2
51329	ARL6IP4	Isoform 2 of ADP-ribosylation factor-like protein 6-interacting protein 4	1	6.36	5.35	1/172	2
253959	RALGAPA1	Isoform 2 of Ral GTPase-activating protein subunit alpha-1	4	6.36	5.35	2/172	2
9439	MED23	Isoform 2 of Mediator of RNA polymerase II transcription subunit 23	1	6.36	5.35	1/172	2
317762	CCDC85C	Coiled-coil domain-containing protein 85C	1	6.36	5.35	1/172	2
54438	GFOD1	Isoform 2 of Glucose-fructose oxidoreductase domain-containing protein 1	1	6.36	5.35	1/172	2
54819	ZCCHC10	Isoform 2 of Zinc finger CCHC domain-containing protein 10	1	6.36	5.35	1/172	2
6322	SCML1	Isoform 1 of Sex comb on midleg-like protein 1	1	6.36	5.35	1/172	2
23368	PPP1R13B	Apoptosis-stimulating of p53 protein 1	1	6.36	5.35	1/172	2
84790	TUBA1C	Tubulin alpha-1C chain	20	5.69	4.78	5/172	2
57679	ALS2	Alsin	9	4.77	4.77	4/172	2
79871	RPAP2	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2	9	4.77	4.77	4/172	2
54882	ANKHD1	Isoform 4 of Ankyrin repeat and KH domain-containing protein 1	3	5.51	4.63	2/172	2
55700	MAP7D1	Isoform 2 of MAP7 domain-containing protein 1	16	3.64	4.49	7/172	2
25953	PNKD	Isoform 2 of Probable hydrolase PNKD	2	4.50	3.78	2/172	2
26036	ZNF451	Isoform 2 of Zinc finger protein 451	2	4.50	3.78	2/172	2
54822	TRPM7	Transient receptor potential cation channel subfamily M member 7	2	4.50	3.78	2/172	2
9857	CEP350	Centrosome-associated protein 350	2	4.50	3.78	2/172	2
63893	UBE2O	Ubiquitin-conjugating enzyme E2 O	8	3.00	3.58	6/172	2
9859	CEP170	Centrosomal protein of 170 kDa	4	4.24	3.56	3/172	2
55165	CEP55	Centrosomal protein of 55 kDa	3	3.67	3.09	3/172	2
322	APBB1	Isoform 2 of Amyloid beta A4 precursor protein-binding family B member 1	6	3.12	2.93	5/172	2
9652	TTC37	Tetratricopeptide repeat protein 37	4	3.18	2.67	4/172	2
