GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score    90%	WDN_Score     90%	DN_Score      95%	WDN_Score       95%	Ratio	Found_In	HCIP cutoff
3895	KTN1	Kinectin	110	22.19	34.09	9.69	13.64	3/64	2	95%
54822	TRPM7	Transient receptor potential cation channel subfamily M member 7	17	26.18	23.79	11.43	9.52	1/64	2	95%
6335	SCN9A	Isoform 2 of Sodium channel protein type 9 subunit alpha	13	22.89	20.81	10.00	8.33	1/64	2	95%
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	111	16.72	20.67	7.30	8.27	4/64	2	95%
10869	USP19	Ubiquitin carboxyl-terminal hydrolase	7	16.80	15.27	7.34	6.11	1/64	2	95%
55697	VAC14	Protein VAC14 homolog	6	15.55	14.14	6.79	5.66	1/64	2	95%
4650	MYO9B	Isoform Short of Myosin-IXb	23	10.15	14.02	4.43	5.61	3/64	2	95%
200576	PIKFYVE	1-phosphatidylinositol-3-phosphate 5-kinase	5	14.20	12.90	6.20	5.16	1/64	2	95%
8924	HERC2	E3 ubiquitin-protein ligase HERC2	94	8.79	12.47	3.84	4.99	7/64	2	95%
64397	ZFP106	Zinc finger protein 106 homolog	4	12.70	11.54	5.55	4.62	1/64	2	95%
6328	SCN3A	Isoform 2 of Sodium channel protein type 3 subunit alpha	4	12.70	11.54	5.55	4.62	1/64	2	95%
57509	MTUS1	Isoform 2 of Microtubule-associated tumor suppressor 1	4	12.70	11.54	5.55	4.62	1/64	2	95%
79884	MAP9	Microtubule-associated protein 9	10	10.04	10.58	4.38	4.24	2/64	2	95%
7453	WARS	"Isoform 2 of Tryptophanyl-tRNA synthetase, cytoplasmic"	3	11.00	10.00	4.80	4.00	1/64	2	95%
2071	ERCC3	TFIIH basal transcription factor complex helicase XPB subunit	3	11.00	10.00	4.80	4.00	1/64	2	95%
3890	KRT84	"Keratin, type II cuticular Hb4"	3	11.00	10.00	4.80	4.00	1/64	2	95%
10260	DENND4A	C-myc promoter-binding protein	3	11.00	10.00	4.80	4.00	1/64	2	95%
57514	ARHGAP31	Rho GTPase-activating protein 31	3	11.00	10.00	4.80	4.00	1/64	2	95%
25912	C1orf43	Isoform 2 of Uncharacterized protein C1orf43	2	8.98	8.16	3.92	3.27	1/64	2	95%
6329	SCN4A	Sodium channel protein type 4 subunit alpha	2	8.98	8.16	3.92	3.27	1/64	2	95%
3321	IGSF3	Isoform 2 of Immunoglobulin superfamily member 3	2	8.98	8.16	3.92	3.27	1/64	2	95%
9738	CP110	Isoform 2 of Centrosomal protein CP110	7	8.40	8.09	3.67	3.24	2/64	2	95%
10455	ECI2	"Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial"	5	7.10	6.45	3.10	2.58	2/64	2	95%
9652	TTC37	Tetratricopeptide repeat protein 37	4	6.35	5.77	2.77	2.31	2/64	2	95%
8689	KRT36	"Keratin, type I cuticular Ha6"	1	6.35	5.77	2.77	2.31	1/64	2	95%
3884	KRT33B	"Keratin, type I cuticular Ha3-II"	1	6.35	5.77	2.77	2.31	1/64	2	95%
84220	RGPD5	RANBP2-like and GRIP domain-containing protein 5/6	1	6.35	5.77	2.77	2.31	1/64	2	95%
6789	STK4	Isoform 2 of Serine/threonine-protein kinase 4	1	6.35	5.77	2.77	2.31	1/64	2	95%
79871	RPAP2	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2	1	6.35	5.77	2.77	2.31	1/64	2	95%
10534	SSSCA1	Sjoegren syndrome/scleroderma autoantigen 1	1	6.35	5.77	2.77	2.31	1/64	2	95%
1374	CPT1A	"Carnitine O-palmitoyltransferase 1, liver isoform"	49	2.47	5.12	1.08	2.05	18/64	2	95%
1891	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	7	5.60	5.09	2.44	2.04	3/64	2	95%
253959	RALGAPA1	Isoform 2 of Ral GTPase-activating protein subunit alpha-1	3	5.50	5.00	2.40	2.00	2/64	2	95%
28988	DBNL	Isoform 2 of Drebrin-like protein	10	5.02	4.56	2.19	1.83	4/64	2	95%
23598	PATZ1	"Isoform 2 of POZ-, AT hook-, and zinc finger-containing protein 1"	5	4.73	4.30	2.07	1.72	3/64	2	95%
5597	MAPK6	Mitogen-activated protein kinase 6	5	4.73	4.30	2.07	1.72	3/64	2	95%
2965	GTF2H1	General transcription factor IIH subunit 1	2	4.49	4.08	1.96	1.63	2/64	2	95%
57679	ALS2	Alsin	6	3.89	3.92	1.70	1.57	4/64	2	95%
79598	CEP97	Isoform 2 of Centrosomal protein of 97 kDa	6	3.89	3.53	1.70	1.41	4/64	2	95%
57448	BIRC6	Baculoviral IAP repeat-containing protein 6	8	3.59	3.30	1.57	1.32	5/64	2	95%
7266	DNAJC7	DnaJ homolog subfamily C member 7	5	3.55	3.23	1.55	1.29	4/64	2	95%
322	APBB1	Isoform 2 of Amyloid beta A4 precursor protein-binding family B member 1	5	3.55	3.23	1.55	1.29	4/64	2	95%
9859	CEP170	Isoform 2 of Centrosomal protein of 170 kDa	12	1.83	2.91	0.80	1.17	12/64	2	95%
4507	MTAP	S-methyl-5'-thioadenosine phosphorylase	1	3.17	2.89	1.39	1.15	2/64	2	95%
3831	KLC1	Isoform C of Kinesin light chain 1	2	2.99	2.72	1.31	1.09	3/64	2	95%
4134	MAP4	Isoform 6 of Microtubule-associated protein 4	2	2.99	2.72	1.31	1.09	3/64	2	95%
8030	CCDC6	Coiled-coil domain-containing protein 6	2	2.99	2.72	1.31	1.09	3/64	2	95%
5437	POLR2H	"DNA-directed RNA polymerases I, II, and III subunit RPABC3"	2	2.99	2.72	1.31	1.09	3/64	2	95%
29922	NME7	Isoform 2 of Nucleoside diphosphate kinase 7	2	2.99	2.72	1.31	1.09	3/64	2	95%
55700	MAP7D1	Isoform 4 of MAP7 domain-containing protein 1	12	1.57	1.88	--	--	14/64	2	90%
3800	KIF5C	Kinesin heavy chain isoform 5C	3	1.83	1.67	--	--	6/64	2	90%
91754	NEK9	Serine/threonine-protein kinase Nek9	4	1.81	1.65	--	--	7/64	2	90%
2181	ACSL3	Long-chain-fatty-acid--CoA ligase 3	2	1.80	1.63	--	--	5/64	2	90%
114294	LACTB	"Serine beta-lactamase-like protein LACTB, mitochondrial"	2	1.80	1.63	--	--	5/64	2	90%
708	C1QBP	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	60	0.91	1.57	--	--	54/64	2	90%
6595	SMARCA2	Isoform Short of Probable global transcription activator SNF2L2	10	1.43	1.49	--	--	14/64	2	90%
9958	USP15	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 15	1	1.06	1.47	--	--	6/64	2	90%
10592	SMC2	Isoform 2 of Structural maintenance of chromosomes protein 2	1	1.59	1.44	--	--	4/64	2	90%
6499	SKIV2L	Helicase SKI2W	1	1.59	1.44	--	--	4/64	2	90%
5430	POLR2A	DNA-directed RNA polymerase II subunit RPB1	18	1.17	1.37	--	--	23/64	2	90%
55210	ATAD3A	Isoform 2 of ATPase family AAA domain-containing protein 3A	11	1.50	1.37	--	--	14/64	2	90%
55226	NAT10	N-acetyltransferase 10	2	1.50	1.36	--	--	6/64	2	90%
23317	DNAJC13	DnaJ homolog subfamily C member 13	6	1.41	1.29	--	--	11/64	2	90%
4131	MAP1B	Microtubule-associated protein 1B	34	0.72	1.28	--	--	51/64	2	90%
291	SLC25A4	ADP/ATP translocase 1	4	1.41	1.28	--	--	9/64	2	90%
817	CAMK2D	Isoform Delta 10 of Calcium/calmodulin-dependent protein kinase type II subunit delta	3	1.38	1.25	--	--	8/64	2	90%
84617	TUBB6	Tubulin beta-6 chain	18	1.35	1.22	--	--	20/64	2	90%
64283	RGNEF	Isoform 2 of Rho-guanine nucleotide exchange factor	1	1.27	1.15	--	--	5/64	2	90%
808	CALM3	Calmodulin	3	0.69	1.13	--	--	16/64	2	90%
7415	VCP	Transitional endoplasmic reticulum ATPase	2	0.43	1.08	--	--	21/64	2	90%
5717	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3	0.58	1.04	--	--	19/64	2	90%
10382	TUBB4	Tubulin beta-4 chain	29	1.14	1.03	--	--	30/64	2	90%
3799	KIF5B	Kinesin-1 heavy chain	2	1.12	1.02	--	--	8/64	2	90%
7464	CORO2A	Coronin-2A	2	1.12	1.02	--	--	8/64	2	90%
5431	POLR2B	DNA-directed RNA polymerase II subunit RPB2	12	1.00	1.00	--	--	22/64	2	90%
5432	POLR2C	DNA-directed RNA polymerase II subunit RPB3	4	1.06	0.96	--	--	12/64	2	90%
6603	SMARCD2	Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	4	1.06	0.96	--	--	12/64	2	90%
8604	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1	6	1.04	0.94	--	--	15/64	2	90%
57492	ARID1B	Isoform 2 of AT-rich interactive domain-containing protein 1B	5	1.01	0.92	--	--	14/64	2	90%
3854	KRT6B	"Keratin, type II cytoskeletal 6B"	3	1.00	0.91	--	--	11/64	2	90%
84498	FAM120B	Isoform 2 of Constitutive coactivator of peroxisome proliferator-activated receptor gamma	2	1.00	0.91	--	--	9/64	2	90%
