GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score    90%	WDN_Score     90%	DN_Score      95%	WDN_Score       95%	Ratio	Found_In	HCIP cutoff
55662	HIF1AN	Hypoxia-inducible factor 1-alpha inhibitor	109	33.14	41.87	14.48	16.76	2/64	2	95%
54851	ANKRD49	Ankyrin repeat domain-containing protein 49	1	6.35	5.77	2.77	2.31	1/64	2	95%
8396	PIP4K2B	Phosphatidylinositol-5-phosphate 4-kinase type-2 beta	3	5.50	5.00	2.40	2.00	2/64	2	95%
7919	DDX39B	Isoform 2 of Spliceosome RNA helicase DDX39B	2	4.49	4.08	1.96	1.63	2/64	2	95%
81027	TUBB1	Tubulin beta-1 chain	3	2.75	2.50	1.20	1.00	4/64	2	95%
6595	SMARCA2	Isoform Short of Probable global transcription activator SNF2L2	19	1.98	2.05	--	--	14/64	2	90%
6430	SRSF5	Serine/arginine-rich splicing factor 5	3	2.20	2.00	--	--	5/64	2	90%
149465	WDR65	WD repeat-containing protein 65	1	2.12	1.92	--	--	3/64	2	90%
51247	PAIP2	Polyadenylate-binding protein-interacting protein 2	1	2.12	1.92	--	--	3/64	2	90%
1993	ELAVL2	ELAV-like protein 2	3	1.83	1.67	--	--	6/64	2	90%
55173	MRPS10	"28S ribosomal protein S10, mitochondrial"	1	1.59	1.44	--	--	4/64	2	90%
84498	FAM120B	Constitutive coactivator of peroxisome proliferator-activated receptor gamma	5	1.58	1.43	--	--	9/64	2	90%
8289	ARID1A	AT-rich interactive domain-containing protein 1A	53	1.00	1.24	--	--	46/64	2	90%
6426	SRSF1	Serine/arginine-rich splicing factor 1	16	1.27	1.24	--	--	20/64	2	90%
6603	SMARCD2	Isoform 3 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	6	1.30	1.18	--	--	12/64	2	90%
57492	ARID1B	Isoform 2 of AT-rich interactive domain-containing protein 1B	8	1.28	1.17	--	--	14/64	2	90%
5936	RBM4	RNA-binding protein 4	2	1.28	1.17	--	--	7/64	2	90%
51258	MRPL51	"39S ribosomal protein L51, mitochondrial"	1	1.27	1.15	--	--	5/64	2	90%
6311	ATXN2	Isoform 2 of Ataxin-2	1	1.27	1.15	--	--	5/64	2	90%
6626	SNRPA	U1 small nuclear ribonucleoprotein A	7	1.20	1.09	--	--	14/64	2	90%
6597	SMARCA4	SMARCA4 isoform 3	35	0.83	1.05	--	--	45/64	2	90%
9733	SART3	Squamous cell carcinoma antigen recognized by T-cells 3	2	0.69	1.05	--	--	13/64	2	90%
10342	TFG	Protein TFG	132	1.14	1.04	--	--	64/64	2	90%
51087	YBX2	Y-box-binding protein 2	9	1.12	1.02	--	--	17/64	2	90%
9274	BCL7C	Isoform 2 of B-cell CLL/lymphoma 7 protein family member C	2	1.12	1.02	--	--	8/64	2	90%
92140	MTDH	Protein LYRIC	2	1.12	1.02	--	--	8/64	2	90%
26523	EIF2C1	Protein argonaute-1	16	1.10	1.00	--	--	23/64	2	90%
23367	LARP1	Isoform 2 of La-related protein 1	3	1.10	1.00	--	--	10/64	2	90%
347733	TUBB2B	Tubulin beta-2B chain	18	1.08	0.98	--	--	25/64	2	90%
8110	DPF3	Isoform 2 of Zinc finger protein DPF3	1	1.06	0.96	--	--	6/64	2	90%
10146	G3BP1	Ras GTPase-activating protein-binding protein 1	6	1.04	0.94	--	--	15/64	2	90%
51602	NOP58	Nucleolar protein 58	2	1.00	0.91	--	--	9/64	2	90%
605	BCL7A	Isoform 2 of B-cell CLL/lymphoma 7 protein family member A	2	1.00	0.91	--	--	9/64	2	90%
