source	SYMBOL	GENEID	DB_ID	NS-SCORE	NWS-SCORE	ND-SCORE	NWD-SCORE	Z-SCORE	WEIGHT FACTOR	RATIO	AVE. APSM	FOUND IN	DESCRIPTION
293T_HA-HERC2_F1_Exp1	HERC2	8924	sp|O95714|HERC2_HUMAN	7.12	7.67	15.08	18.1	12.32	1.4	8/191	297	2	hect domain and RLD 2
293T_HA-HERC2_F1_Exp1	MUS81	80198	sp|Q96NY9|MUS81_HUMAN	1.65	1.5	4.95	4.24	10	1	4/191	8	2	MUS81 endonuclease homolog (S. cerevisiae)
293T_HA-HERC2_F1_Exp1	CCDC22	28952	sp|O60826|CCD22_HUMAN	1.65	1.5	4.95	4.24	4.68	1	4/191	8	2	coiled-coil domain containing 22
293T_HA-HERC2_F1_Exp1	AGAP3	116988	sp|Q96P47-2|AGAP3_HUMAN	1.17	1.06	4.95	4.24	12.38	1	2/191	2	2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
293T_HA-HERC2_F1_Exp1	ARHGEF5	7984	sp|Q12774|ARHG5_HUMAN	1.55	1.41	4.63	3.97	10.81	1	4/191	7	2	Rho guanine nucleotide exchange factor (GEF) 5
293T_HA-HERC2_F1_Exp1	EME1	146956	sp|Q96AY2-2|EME1_HUMAN	1.31	1.19	3.91	3.35	6.1	1	4/191	5	2	essential meiotic endonuclease 1 homolog 1 (S. pombe)
293T_HA-HERC2_F1_Exp1	HERC1	8925	sp|Q15751|HERC1_HUMAN	1.31	1.19	3.91	3.35	3.63	1	4/191	5	2	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1
293T_HA-HERC2_F1_Exp1	KIF20A	10112	sp|O95235|KI20A_HUMAN	1.38	1.26	3.7	3.18	9.72	1	5/191	7	2	kinesin family member 20A
293T_HA-HERC2_F1_Exp1	HPS3	84343	sp|Q969F9-2|HPS3_HUMAN	0.83	0.75	3.5	3	9.9	1	2/191	1	2	Hermansky-Pudlak syndrome 3
293T_HA-HERC2_F1_Exp1	HPS5	11234	sp|Q9UPZ3-2|HPS5_HUMAN	0.83	0.75	2.47	2.12	8.57	1	4/191	2	2	Hermansky-Pudlak syndrome 5
293T_HA-HERC2_F1_Exp1	TUBA1C	84790	sp|Q9BQE3|TBA1C_HUMAN	1.53	1.39	2.45	2.1	2.57	1	14/191	24	2	tubulin, alpha 1c
293T_HA-HERC2_F1_Exp1	MLL4	9757	sp|Q9UMN6-2|MLL4_HUMAN	0.67	0.61	2.33	2	8.17	1	3/191	1	2	myeloid/lymphoid or mixed-lineage leukemia 4
293T_HA-HERC2_F1_Exp1	RAB34	83871	sp|Q9BZG1-2|RAB34_HUMAN	0.67	0.61	2.33	2	8.17	1	3/191	1	2	RAB34, member RAS oncogene family
293T_HA-HERC2_F1_Exp1	NEURL4	84461	sp|Q96JN8-2|NEUL4_HUMAN	0.92	0.91	1.96	1.98	2.1	1.18	8/191	5	2	neuralized homolog 4 (Drosophila)
293T_HA-HERC2_F1_Exp1	ZDHHC17	23390	sp|Q8IUH5-2|ZDH17_HUMAN	0.83	0.75	2.02	1.73	7.54	1	6/191	3	2	zinc finger, DHHC-type containing 17
293T_HA-HERC2_F1_Exp1	EPHA7	2045	sp|Q15375-2|EPHA7_HUMAN	0.83	0.75	2.02	1.73	4.77	1	6/191	3	2	EPH receptor A7
293T_HA-HERC2_F1_Exp1	ZBTB5	9925	sp|O15062|ZBTB5_HUMAN	0.74	0.67	1.98	1.7	3.08	1	5/191	2	2	zinc finger and BTB domain containing 5
293T_HA-HERC2_F1_Exp1	NUP153	9972	sp|P49790|NU153_HUMAN	0.74	0.67	1.98	1.7	3	1	5/191	2	2	nucleoporin 153kDa
293T_HA-HERC2_F1_Exp1	GTF3C2	2976	sp|Q8WUA4|TF3C2_HUMAN	0.74	0.67	1.98	1.7	8.17	1	5/191	2	2	general transcription factor IIIC, polypeptide 2, beta 110kDa
293T_HA-HERC2_F1_Exp1	MLF2	8079	sp|Q15773|MLF2_HUMAN	0.62	0.67	1.41	1.7	1.92	1.4	7/191	2	2	myeloid leukemia factor 2
293T_HA-HERC2_F1_Exp1	ARNT	405	sp|P27540-2|ARNT_HUMAN	0.58	0.56	1.75	1.67	2.11	1.11	4/191	1	2	aryl hydrocarbon receptor nuclear translocator
293T_HA-HERC2_F1_Exp1	RNGTT	8732	sp|O60942-2|MCE1_HUMAN	0.58	0.53	1.75	1.5	2.09	1	4/191	1	2	RNA guanylyltransferase and 5'-phosphatase
293T_HA-HERC2_F1_Exp1	C10orf118	55088	sp|Q7Z3E2|CJ118_HUMAN	0.58	0.53	1.75	1.5	1.37	1	4/191	1	2	chromosome 10 open reading frame 118
293T_HA-HERC2_F1_Exp1	TRMT2A	27037	sp|Q8IZ69-2|TRM2A_HUMAN	0.58	0.53	1.75	1.5	7	1	4/191	1	2	TRM2 tRNA methyltransferase 2 homolog A (S. cerevisiae)
293T_HA-HERC2_F1_Exp1	VSIG7	390531	sp|A6NDP1|VSIG7_HUMAN	0.58	0.53	1.75	1.5	7	1	4/191	1	2	V-set and immunoglobulin domain containing 7
293T_HA-HERC2_F1_Exp1	FDFT1	2222	sp|P37268|FDFT_HUMAN	0.83	0.75	1.57	1.34	5.64	1	10/191	5	2	farnesyl-diphosphate farnesyltransferase 1
293T_HA-HERC2_F1_Exp1	MKI67	4288	sp|P46013-2|KI67_HUMAN	0.65	0.73	0.98	1.25	3.28	1.49	16/191	5	2	antigen identified by monoclonal antibody Ki-67
293T_HA-HERC2_F1_Exp1	PRRC2B	84726	sp|Q5JSZ5|PRC2B_HUMAN	0.55	0.58	1.1	1.25	0.58	1.33	9/191	2	2	proline-rich coiled-coil 2B
293T_HA-HERC2_F1_Exp1	FLNA	2316	sp|P21333-2|FLNA_HUMAN	0.52	0.75	0.51	1.11	0.56	2.52	36/191	7	2	filamin A, alpha
293T_HA-HERC2_F1_Exp1	RPS27L	51065	sp|Q71UM5|RS27L_HUMAN	0.64	0.58	1.21	1.04	5.04	1	10/191	3	2	ribosomal protein S27-like
293T_HA-HERC2_F1_Exp1	ADCK3	56997	sp|Q8NI60-3|ADCK3_HUMAN	0.48	0.43	1.17	1	5.71	1	6/191	1	2	aarF domain containing kinase 3
293T_HA-HERC2_F1_Exp1	HPS6	79803	sp|Q86YV9|HPS6_HUMAN	0.48	0.43	1.17	1	5.71	1	6/191	1	2	Hermansky-Pudlak syndrome 6
293T_HA-HERC2_F1_Exp1	MAP7D1	55700	sp|Q3KQU3-2|MA7D1_HUMAN	0.67	0.61	1.17	1	6.58	1	12/191	4	2	MAP7 domain containing 1
293T_HA-HERC2_F1_Exp1	GNL3L	54552	sp|Q9NVN8|GNL3L_HUMAN	0.48	0.43	1.17	1	5.71	1	6/191	1	2	guanine nucleotide binding protein-like 3 (nucleolar)-like
293T_HA-HERC2_F1_Exp2	HERC2	8924	sp|O95714|HERC2_HUMAN	7.49	8.1	15.87	19.19	12.55	1.41	8/191	329	2	hect domain and RLD 2
293T_HA-HERC2_F1_Exp2	PLD6	201164	sp|Q8N2A8|PLD6_HUMAN	1.17	1.06	7	6	14.14	1	1/191	1	2	phospholipase D family, member 6
293T_HA-HERC2_F1_Exp2	EME1	146956	sp|Q96AY2-2|EME1_HUMAN	1.55	1.41	4.63	3.97	8.6	1	4/191	7	2	essential meiotic endonuclease 1 homolog 1 (S. pombe)
293T_HA-HERC2_F1_Exp2	MUS81	80198	sp|Q96NY9|MUS81_HUMAN	1.55	1.41	4.63	3.97	8.73	1	4/191	7	2	MUS81 endonuclease homolog (S. cerevisiae)
293T_HA-HERC2_F1_Exp2	CCDC22	28952	sp|O60826|CCD22_HUMAN	1.55	1.41	4.63	3.97	4.08	1	4/191	7	2	coiled-coil domain containing 22
293T_HA-HERC2_F1_Exp2	ARHGEF5	7984	sp|Q12774|ARHG5_HUMAN	1.31	1.19	3.91	3.35	7.69	1	4/191	5	2	Rho guanine nucleotide exchange factor (GEF) 5
293T_HA-HERC2_F1_Exp2	GTF3C6	112495	sp|Q969F1|TF3C6_HUMAN	0.83	0.75	3.5	3	9.9	1	2/191	1	2	general transcription factor IIIC, polypeptide 6, alpha 35kDa
293T_HA-HERC2_F1_Exp2	ZFYVE16	9765	sp|Q7Z3T8|ZFY16_HUMAN	0.83	0.75	3.5	3	9.9	1	2/191	1	2	zinc finger, FYVE domain containing 16
